pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged,filter_status,filter_chassis,filter_self_L4_L2,filter_self_L4_J1,filter_floor,filter_converged,filter_tipping,tip_worst_margin_m,tip_worst_j1_deg,tip_j1_stable_count,tip_cg_x_m,tip_cg_y_m
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.005,-30.423,-170.190,-150.001,0.423,-0.0006,7.6173,2.9242,0.2474,-7.6362,-2.9295,-0.2466,0.404117,0.387309,-0.377595,0.263965,-0.152400,0.502646,-0.239273,0.552675,-0.230452,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.004,-30.419,-170.112,-120.001,0.419,-0.0002,7.5647,2.8715,0.1935,-7.5814,-2.8747,-0.1918,0.393425,0.388583,-0.353234,0.263965,-0.152400,0.502646,-0.239273,0.541562,-0.206620,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.004,-30.411,-170.038,-90.001,0.411,-0.0008,7.4567,2.7654,0.0875,-7.4752,-2.7686,-0.0856,0.372254,0.391098,-0.337553,0.263965,-0.152400,0.502646,-0.239273,0.520021,-0.191537,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.005,-30.401,-169.997,-60.000,0.401,-0.0003,7.3257,2.6358,-0.0418,-7.3461,-2.6394,0.0435,0.346318,0.394176,-0.334810,0.263965,-0.152400,0.502646,-0.239273,0.493825,-0.189245,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.005,-30.392,-170.010,-30.000,0.392,-0.0004,7.2134,2.5197,-0.1598,-7.2287,-2.5220,0.1609,0.322596,0.396990,-0.345733,0.263965,-0.152400,0.502646,-0.239273,0.469993,-0.200358,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.006,-30.387,-170.060,0.001,0.387,-0.0001,7.1391,2.4444,-0.2349,-7.1543,-2.4476,0.2353,0.307428,0.398789,-0.367294,0.263965,-0.152400,0.502646,-0.239273,0.454910,-0.221898,-180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.005,-30.387,-170.057,30.001,0.387,-0.0003,7.1201,2.4297,-0.2470,-7.1430,-2.4364,0.2466,0.304957,0.399083,-0.393460,0.263965,-0.152400,0.502646,-0.239273,0.452618,-0.248094,-180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.005,-30.391,-170.018,60.001,0.391,-0.0002,7.1799,2.4863,-0.1931,-7.1978,-2.4911,0.1918,0.315874,0.397788,-0.417274,0.263965,-0.152400,0.502646,-0.239273,0.463731,-0.271927,-180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.005,-30.398,-169.999,90.001,0.398,-0.0002,7.2857,2.5924,-0.0872,-7.3040,-2.5973,0.0856,0.337164,0.395261,-0.432499,0.263965,-0.152400,0.502646,-0.239273,0.485272,-0.287010,-180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.005,-30.407,-170.017,120.000,0.407,0.0001,7.4204,2.7237,0.0420,-7.4331,-2.7264,-0.0435,0.363071,0.392183,-0.435130,0.263965,-0.152400,0.502646,-0.239273,0.511468,-0.289301,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
