pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.005,-29.175,-169.371,-149.997,0.825,0.1086,-18.9407,-8.5029,-1.3653,-18.7429,-8.4298,-1.3727,0.510986,0.036662,0.541228,0.329956,-0.190500,0.616374,-0.294748,0.691416,-0.281516,-0.174,-0.011,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.007,-29.182,-169.678,-119.998,0.818,-0.0408,-18.5711,-8.1595,-1.0467,-18.4380,-8.1248,-1.0677,0.500304,0.048733,0.507893,0.329956,-0.190500,0.616374,-0.294748,0.674747,-0.245767,-0.066,-0.008,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.007,-29.217,-169.891,-89.999,0.783,-0.1316,-18.0009,-7.5644,-0.4443,-17.8470,-7.5338,-0.4767,0.473110,0.052822,0.487560,0.329956,-0.190500,0.616374,-0.294748,0.642436,-0.223143,-0.047,-0.003,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.006,-29.224,-170.044,-60.001,0.776,-0.0772,-17.1413,-6.7883,0.2636,-17.1282,-6.8151,0.2420,0.440945,0.057623,0.485782,0.329956,-0.190500,0.616374,-0.294748,0.603142,-0.219705,-0.052,-0.020,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.006,-29.280,-170.046,-30.002,0.720,0.2026,-16.5784,-6.1773,0.9130,-16.4743,-6.1612,0.8959,0.413129,0.060562,0.503418,0.329956,-0.190500,0.616374,-0.294748,0.567394,-0.236375,-0.100,-0.009,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.007,-29.320,-169.845,-0.003,0.680,0.1871,-16.1378,-5.7669,1.3146,-16.0605,-5.7473,1.3098,0.395984,0.064269,0.535594,0.329956,-0.190500,0.616374,-0.294748,0.544769,-0.268686,-0.078,-0.028,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.008,-29.296,-169.896,29.997,0.704,0.0626,-16.0690,-5.7078,1.3653,-15.9976,-5.6844,1.3727,0.398774,0.071062,0.575036,0.329956,-0.190500,0.616374,-0.294748,0.541332,-0.307980,-0.099,-0.010,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.008,-29.290,-170.000,59.998,0.710,0.0353,-16.4293,-6.0378,1.0483,-16.3025,-5.9894,1.0677,0.422521,0.086986,0.610563,0.329956,-0.190500,0.616374,-0.294748,0.558001,-0.343728,-0.102,-0.034,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.009,-29.245,-170.004,89.999,0.755,-0.1424,-17.0018,-6.6244,0.4513,-16.8935,-6.5804,0.4767,0.461235,0.100446,0.632643,0.329956,-0.190500,0.616374,-0.294748,0.590312,-0.366352,-0.070,-0.012,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.010,-29.239,-169.943,120.001,0.761,-0.0532,-17.7674,-7.3621,-0.2650,-17.6123,-7.2991,-0.2420,0.502865,0.119621,0.634833,0.329956,-0.190500,0.616374,-0.294748,0.629606,-0.369790,-0.060,-0.031,True
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,-0.006,-29.208,-169.764,150.002,0.792,0.2981,-18.3959,-8.0137,-0.9236,-18.2662,-7.9530,-0.8959,0.540409,0.143393,0.616233,0.329956,-0.190500,0.616374,-0.294748,0.665354,-0.353120,-0.102,-0.042,True
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,-0.005,-29.390,-149.368,-149.997,0.632,0.1144,-19.0658,-8.6848,-1.1877,-19.0303,-8.7171,-1.2071,0.575808,0.158564,0.414723,0.329956,-0.190500,0.634756,-0.190500,0.700747,-0.152400,-0.037,-0.028,True
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,-0.005,-29.305,-149.726,-119.998,0.695,-0.1336,-18.4597,-8.1273,-0.6702,-18.5201,-8.2069,-0.6969,0.553305,0.162252,0.388561,0.329956,-0.190500,0.634756,-0.190500,0.672856,-0.124509,-0.119,-0.078,True
