pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.007,-30.801,-170.616,-150.004,0.801,-0.0002,18.6264,8.3829,1.3803,-18.7429,-8.4298,-1.3727,0.520460,0.419660,-0.437156,0.329956,-0.190500,0.616374,-0.294748,0.691416,-0.281516,180.000,0.000,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.007,-30.789,-170.339,-120.003,0.789,-0.0004,18.3468,8.1024,1.0867,-18.4380,-8.1248,-1.0677,0.505067,0.420597,-0.399203,0.329956,-0.190500,0.616374,-0.294748,0.674747,-0.245767,180.000,0.000,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.007,-30.765,-170.126,-90.001,0.765,-0.0001,17.7615,7.5202,0.4975,-17.8470,-7.5338,-0.4767,0.473503,0.422506,-0.374518,0.329956,-0.190500,0.616374,-0.294748,0.642436,-0.223143,180.000,0.000,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.007,-30.697,-169.977,-60.000,0.697,-0.0010,17.0840,6.8176,-0.2273,-17.1282,-6.8151,0.2420,0.434705,0.424852,-0.369017,0.329956,-0.190500,0.616374,-0.294748,0.603142,-0.219705,180.000,0.000,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.008,-30.660,-169.961,-29.998,0.660,-0.0009,16.4272,6.1589,-0.8869,-16.4743,-6.1612,0.8959,0.398997,0.427004,-0.384839,0.329956,-0.190500,0.616374,-0.294748,0.567394,-0.236375,180.000,0.000,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.009,-30.637,-170.144,0.003,0.637,-0.0010,16.0053,5.7332,-1.3064,-16.0605,-5.7473,1.3098,0.375922,0.428390,-0.417371,0.329956,-0.190500,0.616374,-0.294748,0.544769,-0.268686,180.000,0.000,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.009,-30.641,-170.097,30.003,0.641,-0.0011,15.9348,5.6631,-1.3783,-15.9976,-5.6844,1.3727,0.372034,0.428622,-0.456486,0.329956,-0.190500,0.616374,-0.294748,0.541332,-0.307980,180.000,0.000,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.009,-30.659,-169.998,60.002,0.659,-0.0008,16.2359,5.9660,-1.0792,-16.3025,-5.9894,1.0677,0.388373,0.427633,-0.492230,0.329956,-0.190500,0.616374,-0.294748,0.558001,-0.343728,180.000,0.000,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.009,-30.688,-169.989,90.001,0.688,-0.0013,16.8227,6.5539,-0.4917,-16.8935,-6.5804,0.4767,0.420209,0.425708,-0.515467,0.329956,-0.190500,0.616374,-0.294748,0.590312,-0.366352,180.000,0.000,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.009,-30.749,-170.043,120.000,0.749,-0.0001,17.4941,7.2509,0.2235,-17.6123,-7.2991,-0.2420,0.458787,0.423372,-0.520353,0.329956,-0.190500,0.616374,-0.294748,0.629606,-0.369790,180.000,0.000,True
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,0.009,-30.773,-170.223,149.998,0.773,0.0002,18.1412,7.8981,0.8785,-18.2662,-7.9530,-0.8959,0.494018,0.421245,-0.505500,0.329956,-0.190500,0.616374,-0.294748,0.665354,-0.353120,180.000,0.000,True
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,0.005,-30.611,-150.645,-150.003,0.645,-0.0000,18.9996,8.7407,1.2237,-19.0303,-8.7171,-1.2071,0.533514,0.418898,-0.306175,0.329956,-0.190500,0.634756,-0.190500,0.700747,-0.152400,180.000,0.000,True
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,0.005,-30.662,-150.297,-120.002,0.662,0.0000,18.4848,8.2336,0.7180,-18.5201,-8.2069,-0.6969,0.505813,0.420575,-0.276192,0.329956,-0.190500,0.634756,-0.190500,0.672856,-0.124509,180.000,0.000,True
13,-30.0,-150.0,-90.0,-30.0,30.0,90.0,0.005,-30.621,-150.019,-90.000,0.621,-0.0005,17.8128,7.5417,0.0153,-17.8232,-7.5100,-0.0000,0.467699,0.422880,-0.263379,0.329956,-0.190500,0.634756,-0.190500,0.634756,-0.114300,180.000,0.000,True
14,-30.0,-150.0,-60.0,-30.0,30.0,120.0,0.005,-30.571,-149.888,-59.998,0.571,-0.0006,17.1070,6.8343,-0.6888,-17.1263,-6.8131,0.6969,0.429525,0.425183,-0.272046,0.329956,-0.190500,0.634756,-0.190500,0.596656,-0.124509,180.000,0.000,True
15,-30.0,-150.0,-30.0,-30.0,30.0,150.0,0.006,-30.490,-149.955,-29.997,0.490,-0.0005,16.5966,6.3177,-1.2037,-16.6161,-6.3029,1.2071,0.401727,0.426857,-0.299188,0.329956,-0.190500,0.634756,-0.190500,0.568765,-0.152400,180.000,0.000,True
16,-30.0,-150.0,0.0,-30.0,30.0,-180.0,0.007,-30.428,-150.223,0.003,0.428,-0.0005,16.4130,6.1265,-1.3961,-16.4293,-6.1162,1.3938,0.391445,0.427472,-0.337671,0.329956,-0.190500,0.634756,-0.190500,0.558556,-0.190500,180.000,0.000,True
17,-30.0,-150.0,30.0,-30.0,30.0,-150.0,0.007,-30.498,-150.231,30.003,0.498,-0.0007,16.5892,6.3067,-1.2178,-16.6161,-6.3029,1.2071,0.400918,0.426896,-0.376605,0.329956,-0.190500,0.634756,-0.190500,0.568765,-0.228600,180.000,0.000,True
18,-30.0,-150.0,60.0,-30.0,30.0,-120.0,0.007,-30.577,-150.096,60.001,0.577,-0.0008,17.0902,6.8140,-0.7117,-17.1263,-6.8131,0.6969,0.428202,0.425246,-0.405045,0.329956,-0.190500,0.634756,-0.190500,0.596656,-0.256491,180.000,0.000,True
19,-30.0,-150.0,90.0,-30.0,30.0,-90.0,0.007,-30.621,-150.017,90.000,0.621,-0.0009,17.7852,7.5121,-0.0145,-17.8232,-7.5100,-0.0000,0.466011,0.422962,-0.415761,0.329956,-0.190500,0.634756,-0.190500,0.634756,-0.266700,180.000,0.000,True
20,-30.0,-150.0,120.0,-30.0,30.0,-60.0,0.006,-30.627,-150.001,119.998,0.627,-0.0006,18.4865,8.2134,0.6861,-18.5201,-8.2069,-0.6969,0.504143,0.420660,-0.405947,0.329956,-0.190500,0.634756,-0.190500,0.672856,-0.256491,180.000,0.000,True
21,-30.0,-150.0,150.0,-30.0,30.0,-30.0,0.006,-30.575,-150.152,149.997,0.575,-0.0001,19.0091,8.7300,1.2016,-19.0303,-8.7171,-1.2071,0.532388,0.418958,-0.378700,0.329956,-0.190500,0.634756,-0.190500,0.700747,-0.228600,180.000,0.000,True
22,-30.0,-130.0,-150.0,-30.0,50.0,30.0,0.003,-30.369,-130.436,-150.002,0.436,0.0001,18.3137,8.0217,0.9134,-18.2662,-7.9530,-0.8959,0.500493,0.420916,-0.176831,0.329956,-0.190500,0.616374,-0.086252,0.665354,-0.027880,180.000,0.000,True
23,-30.0,-130.0,-120.0,-30.0,50.0,60.0,0.003,-30.447,-130.107,-120.001,0.447,-0.0009,17.6367,7.3519,0.2561,-17.6123,-7.2991,-0.2420,0.464023,0.423120,-0.158803,0.329956,-0.190500,0.616374,-0.086252,0.629606,-0.011210,180.000,0.000,True
24,-30.0,-130.0,-90.0,-30.0,50.0,90.0,0.003,-30.453,-129.900,-89.999,0.453,-0.0003,16.8915,6.6124,-0.4693,-16.8935,-6.5804,0.4767,0.424143,0.425527,-0.160976,0.329956,-0.190500,0.616374,-0.086252,0.590312,-0.014648,180.000,0.000,True
25,-30.0,-130.0,-60.0,-30.0,50.0,120.0,0.004,-30.403,-129.868,-59.998,0.403,0.0000,16.2939,6.0116,-1.0647,-16.3025,-5.9894,1.0677,0.391703,0.427483,-0.182797,0.329956,-0.190500,0.616374,-0.086252,0.558001,-0.037272,-180.000,0.000,True
26,-30.0,-130.0,-30.0,-30.0,50.0,150.0,0.004,-30.308,-130.022,-29.997,0.308,-0.0062,15.9973,5.7059,-1.3726,-15.9976,-5.6844,1.3727,0.375332,0.428466,-0.218144,0.329956,-0.190500,0.616374,-0.086252,0.541332,-0.073020,-180.000,-0.000,True
27,-30.0,-130.0,0.0,-30.0,50.0,-180.0,0.005,-30.240,-130.249,0.003,0.249,0.0010,16.0672,5.7705,-1.3150,-16.0605,-5.7473,1.3098,0.378978,0.428241,-0.257665,0.329956,-0.190500,0.616374,-0.086252,0.544769,-0.112314,180.000,-0.000,True
28,-30.0,-130.0,30.0,-30.0,50.0,-150.0,0.005,-30.323,-130.214,30.002,0.323,0.0009,16.4652,6.1795,-0.9066,-16.4743,-6.1612,0.8959,0.401047,0.426905,-0.290838,0.329956,-0.190500,0.616374,-0.086252,0.567394,-0.144625,-180.000,0.000,True
29,-30.0,-130.0,60.0,-30.0,50.0,-120.0,0.005,-30.432,-130.058,60.001,0.432,-0.0004,17.1199,6.8356,-0.2538,-17.1282,-6.8151,0.2420,0.436188,0.424781,-0.308231,0.329956,-0.190500,0.616374,-0.086252,0.603142,-0.161295,180.000,0.000,True
30,-30.0,-130.0,90.0,-30.0,50.0,-90.0,0.005,-30.484,-129.959,89.999,0.484,-0.0005,17.8355,7.5555,0.4677,-17.8470,-7.5338,-0.4767,0.475239,0.422424,-0.305170,0.329956,-0.190500,0.616374,-0.086252,0.642436,-0.157857,180.000,0.000,True
31,-30.0,-130.0,120.0,-30.0,50.0,-60.0,0.004,-30.468,-129.963,119.998,0.468,-0.0004,18.4317,8.1503,1.0630,-18.4380,-8.1248,-1.0677,0.507705,0.420467,-0.282631,0.329956,-0.190500,0.616374,-0.086252,0.674747,-0.135233,180.000,0.000,True
32,-30.0,-130.0,150.0,-30.0,50.0,-30.0,0.004,-30.374,-130.166,149.997,0.374,-0.0002,18.7557,8.4657,1.3727,-18.7429,-8.4298,-1.3727,0.525091,0.419421,-0.247162,0.329956,-0.190500,0.616374,-0.086252,0.691416,-0.099484,180.000,0.000,True
33,-30.0,-110.0,-150.0,-30.0,70.0,30.0,0.002,-30.225,-110.211,-150.001,0.225,-0.0014,16.5800,6.2838,0.4877,-16.5429,-6.2297,-0.4767,0.425043,0.425487,-0.068382,0.329956,-0.190500,0.563446,0.005422,0.589508,0.077026,180.000,0.000,True
34,-30.0,-110.0,-120.0,-30.0,70.0,60.0,0.002,-30.303,-109.943,-119.999,0.303,-0.0000,15.8421,5.5463,-0.2363,-15.8241,-5.5110,0.2420,0.384698,0.427922,-0.064355,0.329956,-0.190500,0.563446,0.005422,0.550214,0.080464,-180.000,-0.000,True
35,-30.0,-110.0,-90.0,-30.0,70.0,90.0,0.002,-30.317,-109.845,-89.998,0.317,-0.0000,15.1646,4.8767,-0.8936,-15.1702,-4.8571,0.8959,0.348531,0.430104,-0.080686,0.329956,-0.190500,0.563446,0.005422,0.514466,0.063794,-180.000,-0.000,True
36,-30.0,-110.0,-60.0,-30.0,70.0,120.0,0.003,-30.276,-109.908,-59.997,0.276,0.0000,14.7545,4.4629,-1.3091,-14.7564,-4.4432,1.3098,0.326076,0.431456,-0.112763,0.329956,-0.190500,0.563446,0.005422,0.491841,0.031484,180.000,-0.000,True
37,-30.0,-110.0,-30.0,-30.0,70.0,150.0,0.003,-30.190,-110.084,-29.997,0.190,-0.0001,14.7043,4.4053,-1.3746,-14.6935,-4.3803,1.3727,0.323092,0.431632,-0.151808,0.329956,-0.190500,0.563446,0.005422,0.488404,-0.007810,-180.000,-0.000,True
38,-30.0,-110.0,0.0,-30.0,70.0,-180.0,0.004,-30.131,-110.219,0.002,0.219,0.0001,15.0185,4.7133,-1.0741,-14.9984,-4.6853,1.0677,0.339947,0.430610,-0.187529,0.329956,-0.190500,0.563446,0.005422,0.505073,-0.043559,-180.000,-0.000,True
39,-30.0,-110.0,30.0,-30.0,70.0,-150.0,0.004,-30.207,-110.121,30.001,0.207,0.0001,15.5954,5.2992,-0.4845,-15.5894,-5.2763,0.4767,0.371763,0.428687,-0.210697,0.329956,-0.190500,0.563446,0.005422,0.537384,-0.066183,180.000,-0.000,True
40,-30.0,-110.0,60.0,-30.0,70.0,-120.0,0.004,-30.315,-109.971,59.999,0.315,0.0002,16.3082,6.0178,0.2355,-16.3082,-5.9950,-0.2420,0.410520,0.426346,-0.214791,0.329956,-0.190500,0.563446,0.005422,0.576678,-0.069621,180.000,-0.000,True
41,-30.0,-110.0,90.0,-30.0,70.0,-90.0,0.003,-30.365,-109.912,89.998,0.365,-0.0001,16.9658,6.6758,0.8922,-16.9621,-6.6489,-0.8959,0.446096,0.424200,-0.198539,0.329956,-0.190500,0.563446,0.005422,0.612426,-0.052951,180.000,-0.000,True
42,-30.0,-110.0,120.0,-30.0,70.0,-60.0,0.003,-30.340,-109.979,119.997,0.340,0.0002,17.4076,7.1046,1.3106,-17.3759,-7.0628,-1.3098,0.469041,0.422819,-0.166423,0.329956,-0.190500,0.563446,0.005422,0.635051,-0.020640,180.000,0.000,True
