pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.003,-30.326,-170.149,-150.001,0.326,-0.0003,11.2782,4.5552,0.4971,-11.2918,-4.5579,-0.4955,0.690219,0.340001,-0.476601,0.373950,-0.215900,0.731973,-0.346210,0.832029,-0.328567,180.000,0.000,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.003,-30.322,-170.092,-120.001,0.322,-0.0002,11.1695,4.4472,0.3883,-11.1818,-4.4478,-0.3854,0.668683,0.342996,-0.428264,0.373950,-0.215900,0.731973,-0.346210,0.809803,-0.280902,180.000,0.000,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.003,-30.314,-170.036,-90.001,0.314,-0.0003,10.9565,4.2347,0.1751,-10.9684,-4.2345,-0.1721,0.626300,0.348884,-0.397293,0.373950,-0.215900,0.731973,-0.346210,0.766722,-0.250737,180.000,0.000,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.003,-30.303,-170.001,-60.000,0.303,-0.0004,10.6967,3.9751,-0.0850,-10.7090,-3.9750,0.0874,0.574495,0.356079,-0.392065,0.373950,-0.215900,0.731973,-0.346210,0.714330,-0.246153,180.000,0.000,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.004,-30.295,-170.002,-29.999,0.295,-0.0004,10.4601,3.7382,-0.3219,-10.4729,-3.7390,0.3234,0.527208,0.362645,-0.413943,0.373950,-0.215900,0.731973,-0.346210,0.666665,-0.268380,180.000,0.000,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.004,-30.289,-170.030,0.001,0.289,-0.0005,10.3099,3.5873,-0.4724,-10.3235,-3.5896,0.4728,0.497091,0.366825,-0.456941,0.373950,-0.215900,0.731973,-0.346210,0.636500,-0.311460,180.000,0.000,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.004,-30.289,-170.028,30.001,0.289,-0.0003,10.2858,3.5632,-0.4965,-10.3008,-3.5669,0.4955,0.492273,0.367494,-0.509291,0.373950,-0.215900,0.731973,-0.346210,0.631916,-0.363852,-180.000,0.000,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.004,-30.293,-170.006,60.001,0.293,-0.0003,10.3951,3.6728,-0.3873,-10.4109,-3.6770,0.3854,0.514073,0.364466,-0.557019,0.373950,-0.215900,0.731973,-0.346210,0.654143,-0.411517,180.000,0.000,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.004,-30.301,-170.000,90.001,0.301,-0.0003,10.6081,3.8859,-0.1744,-10.6242,-3.8903,0.1721,0.556553,0.358564,-0.587466,0.373950,-0.215900,0.731973,-0.346210,0.697223,-0.441682,180.000,0.000,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.004,-30.310,-170.019,120.001,0.310,-0.0003,10.8671,4.1451,0.0850,-10.8837,-4.1497,-0.0874,0.608271,0.351379,-0.592570,0.373950,-0.215900,0.731973,-0.346210,0.749615,-0.446266,180.000,0.000,True
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,0.004,-30.319,-170.075,150.000,0.319,-0.0002,11.1037,4.3810,0.3216,-11.1197,-4.3858,-0.3234,0.655344,0.344840,-0.571138,0.373950,-0.215900,0.731973,-0.346210,0.797280,-0.424040,180.000,0.000,True
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,0.002,-30.267,-150.142,-150.001,0.267,-0.0001,11.4922,4.7677,0.4382,-11.4928,-4.7588,-0.4357,0.702526,0.338305,-0.312308,0.373950,-0.215900,0.754950,-0.215900,0.842938,-0.165100,180.000,0.000,True
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,0.002,-30.273,-150.074,-120.001,0.273,-0.0001,11.3069,4.5834,0.2545,-11.3086,-4.5747,-0.2516,0.665842,0.343402,-0.274432,0.373950,-0.215900,0.754950,-0.215900,0.805750,-0.127912,180.000,0.000,True
