pose_idx,j2_deg,j3_deg,j4_deg,target_r,target_z,ee_pitch_deg,status,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j1_peak_Nm,tau_j2_peak_Nm,tau_j3_peak_Nm,tau_j4_peak_Nm,ee_x_m,ee_y_m,ee_z_m,margin_front_m,margin_back_m,margin_left_m,margin_right_m,tipping_moment_Nm,stable,worst_j1_margin_m,worst_j1_deg,ee_contact,reactor_contact,contact_force_N,contact_bodies,chassis_drift_m,arm_chassis_contact,chassis_roll_deg,chassis_pitch_deg
1,-163.638,154.653,-21.015,0.05000,-0.23194,-30.0,tipped,2.7550,-4.7058,-0.4357,-0.0806,10.4756,3.8154,-0.4849,0.0806,10.4756,3.8154,0.4849,-0.018927,-0.767981,0.546674,0.092165,0.093660,0.651501,-0.325302,10.2136,0,-0.325302,0.0,0,0,0.0,,0.000785,0,14.716,-0.014
2,138.442,-136.035,57.593,0.10835,0.39043,60.0,tipped,1.2476,-4.5708,-0.2516,0.1514,10.9338,4.0202,-0.1388,0.1514,10.9338,4.0202,0.1388,-0.020470,-0.837152,0.078775,0.092680,0.093024,0.654269,-0.328130,10.3024,0,-0.328130,0.0,0,0,0.0,,0.000826,0,14.714,-0.015
3,45.034,81.43,-96.463,0.16671,0.66272,30.0,collision,-3.3615,2.1335,-0.4357,783.9240,395.8749,-1265.4829,-0.3305,820.7448,452.3397,1270.1304,0.3646,-0.025746,0.480796,0.034510,0.094509,0.098841,0.119744,0.219775,0.0000,1,-0.240318,180.0,0,0,0.0,,0.021335,1,5.624,-0.452
4,106.808,-112.535,-84.274,0.25423,0.27374,-90.0,collision,-2.0530,-4.3015,-0.0000,507.4213,-474.7553,3.8410,-0.2185,512.4088,481.2941,4.0676,0.2404,0.017302,-0.618260,0.231334,0.063254,0.156689,0.554044,-0.229008,7.1902,0,-0.229008,0.0,0,0,0.0,,0.044098,1,25.350,4.139
5,22.649,91.811,-69.46,0.31259,0.58493,45.0,collision,-5.7418,1.4342,-0.3558,11.2498,-964.4903,-18.6622,-0.2427,59.3776,1052.1200,18.7759,0.2682,-0.138276,0.530561,0.197283,0.134120,0.093865,0.041765,0.305685,0.0000,1,-0.260980,165.0,0,0,0.0,,0.029901,1,14.665,1.629
6,7.413,97.79,-150.204,0.40012,0.35154,-45.0,collision,-6.9327,0.7780,-0.3558,294.0537,1985.4148,-2.4713,-0.4267,328.9789,1988.7882,4.5776,0.6831,-0.106586,0.749039,0.506446,0.094786,0.109927,0.022889,0.314269,0.0000,1,-0.283643,180.0,0,0,0.0,,0.181821,1,14.328,-1.160
7,61.621,-120.938,29.316,0.48764,0.00145,-30.0,collision,-6.3375,-2.6418,-0.4357,292.3047,202.3262,1.9459,-0.4142,490.8822,318.5450,19.5264,2.1455,-0.084149,0.041441,-0.363867,0.140230,0.152329,0.354737,0.012584,0.0000,1,-0.178429,195.0,0,0,0.0,,0.147521,1,17.655,28.362
8,36.913,33.311,-115.224,0.54600,0.54603,-45.0,collision,-8.0355,-1.8185,-0.3558,703.0314,-415.9489,743.7068,-0.3186,867.5808,976.1932,860.1207,2.4306,-0.246629,0.400763,0.324757,0.178490,0.131394,0.232583,0.149794,0.0000,1,-0.130052,210.0,0,0,0.0,,0.071807,1,0.421,0.194
9,68.078,-81.422,13.345,0.63353,0.31264,0.0,collision,-7.6126,-4.7095,-0.5031,311.7840,-1815.1583,-2.0711,0.2789,391.9167,1866.9780,15.7471,1.5833,-0.946639,0.375052,0.380700,0.220649,0.050353,0.411408,-0.039264,1.2328,0,-0.072512,60.0,0,0,0.0,,0.629726,1,-174.110,-9.896
10,53.639,-45.399,-38.24,0.72105,0.35154,-30.0,collision,-9.3241,-4.7142,-0.4357,174.7676,219.9146,-3.8992,0.4122,175.2020,220.0784,3.8999,0.4123,-0.820289,0.432992,0.136592,0.183863,0.086379,0.363147,0.009671,0.0000,1,-0.036167,210.0,1,0,0.0000,/World/Robot/Chassis,0.000025,1,-174.998,1.451
