target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-60.0,0,-136.808,154.934,-78.126,0.05,-0.23194,1.5155,-3.458,-0.1882,3.458,0.07395,90,True,24,24
0.05,-0.23194,-45.0,0,-143.021,152.676,-54.655,0.05,-0.23194,1.7916,-3.658,-0.2662,3.658,0.07273,90,True,24,24
0.05,-0.23194,-30.0,0,-147.282,149.556,-32.274,0.05,-0.23194,1.9756,-3.7638,-0.326,3.7638,0.07191,90,True,24,24
0.05,-0.23194,0.0,0,-149.566,142.225,7.341,0.05,-0.23194,2.093,-3.7888,-0.3765,3.7888,0.07139,90,True,24,24
0.05,-0.23194,30.0,0,-145.906,135.229,40.677,0.05,-0.23194,1.9423,-3.707,-0.326,3.707,0.07206,90,True,24,24
0.05,-0.19819,-45.0,0,-139.896,159.272,-64.376,0.05,-0.19819,1.706,-3.5118,-0.2662,3.5118,0.07311,90,True,24,24
0.05,-0.19819,-30.0,0,-146.106,156.001,-39.895,0.05,-0.19819,1.9472,-3.7154,-0.326,3.7154,0.07204,90,True,24,24
0.05,-0.19819,0.0,0,-150.273,148.531,1.742,0.05,-0.19819,2.1086,-3.8154,-0.3765,3.8154,0.07132,90,True,24,24
0.05,-0.19819,30.0,0,-146.975,141.582,35.392,0.05,-0.19819,1.9682,-3.7513,-0.326,3.7513,0.07194,90,True,24,24
0.05,-0.19819,45.0,0,-143.806,138.708,50.098,0.05,-0.19819,1.8122,-3.6931,-0.2662,3.6931,0.07264,90,True,24,24
0.05,-0.19819,60.0,0,-140.093,136.377,63.716,0.05,-0.19819,1.6113,-3.6215,-0.1882,3.6215,0.07353,90,True,24,24
0.05,-0.16444,0.0,0,-149.975,154.906,-4.931,0.05,-0.16444,2.1021,-3.8042,-0.3765,3.8042,0.07135,90,True,24,24
0.05,-0.16444,30.0,0,-147.345,147.916,29.429,0.05,-0.16444,1.9771,-3.7664,-0.326,3.7664,0.0719,90,True,24,24
0.05,-0.16444,45.0,0,-144.103,145.055,44.048,0.05,-0.16444,1.8199,-3.7062,-0.2662,3.7062,0.0726,90,True,24,24
0.05,-0.16444,60.0,0,-140.172,142.728,57.445,0.05,-0.16444,1.6136,-3.6253,-0.1882,3.6253,0.07352,90,True,24,24
0.05,0.0043,-90.0,1,90.152,-170.518,-9.635,0.05,0.0043,-0.5577,-0.5758,-0.0,0.5758,0.07821,90,True,24,24
0.05,0.03805,-90.0,1,110.836,-163.343,-37.493,0.05,0.03805,0.3324,-2.0941,0.0,2.0941,0.07921,90,True,24,24
0.05,0.03805,-60.0,1,121.07,-167.901,-13.169,0.05,0.03805,0.9786,-2.5421,-0.1882,2.5421,0.07634,90,True,24,24
0.05,0.03805,-45.0,1,122.409,-171.321,3.913,0.05,0.03805,1.1288,-2.5273,-0.2662,2.5273,0.07567,90,True,24,24
0.05,0.03805,-30.0,1,112.277,-177.355,35.078,0.05,0.03805,0.8102,-1.7758,-0.326,1.7758,0.07709,90,True,24,24
0.05,0.07179,-90.0,1,121.24,-156.916,-54.324,0.05,0.07179,0.7431,-2.7948,-0.0,2.7948,0.07738,90,True,24,24
0.05,0.07179,-60.0,1,132.425,-160.501,-31.923,0.05,0.07179,1.3782,-3.2238,-0.1882,3.2238,0.07456,90,True,24,24
0.05,0.07179,-45.0,1,136.499,-163.123,-18.375,0.05,0.07179,1.6063,-3.3419,-0.2662,3.3419,0.07355,90,True,24,24
0.05,0.07179,-30.0,1,138.524,-166.386,-2.139,0.05,0.07179,1.7434,-3.3677,-0.326,3.3677,0.07294,90,True,24,24
0.05,0.07179,0.0,1,113.987,-179.013,65.026,0.05,0.07179,0.9442,-1.8291,-0.3765,1.8291,0.07649,90,True,24,24
0.05,0.10554,-90.0,1,126.941,-150.694,-66.247,0.05,0.10554,0.9508,-3.1491,-0.0,3.1491,0.07646,90,True,24,24
0.05,0.10554,-60.0,1,137.386,-153.858,-43.528,0.05,0.10554,1.5328,-3.4875,-0.1882,3.4875,0.07388,90,True,24,24
0.05,0.10554,-45.0,1,141.653,-156.277,-30.376,0.05,0.10554,1.7548,-3.5952,-0.2662,3.5952,0.07289,90,True,24,24
0.05,0.10554,-30.0,1,144.733,-159.238,-15.495,0.05,0.10554,1.9129,-3.6569,-0.326,3.6569,0.07219,90,True,24,24
0.05,0.10554,0.0,1,143.285,-166.927,23.642,0.05,0.10554,1.9402,-3.5282,-0.3765,3.5282,0.07207,90,True,24,24
0.05,0.13929,-90.0,1,130.044,-144.518,-75.526,0.05,0.13929,1.0576,-3.3313,-0.0,3.3313,0.07599,90,True,24,24
0.05,0.13929,-60.0,1,139.571,-147.453,-52.118,0.05,0.13929,1.5965,-3.5962,-0.1882,3.5962,0.07359,90,True,24,24
0.05,0.13929,-45.0,1,143.67,-149.799,-38.87,0.05,0.13929,1.8086,-3.687,-0.2662,3.687,0.07265,90,True,24,24
0.05,0.13929,-30.0,1,146.924,-152.675,-24.249,0.05,0.13929,1.967,-3.7492,-0.326,3.7492,0.07195,90,True,24,24
0.05,0.13929,0.0,1,148.596,-159.802,11.207,0.05,0.13929,2.0711,-3.7514,-0.3765,3.7514,0.07149,90,True,24,24
0.05,0.13929,30.0,1,135.479,-168.468,62.988,0.05,0.13929,1.652,-3.2119,-0.326,3.2119,0.07335,90,True,24,24
0.05,0.13929,45.0,1,116.491,-173.477,101.986,0.05,0.13929,0.9022,-2.1407,-0.2662,2.1407,0.07668,90,True,24,24
0.05,0.13929,90.0,0,34.85,175.634,-120.484,0.05,0.13929,-2.6333,2.9649,-0.0,2.9649,0.06899,90,True,24,24
0.05,0.17304,-90.0,1,131.544,-138.312,-83.232,0.05,0.17304,1.1076,-3.4165,-0.0,3.4165,0.07577,90,True,24,24
0.05,0.17304,-60.0,1,140.235,-141.113,-59.121,0.05,0.17304,1.6153,-3.6283,-0.1882,3.6283,0.07351,90,True,24,24
0.05,0.17304,-45.0,1,144.109,-143.44,-45.669,0.05,0.17304,1.82,-3.7065,-0.2662,3.7065,0.0726,90,True,24,24
0.05,0.17304,-30.0,1,147.335,-146.3,-31.035,0.05,0.17304,1.9768,-3.766,-0.326,3.766,0.07191,90,True,24,24
0.05,0.17304,0.0,1,150.182,-153.269,3.087,0.05,0.17304,2.1066,-3.812,-0.3765,3.812,0.07133,90,True,24,24
0.05,0.17304,30.0,1,143.678,-160.997,47.319,0.05,0.17304,1.8857,-3.6105,-0.326,3.6105,0.07231,90,True,24,24
0.05,0.17304,45.0,0,48.894,164.537,-168.431,0.05,0.17304,-1.8799,2.6051,-0.2662,2.6051,0.07234,90,True,24,24
0.05,0.17304,45.0,1,134.837,-164.537,74.7,0.05,0.17304,1.5552,-3.2547,-0.2662,3.2547,0.07378,90,True,24,24
