target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-60.0,0,-150.396,160.885,-70.489,0.05,-0.23194,2.2582,-4.5024,-0.2516,4.5024,0.07066,90,True,24,24
0.05,-0.23194,-45.0,0,-158.887,158.201,-44.314,0.05,-0.23194,2.5752,-4.6786,-0.3558,4.6786,0.06926,90,True,24,24
0.05,-0.23194,-30.0,0,-163.638,154.653,-21.015,0.05,-0.23194,2.755,-4.7058,-0.4357,4.7058,0.06846,90,True,24,24
0.05,-0.23194,0.0,0,-164.095,146.746,17.348,0.05,-0.23194,2.8484,-4.6296,-0.5031,4.6296,0.06804,90,True,24,24
0.05,-0.19304,-45.0,0,-158.154,164.102,-50.948,0.05,-0.19304,2.5617,-4.6556,-0.3558,4.6556,0.06932,90,True,24,24
0.05,-0.19304,-30.0,0,-165.268,160.384,-25.116,0.05,-0.19304,2.7769,-4.7431,-0.4357,4.7431,0.06836,90,True,24,24
0.05,-0.19304,0.0,0,-166.888,152.436,14.453,0.05,-0.19304,2.8836,-4.6894,-0.5031,4.6894,0.06789,90,True,24,24
0.05,-0.19304,30.0,0,-160.202,145.361,44.841,0.05,-0.19304,2.7015,-4.6146,-0.4357,4.6146,0.0687,90,True,24,24
0.05,-0.19304,45.0,0,-155.528,142.481,58.047,0.05,-0.19304,2.5099,-4.5673,-0.3558,4.5673,0.06955,90,True,24,24
0.05,-0.15414,0.0,0,-169.669,158.054,11.614,0.05,-0.15414,2.9119,-4.7377,-0.5031,4.7377,0.06776,90,True,24,24
0.05,-0.15414,30.0,0,-162.419,151.14,41.278,0.05,-0.15414,2.7372,-4.6753,-0.4357,4.6753,0.06854,90,True,24,24
0.05,-0.15414,45.0,0,-157.26,148.34,53.919,0.05,-0.15414,2.5447,-4.6266,-0.3558,4.6266,0.06939,90,True,24,24
0.05,-0.15414,60.0,0,-151.645,146.064,65.581,0.05,-0.15414,2.2886,-4.5542,-0.2516,4.5542,0.07053,90,True,24,24
0.05,0.00145,-90.0,1,120.746,-165.46,-45.287,0.05,0.00145,0.9031,-3.0722,-0.0,3.0722,0.07668,90,True,24,24
0.05,0.00145,-60.0,1,140.86,-169.587,-31.273,0.05,0.00145,1.9883,-4.0426,-0.2516,4.0426,0.07186,90,True,24,24
0.05,0.00145,-45.0,1,151.055,-171.918,-24.138,0.05,0.00145,2.409,-4.3954,-0.3558,4.3954,0.06999,90,True,24,24
0.05,0.00145,-30.0,1,161.439,-174.361,-17.079,0.05,0.00145,2.7219,-4.6494,-0.4357,4.6494,0.0686,90,True,24,24
0.05,0.00145,30.0,0,-160.466,174.909,15.556,0.05,0.00145,2.7059,-4.6222,-0.4357,4.6222,0.06868,90,True,24,24
0.05,0.04035,-90.0,1,131.126,-159.885,-61.241,0.05,0.04035,1.3244,-3.7898,-0.0,3.7898,0.07481,90,True,24,24
0.05,0.04035,-60.0,1,148.948,-163.292,-45.655,0.05,0.04035,2.2215,-4.4399,-0.2516,4.4399,0.07083,90,True,24,24
0.05,0.04035,-45.0,1,157.605,-165.498,-37.106,0.05,0.04035,2.5513,-4.6379,-0.3558,4.6379,0.06936,90,True,24,24
0.05,0.04035,-30.0,1,165.861,-168.016,-27.844,0.05,0.04035,2.7844,-4.7558,-0.4357,4.7558,0.06833,90,True,24,24
0.05,0.04035,0.0,1,178.292,-174.156,-4.135,0.05,0.04035,2.9573,-4.815,-0.5031,4.815,0.06756,90,True,24,24
0.05,0.07925,-90.0,1,136.375,-154.269,-72.106,0.05,0.07925,1.5147,-4.114,-0.0,4.114,0.07396,90,True,24,24
0.05,0.07925,-60.0,1,151.619,-157.345,-54.273,0.05,0.07925,2.288,-4.5531,-0.2516,4.5531,0.07053,90,True,24,24
0.05,0.07925,-45.0,1,158.888,-159.556,-44.332,0.05,0.07925,2.5752,-4.6786,-0.3558,4.6786,0.06926,90,True,24,24
