target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-30.0,0,-163.638,154.653,-21.015,0.05,-0.23194,2.755,-4.7058,-0.4357,4.7058,0.06846,90,True,24,24
0.10835,0.39043,60.0,1,138.442,-136.035,57.593,0.10835,0.39043,1.2476,-4.5708,-0.2516,4.5708,0.07515,90,True,24,24
0.16671,0.66272,30.0,0,45.034,81.43,-96.463,0.16671,0.66272,-3.3615,2.1335,-0.4357,3.3615,0.06577,90,True,24,24
0.25423,0.27374,-90.0,1,106.808,-112.535,-84.274,0.25423,0.27374,-2.053,-4.3015,-0.0,4.3015,0.07157,90,True,24,24
0.31259,0.58493,45.0,0,22.649,91.811,-69.46,0.31259,0.58493,-5.7418,1.4342,-0.3558,5.7418,0.0552,90,True,24,24
0.40012,0.35154,-45.0,0,7.413,97.79,-150.204,0.40012,0.35154,-6.9327,0.778,-0.3558,6.9327,0.04992,90,True,24,24
0.48764,0.00145,-30.0,1,61.621,-120.938,29.316,0.48764,0.00145,-6.3375,-2.6418,-0.4357,6.3375,0.05256,90,True,24,24
0.546,0.54603,-45.0,0,36.913,33.311,-115.224,0.546,0.54603,-8.0355,-1.8185,-0.3558,8.0355,0.04503,90,True,24,24
0.63353,0.31264,0.0,1,68.078,-81.422,13.345,0.63353,0.31264,-7.6126,-4.7095,-0.5031,7.6126,0.0469,90,True,24,24
0.72105,0.35154,-30.0,1,53.639,-45.399,-38.24,0.72105,0.35154,-9.3241,-4.7142,-0.4357,9.3241,0.03931,90,True,24,24
