target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-60.0,0,-150.396,160.885,-70.489,0.05,-0.23194,1.5907,-10.1826,-0.9298,10.1826,0.07402,90,True,24,24
0.05,-0.23194,-45.0,0,-158.887,158.201,-44.314,0.05,-0.23194,1.9076,-10.7243,-1.315,10.7243,0.07269,90,True,24,24
0.05,-0.23194,-30.0,0,-163.638,154.653,-21.015,0.05,-0.23194,2.0874,-10.905,-1.6105,10.905,0.07194,90,True,24,24
0.05,-0.23194,0.0,0,-164.095,146.746,17.348,0.05,-0.23194,2.1809,-10.8416,-1.8596,10.8416,0.07155,90,True,24,24
0.05,-0.19304,-45.0,0,-158.154,164.102,-50.948,0.05,-0.19304,1.8941,-10.6743,-1.315,10.6743,0.07275,90,True,24,24
0.05,-0.19304,-30.0,0,-165.268,160.384,-25.116,0.05,-0.19304,2.1094,-10.9863,-1.6105,10.9863,0.07185,90,True,24,24
0.05,-0.19304,0.0,0,-166.888,152.436,14.453,0.05,-0.19304,2.216,-10.9718,-1.8596,10.9718,0.0714,90,True,24,24
0.05,-0.19304,30.0,0,-160.202,145.361,44.841,0.05,-0.19304,2.0339,-10.7066,-1.6105,10.7066,0.07216,90,True,24,24
0.05,-0.19304,45.0,0,-155.528,142.481,58.047,0.05,-0.19304,1.8423,-10.482,-1.315,10.482,0.07297,90,True,24,24
0.05,-0.15414,0.0,0,-169.669,158.054,11.614,0.05,-0.15414,2.2443,-11.077,-1.8596,11.077,0.07128,90,True,24,24
0.05,-0.15414,30.0,0,-162.419,151.14,41.278,0.05,-0.15414,2.0696,-10.8388,-1.6105,10.8388,0.07201,90,True,24,24
0.05,-0.15414,45.0,0,-157.26,148.34,53.919,0.05,-0.15414,1.8771,-10.6112,-1.315,10.6112,0.07282,90,True,24,24
0.05,-0.15414,60.0,0,-151.645,146.064,65.581,0.05,-0.15414,1.621,-10.2952,-0.9298,10.2952,0.07389,90,True,24,24
0.05,0.00145,-90.0,1,120.746,-165.46,-45.287,0.05,0.00145,0.2355,-6.6871,-0.0,6.6871,0.0797,90,True,24,24
0.05,0.00145,-60.0,1,140.86,-169.587,-31.273,0.05,0.00145,1.3207,-9.1817,-0.9298,9.1817,0.07515,90,True,24,24
0.05,0.00145,-45.0,1,151.055,-171.918,-24.138,0.05,0.00145,1.7414,-10.108,-1.315,10.108,0.07339,90,True,24,24
0.05,0.00145,-30.0,1,161.439,-174.361,-17.079,0.05,0.00145,2.0543,-10.7822,-1.6105,10.7822,0.07208,90,True,24,24
0.05,0.00145,30.0,0,-160.466,174.909,15.556,0.05,0.00145,2.0384,-10.7231,-1.6105,10.7231,0.07214,90,True,24,24
0.05,0.04035,-90.0,1,131.126,-159.885,-61.241,0.05,0.04035,0.6568,-8.2493,-0.0,8.2493,0.07793,90,True,24,24
0.05,0.04035,-60.0,1,148.948,-163.292,-45.655,0.05,0.04035,1.554,-10.0464,-0.9298,10.0464,0.07417,90,True,24,24
0.05,0.04035,-45.0,1,157.605,-165.498,-37.106,0.05,0.04035,1.8837,-10.6358,-1.315,10.6358,0.07279,90,True,24,24
0.05,0.04035,-30.0,1,165.861,-168.016,-27.844,0.05,0.04035,2.1168,-11.0138,-1.6105,11.0138,0.07182,90,True,24,24
0.05,0.04035,0.0,1,178.292,-174.156,-4.135,0.05,0.04035,2.2897,-11.2451,-1.8596,11.2451,0.07109,90,True,24,24
0.05,0.07925,-90.0,1,136.375,-154.269,-72.106,0.05,0.07925,0.8471,-8.9548,-0.0,8.9548,0.07713,90,True,24,24
0.05,0.07925,-60.0,1,151.619,-157.345,-54.273,0.05,0.07925,1.6204,-10.2928,-0.9298,10.2928,0.07389,90,True,24,24
0.05,0.07925,-45.0,1,158.888,-159.556,-44.332,0.05,0.07925,1.9076,-10.7243,-1.315,10.7243,0.07269,90,True,24,24
0.05,0.07925,-30.0,1,165.634,-162.187,-33.448,0.05,0.07925,2.114,-11.0034,-1.6105,11.0034,0.07183,90,True,24,24
0.05,0.07925,0.0,1,175.11,-168.715,-6.396,0.05,0.07925,2.2805,-11.2111,-1.8596,11.2111,0.07113,90,True,24,24
0.05,0.11815,-90.0,1,138.945,-148.593,-80.352,0.05,0.11815,0.934,-9.2769,-0.0,9.2769,0.07677,90,True,24,24
0.05,0.11815,-60.0,1,152.147,-151.486,-60.661,0.05,0.11815,1.6329,-10.3392,-0.9298,10.3392,0.07384,90,True,24,24
0.05,0.11815,-45.0,1,158.43,-153.727,-49.703,0.05,0.11815,1.8992,-10.6933,-1.315,10.6933,0.07273,90,True,24,24
0.05,0.11815,-30.0,1,164.208,-156.45,-37.758,0.05,0.11815,2.0954,-10.9344,-1.6105,10.9344,0.0719,90,True,24,24
0.05,0.11815,0.0,1,172.252,-163.202,-9.05,0.05,0.11815,2.2647,-11.1525,-1.8596,11.1525,0.0712,90,True,24,24
0.05,0.11815,30.0,1,164.363,-171.759,37.396,0.05,0.11815,2.0975,-10.9422,-1.6105,10.9422,0.0719,90,True,24,24
0.05,0.11815,45.0,1,121.952,-179.102,102.15,0.05,0.11815,0.7466,-6.4193,-1.315,6.4193,0.07756,90,True,24,24
0.05,0.11815,90.0,0,3.962,178.037,-91.999,0.05,0.11815,-4.1042,9.4043,0.0,9.4043,0.06349,90,True,24,24
0.05,0.15704,-90.0,1,139.946,-142.838,-87.108,0.05,0.15704,0.9666,-9.398,-0.0,9.398,0.07663,90,True,24,24
0.05,0.15704,-60.0,1,151.576,-145.625,-65.951,0.05,0.15704,1.6194,-10.2891,-0.9298,10.2891,0.0739,90,True,24,24
0.05,0.15704,-45.0,1,157.145,-147.905,-54.239,0.05,0.15704,1.8749,-10.6029,-1.315,10.6029,0.07283,90,True,24,24
0.05,0.15704,-30.0,1,162.262,-150.711,-41.551,0.05,0.15704,2.0672,-10.8299,-1.6105,10.8299,0.07202,90,True,24,24
0.05,0.15704,0.0,1,169.461,-157.638,-11.824,0.05,0.15704,2.2425,-11.07,-1.8596,11.07,0.07129,90,True,24,24
0.05,0.15704,30.0,1,166.006,-165.732,29.726,0.05,0.15704,2.1186,-11.0204,-1.6105,11.0204,0.07181,90,True,24,24
