sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,-0.1312,-0.0331,-0.1321,-0.7731,-0.05622,-1.74500,-1.18294,-144.65,0.0073,1.7459
0.0083,0.0015,0.3954,0.0013,-0.6399,-0.05640,-1.74468,-1.18300,-144.58,0.0366,1.7456
0.0167,0.0001,0.3699,-0.0001,-0.5040,-0.05656,-1.74442,-1.18304,-144.51,0.0372,1.7453
0.0250,-0.0009,0.3388,-0.0013,-0.3832,-0.05671,-1.74422,-1.18309,-144.45,0.0299,1.7451
0.0333,0.0032,0.3994,0.0019,-0.3926,-0.05686,-1.74403,-1.18313,-144.39,0.0285,1.7450
0.0417,0.0003,0.3856,0.0002,-0.2635,-0.05697,-1.74386,-1.18316,-144.35,0.0249,1.7448
0.0500,-0.0021,0.2994,-0.0014,-0.0803,-0.05706,-1.74373,-1.18319,-144.31,0.0188,1.7447
0.0583,0.0004,0.2767,0.0008,-0.1762,-0.05713,-1.74365,-1.18321,-144.28,0.0125,1.7446
0.0667,-0.0002,0.2104,0.0002,-0.0372,-0.05715,-1.74364,-1.18321,-144.28,0.0028,1.7446
0.0750,0.0009,0.2705,0.0011,-0.0004,-0.05716,-1.74364,-1.18321,-144.27,0.0019,1.7446
0.0833,-0.0020,0.3407,-0.0017,0.1225,-0.05717,-1.74365,-1.18321,-144.27,0.0013,1.7446
0.0917,0.0000,0.4264,-0.0004,0.1785,-0.05718,-1.74365,-1.18321,-144.26,0.0012,1.7446
0.1000,-0.0025,0.4982,-0.0015,0.2648,-0.05719,-1.74366,-1.18321,-144.26,0.0010,1.7446
0.1083,-0.0001,0.5959,-0.0007,0.3250,-0.05719,-1.74367,-1.18321,-144.26,0.0010,1.7446
0.1167,0.0001,0.6892,-0.0001,0.3741,-0.05721,-1.74367,-1.18321,-144.25,0.0017,1.7446
0.1250,-0.0023,0.7638,-0.0014,0.4390,-0.05722,-1.74368,-1.18321,-144.25,0.0017,1.7446
0.1333,-0.0006,0.8724,-0.0005,0.4943,-0.05723,-1.74369,-1.18321,-144.24,0.0020,1.7446
0.1417,-0.0001,0.9475,-0.0000,0.5551,-0.05724,-1.74370,-1.18321,-144.23,0.0021,1.7446
0.1500,0.0034,1.0315,0.0011,0.6045,-0.05726,-1.74372,-1.18321,-144.23,0.0025,1.7447
0.1583,0.0005,1.1580,-0.0027,0.6857,-0.05728,-1.74373,-1.18321,-144.22,0.0035,1.7447
0.1667,-0.0001,1.2564,-0.0023,0.7344,-0.05731,-1.74376,-1.18321,-144.20,0.0041,1.7447
0.1750,-0.0005,1.3546,-0.0021,0.7779,-0.05734,-1.74378,-1.18321,-144.19,0.0049,1.7447
0.1833,-0.0002,1.3968,0.0004,0.8396,-0.05737,-1.74381,-1.18321,-144.17,0.0054,1.7448
0.1917,-0.0004,1.4764,0.0003,0.9711,-0.05740,-1.74383,-1.18321,-144.16,0.0042,1.7448
0.2000,-0.0002,1.5471,-0.0023,1.0998,-0.05741,-1.74385,-1.18321,-144.15,0.0018,1.7448
0.2083,0.0009,1.6453,0.0006,1.1337,-0.05742,-1.74386,-1.18321,-144.15,0.0020,1.7448
0.2167,0.0000,1.7182,0.0001,1.2242,-0.05742,-1.74388,-1.18321,-144.15,0.0018,1.7448
0.2250,0.0003,1.8055,-0.0011,1.2911,-0.05743,-1.74389,-1.18321,-144.14,0.0023,1.7448
0.2333,0.0002,1.8990,-0.0002,1.3555,-0.05744,-1.74391,-1.18321,-144.14,0.0024,1.7449
0.2417,-0.0003,1.9883,-0.0013,1.4098,-0.05745,-1.74393,-1.18321,-144.14,0.0025,1.7449
0.2500,-0.0005,2.0843,0.0012,1.5041,-0.05746,-1.74395,-1.18321,-144.13,0.0026,1.7449
0.2583,-0.0002,2.1674,-0.0020,1.5611,-0.05747,-1.74397,-1.18321,-144.13,0.0034,1.7449
0.2667,-0.0003,2.2396,-0.0001,1.5958,-0.05749,-1.74401,-1.18320,-144.12,0.0044,1.7450
0.2750,-0.0004,2.3387,-0.0005,1.5311,-0.05751,-1.74407,-1.18320,-144.10,0.0084,1.7450
0.2833,-0.0008,2.4354,-0.0006,1.5866,-0.05754,-1.74417,-1.18319,-144.08,0.0127,1.7451
0.2917,-0.0005,2.5566,0.0001,1.6033,-0.05758,-1.74427,-1.18318,-144.06,0.0120,1.7452
0.3000,-0.0006,2.6295,0.0019,1.6435,-0.05762,-1.74439,-1.18317,-144.03,0.0156,1.7453
0.3083,-0.0004,2.7027,0.0005,1.6316,-0.05767,-1.74455,-1.18316,-143.99,0.0200,1.7455
0.3167,-0.0014,2.8432,0.0040,1.5902,-0.05773,-1.74476,-1.18315,-143.94,0.0269,1.7457
0.3250,-0.0014,2.9271,-0.0024,1.6318,-0.05780,-1.74499,-1.18314,-143.89,0.0278,1.7459
0.3333,0.0016,3.0259,0.0027,1.4960,-0.05788,-1.74527,-1.18312,-143.82,0.0353,1.7462
0.3417,-0.0027,3.1331,-0.0032,1.7169,-0.05802,-1.74557,-1.18309,-143.72,0.0401,1.7465
0.3500,-0.0034,3.1832,-0.0015,1.7601,-0.05816,-1.74590,-1.18306,-143.61,0.0427,1.7469
0.3583,-0.0017,3.2296,0.0005,1.4295,-0.05831,-1.74623,-1.18302,-143.50,0.0435,1.7472
0.3667,-0.0010,3.1978,-0.0019,1.3000,-0.05849,-1.74669,-1.18298,-143.36,0.0600,1.7477
0.3750,-0.0001,3.0549,-0.0002,1.2902,-0.05864,-1.74730,-1.18294,-143.23,0.0746,1.7483
0.3833,-0.0002,2.9228,-0.0002,1.1250,-0.05872,-1.74808,-1.18289,-143.12,0.0948,1.7491
0.3917,-0.0000,2.8071,-0.0011,0.9933,-0.05875,-1.74906,-1.18283,-143.00,0.1170,1.7500
0.4000,0.0003,2.6705,0.0002,0.7512,-0.05875,-1.75023,-1.18277,-142.89,0.1404,1.7512
0.4083,-0.7824,2.5214,-0.0044,0.3480,-0.05832,-1.75122,-1.18276,-142.65,0.1295,1.7522
0.4167,-0.5986,2.8171,-0.0004,0.1384,-0.05736,-1.75194,-1.18278,-142.36,0.1448,1.7529
0.4250,-0.6012,3.0335,0.0010,0.0955,-0.05645,-1.75278,-1.18281,-142.04,0.1489,1.7537
0.4333,-0.4837,2.5637,-0.0039,-0.1593,-0.05506,-1.75379,-1.18289,-141.72,0.2055,1.7546
0.4417,-0.6722,2.5903,-0.0004,2.0737,-0.05367,-1.75435,-1.18286,-141.56,0.1804,1.7552
0.4500,-0.3532,1.7340,-0.0000,1.7778,-0.05314,-1.75467,-1.18274,-141.44,0.0732,1.7555
0.4583,-0.6263,3.7558,-0.0004,2.1067,-0.05315,-1.75505,-1.18265,-141.30,0.0466,1.7559
0.4667,-0.4864,3.4619,0.0014,1.8378,-0.05279,-1.75555,-1.18255,-141.16,0.0731,1.7563
0.4750,-0.3968,2.7854,-0.0033,2.2954,-0.05239,-1.75613,-1.18244,-141.02,0.0851,1.7569
0.4833,-0.6627,3.8844,0.0009,1.5612,-0.05218,-1.75677,-1.18234,-140.82,0.0813,1.7575
0.4917,-1.1345,2.9826,0.0011,1.4557,-0.05193,-1.75733,-1.18223,-140.57,0.0729,1.7581
0.5000,-0.5327,2.6740,-0.0009,1.3417,-0.05184,-1.75796,-1.18214,-140.30,0.0770,1.7587
0.5083,-0.7265,1.7354,-0.0024,1.1526,-0.05172,-1.75865,-1.18207,-139.98,0.0837,1.7594
0.5167,-0.7310,1.8893,0.0003,1.0786,-0.05144,-1.75944,-1.18203,-139.65,0.0998,1.7602
0.5250,-0.8307,2.9753,-0.0003,0.7426,-0.05089,-1.76053,-1.18202,-139.30,0.1475,1.7613
0.5333,-0.1927,2.6691,0.0027,0.5688,-0.04959,-1.76192,-1.18205,-138.97,0.2284,1.7626
0.5417,0.0069,2.6897,-1.0923,2.3379,-0.04742,-1.76330,-1.18215,-138.68,0.3084,1.7639
0.5500,-0.2321,2.9001,-0.4239,1.7079,-0.04508,-1.76343,-1.18227,-138.85,0.2814,1.7640
0.5583,-0.2746,2.7935,-0.2042,1.4817,-0.04281,-1.76359,-1.18244,-139.04,0.2724,1.7641
0.5667,-0.1775,1.8007,-0.2453,2.9347,-0.04058,-1.76379,-1.18262,-139.24,0.2697,1.7643
0.5750,0.0437,3.1338,-1.2001,4.6201,-0.03867,-1.76402,-1.18263,-139.42,0.2300,1.7644
0.5833,-0.1618,2.7278,-0.6617,3.3445,-0.03674,-1.76412,-1.18249,-139.65,0.2321,1.7645
0.5917,-0.2025,3.4705,-0.7012,4.2745,-0.03497,-1.76426,-1.18237,-139.89,0.2137,1.7646
0.6000,-0.4782,2.6101,-0.6038,2.9168,-0.03309,-1.76446,-1.18223,-140.12,0.2269,1.7648
0.6083,-0.1165,2.8386,-0.7763,3.4716,-0.03128,-1.76474,-1.18209,-140.38,0.2194,1.7650
0.6167,-0.1591,1.8904,-0.5932,3.3624,-0.02968,-1.76508,-1.18196,-140.64,0.1962,1.7653
0.6250,-0.9647,1.2839,-0.4829,2.4530,-0.02865,-1.76550,-1.18185,-140.95,0.1330,1.7657
0.6333,-0.4161,1.6054,-0.3269,2.1010,-0.02646,-1.76534,-1.18176,-140.92,0.2641,1.7655
0.6417,-0.5614,2.9556,-0.1358,1.7002,-0.02429,-1.76502,-1.18171,-140.85,0.2626,1.7652
0.6500,-0.0350,4.2062,-0.0431,2.9711,-0.02184,-1.76503,-1.18164,-140.96,0.2946,1.7652
0.6583,-0.0725,1.8745,-0.1501,1.5925,-0.01972,-1.76559,-1.18160,-140.89,0.2629,1.7657
0.6667,0.2582,1.2396,-0.2064,3.1703,-0.01734,-1.76641,-1.18161,-140.91,0.3018,1.7665
0.6750,-0.6922,3.5323,0.4373,2.2768,-0.01477,-1.76676,-1.18168,-140.98,0.3113,1.7668
0.6833,-0.3995,2.9980,0.3968,2.3004,-0.01209,-1.76715,-1.18183,-141.03,0.3250,1.7672
0.6917,0.1752,2.5289,-0.1407,1.0265,-0.00962,-1.76724,-1.18180,-140.91,0.2968,1.7673
0.7000,-0.4414,4.6853,-0.0983,1.4302,-0.00707,-1.76721,-1.18175,-140.86,0.3054,1.7672
0.7083,0.4151,3.5414,-0.2328,1.9810,-0.00456,-1.76673,-1.18175,-140.69,0.3074,1.7667
0.7167,-0.1135,3.4933,-0.2391,1.4998,-0.00206,-1.76588,-1.18179,-140.56,0.3168,1.7659
0.7250,0.5436,1.8858,-0.3443,1.4596,0.00025,-1.76512,-1.18186,-140.33,0.2916,1.7651
0.7333,-0.1145,3.3254,-0.2791,1.4616,0.00222,-1.76443,-1.18195,-140.08,0.2513,1.7644
0.7417,-0.8162,1.4961,-1.1917,2.7928,0.00352,-1.76404,-1.18203,-140.13,0.1628,1.7640
0.7500,-1.7199,2.6143,-0.9251,2.0176,0.00488,-1.76371,-1.18214,-140.30,0.1667,1.7637
0.7583,-0.9727,2.5325,-0.5187,1.7178,0.00693,-1.76338,-1.18231,-140.53,0.2500,1.7634
0.7667,-1.3629,2.7930,-0.4535,1.7094,0.00901,-1.76308,-1.18252,-140.77,0.2521,1.7631
