sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,3.8381,4.2769,2.0763,3.7433,0.00179,-1.61427,-1.23750,-90.72,0.0684,1.6143
0.0083,1.0325,1.0036,0.7691,0.8413,-0.00813,-1.61570,-1.23705,-91.06,1.0024,1.6157
0.0167,0.2303,0.4147,0.3219,0.4128,-0.01995,-1.61735,-1.23726,-91.34,1.4322,1.6175
0.0250,0.1392,0.2230,-0.2893,0.3868,-0.03205,-1.61854,-1.23792,-91.59,1.4589,1.6189
0.0333,0.2922,0.2294,-0.4219,-0.0204,-0.04429,-1.62009,-1.23921,-91.72,1.4809,1.6207
0.0417,0.2603,1.3596,-0.5844,0.0082,-0.05772,-1.62185,-1.24073,-91.94,1.6256,1.6229
0.0500,0.1942,2.5310,-0.1603,-0.2422,-0.07046,-1.62409,-1.24170,-92.32,1.5516,1.6256
0.0583,1.3889,3.0033,0.0076,2.5733,-0.08231,-1.62599,-1.24045,-92.50,1.4406,1.6281
0.0667,0.9335,0.6131,0.0079,2.2050,-0.09553,-1.62860,-1.23879,-92.94,1.6172,1.6314
0.0750,0.6299,-0.1501,0.0049,1.8275,-0.10966,-1.63138,-1.23783,-93.48,1.7278,1.6351
0.0833,0.6216,1.4144,0.0680,1.3949,-0.12455,-1.63449,-1.23725,-93.89,1.8253,1.6392
0.0917,0.3823,0.2753,0.1400,0.4212,-0.13993,-1.63804,-1.23726,-94.29,1.8942,1.6440
0.1000,2.4681,0.1315,0.7969,1.7758,-0.15452,-1.64127,-1.23746,-94.39,1.7936,1.6485
0.1083,0.8093,-0.0007,-0.0049,0.8033,-0.16871,-1.64360,-1.23708,-94.46,1.7247,1.6522
0.1167,0.9857,0.0075,-0.9962,0.4493,-0.17910,-1.64265,-1.23742,-94.04,1.2529,1.6524
0.1250,-1.4010,0.1788,1.3222,0.2194,-0.18858,-1.63993,-1.23840,-94.36,1.1834,1.6507
0.1333,-0.0596,2.5092,0.7924,1.6223,-0.19702,-1.63748,-1.23938,-94.87,1.0545,1.6493
0.1417,2.5450,1.6770,-0.8277,1.9564,-0.20745,-1.63706,-1.23979,-94.19,1.2520,1.6501
0.1500,2.9117,2.9559,0.0037,3.1877,-0.21797,-1.63614,-1.23934,-93.63,1.2680,1.6506
0.1583,2.4521,1.8811,0.0098,2.4885,-0.23075,-1.63415,-1.23806,-93.17,1.5512,1.6504
0.1667,1.5725,2.0110,0.0008,1.8007,-0.24343,-1.63140,-1.23821,-92.02,1.5577,1.6495
0.1750,5.7956,3.9684,-2.6881,1.1838,-0.25457,-1.62797,-1.23956,-90.80,1.3987,1.6478
0.1833,1.2532,0.6594,-0.8881,2.4201,-0.26611,-1.62559,-1.23946,-91.03,1.4138,1.6472
0.1917,2.5602,4.4607,-0.0558,4.1090,-0.27232,-1.62382,-1.23883,-91.04,0.7743,1.6465
0.2000,1.9988,2.6265,-0.2724,1.3370,-0.28450,-1.62428,-1.23762,-91.01,1.4627,1.6490
0.2083,0.3224,0.4892,1.2893,1.0471,-0.29586,-1.62245,-1.23729,-90.94,1.3817,1.6492
0.2167,-0.8514,0.2409,-0.2581,0.0650,-0.30622,-1.61994,-1.23776,-91.20,1.2784,1.6486
0.2250,1.2069,1.2006,-1.5521,3.0513,-0.31561,-1.61645,-1.23913,-91.00,1.2028,1.6470
0.2333,2.9120,0.8541,-0.3235,1.7758,-0.32603,-1.61466,-1.23948,-90.61,1.2687,1.6473
0.2417,6.0627,0.1975,-0.9648,2.5898,-0.33445,-1.61205,-1.24009,-89.57,1.0578,1.6464
0.2500,2.7215,0.0094,-1.1122,1.0397,-0.34657,-1.60811,-1.23927,-89.34,1.5285,1.6450
0.2583,1.5112,0.7947,-1.3342,1.7470,-0.35765,-1.60261,-1.23929,-89.15,1.4846,1.6420
0.2667,0.7623,2.9144,-0.0499,1.5244,-0.37048,-1.59954,-1.23852,-89.19,1.5832,1.6419
0.2750,1.2251,1.8305,-0.0129,0.6696,-0.38456,-1.59700,-1.23766,-89.08,1.7175,1.6426
0.2833,2.3512,4.2443,-0.0078,5.5760,-0.38725,-1.59824,-1.23740,-88.26,0.3558,1.6445
0.2917,1.8928,1.7613,0.1962,1.9492,-0.38935,-1.60024,-1.23724,-86.92,0.3473,1.6469
0.3000,1.2186,3.8858,0.2807,2.7714,-0.39280,-1.60114,-1.23737,-86.03,0.4282,1.6486
0.3083,0.6327,2.9894,0.0007,0.9246,-0.39718,-1.60203,-1.23757,-85.41,0.5361,1.6505
0.3167,2.2620,1.2354,-0.0067,2.0415,-0.40135,-1.60195,-1.23857,-84.69,0.5005,1.6515
0.3250,6.8224,0.2302,0.4553,1.9589,-0.40831,-1.60006,-1.24001,-83.51,0.8657,1.6513
0.3333,2.5408,0.0036,-1.0283,1.4587,-0.42033,-1.59601,-1.23872,-83.22,1.5221,1.6504
0.3417,2.1788,0.0009,-1.2740,1.3018,-0.43460,-1.59203,-1.23843,-83.06,1.7779,1.6503
0.3500,4.3691,0.1773,-0.5794,1.2277,-0.44691,-1.58568,-1.23926,-82.62,1.6626,1.6475
0.3583,0.9116,1.3849,0.0255,2.1062,-0.45886,-1.57885,-1.23843,-82.98,1.6510,1.6442
0.3667,0.6969,0.6307,0.0216,1.4539,-0.47315,-1.57489,-1.23739,-83.37,1.7792,1.6444
0.3750,1.1097,2.4133,0.0591,1.7901,-0.48623,-1.56988,-1.23717,-83.47,1.6809,1.6435
0.3833,0.7207,2.9100,0.0120,1.5897,-0.49895,-1.56418,-1.23760,-83.45,1.6728,1.6418
0.3917,2.4643,3.6306,0.0106,2.5251,-0.50371,-1.56414,-1.23750,-83.00,0.5716,1.6432
0.4000,5.2428,0.7820,0.0144,4.0438,-0.50502,-1.56563,-1.23741,-82.22,0.2374,1.6451
0.4083,2.3884,0.2064,0.0525,1.9581,-0.50828,-1.56630,-1.23709,-80.93,0.3997,1.6467
0.4167,2.0075,-0.0113,0.1684,1.1730,-0.51005,-1.56800,-1.23713,-79.55,0.2937,1.6489
0.4250,2.0401,-0.0115,0.0239,1.1525,-0.51149,-1.56961,-1.23759,-78.24,0.2597,1.6508
0.4333,3.1768,-0.0048,-0.0044,1.8162,-0.51299,-1.57065,-1.23828,-77.22,0.2186,1.6523
0.4417,1.4444,-0.0094,1.0049,-1.1963,-0.51489,-1.57185,-1.23907,-75.86,0.2699,1.6540
0.4500,2.5285,0.0282,1.6591,1.0921,-0.51888,-1.56871,-1.23890,-75.05,0.6088,1.6523
0.4583,-0.3720,0.6142,0.7033,1.3901,-0.52888,-1.56055,-1.23972,-75.20,1.5488,1.6477
0.4667,0.5650,0.1349,0.2497,1.7769,-0.54149,-1.55214,-1.23960,-75.47,1.8190,1.6439
0.4750,2.3653,0.5741,1.4256,-0.4900,-0.55640,-1.54466,-1.23887,-75.62,2.0017,1.6418
0.4833,1.2717,0.0311,0.6933,0.1664,-0.57064,-1.53715,-1.23728,-75.91,1.9312,1.6397
0.4917,0.2012,0.8495,-0.1134,0.3865,-0.58499,-1.52814,-1.23755,-76.19,2.0339,1.6363
0.5000,1.7926,-0.3431,0.0139,1.9739,-0.59815,-1.52180,-1.23748,-76.77,1.7533,1.6351
0.5083,0.3705,-1.1197,0.0038,0.7531,-0.61265,-1.51627,-1.23801,-77.40,1.8624,1.6354
0.5167,0.3159,3.3780,-0.0123,0.6049,-0.61909,-1.51426,-1.23900,-77.01,0.8094,1.6359
0.5250,3.0795,1.2018,0.0786,3.5720,-0.61940,-1.51480,-1.23967,-76.58,0.0756,1.6365
0.5333,4.8768,1.1348,0.5447,3.5434,-0.62011,-1.51576,-1.23983,-76.05,0.1428,1.6377
