sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,2.6755,3.2042,1.7911,2.9142,0.00204,-1.61426,-1.23759,-90.71,0.0437,1.6143
0.0083,0.5379,0.9667,0.1490,0.8461,-0.00291,-1.61487,-1.23727,-90.84,0.4992,1.6149
0.0167,0.6242,0.5914,0.3187,0.5704,-0.00849,-1.61581,-1.23709,-90.98,0.6785,1.6158
0.0250,0.3127,0.0651,0.2054,0.1744,-0.01452,-1.61700,-1.23713,-91.13,0.7381,1.6171
0.0333,-0.1284,0.2287,0.4289,0.2999,-0.02094,-1.61830,-1.23723,-91.31,0.7853,1.6184
0.0417,-0.3867,0.0242,0.1439,0.2166,-0.02808,-1.61940,-1.23747,-91.49,0.8672,1.6196
0.0500,-1.1636,0.1272,-0.0410,0.0905,-0.03551,-1.62029,-1.23796,-91.72,0.8977,1.6207
0.0583,-1.3124,0.1195,-0.2056,0.0019,-0.04305,-1.62107,-1.23873,-91.96,0.9098,1.6216
0.0667,-1.5247,0.6653,-0.3134,-0.0015,-0.05015,-1.62189,-1.23971,-92.18,0.8575,1.6227
0.0750,0.1254,0.8389,-0.4312,0.0065,-0.05723,-1.62323,-1.24033,-92.35,0.8653,1.6242
0.0833,-0.8131,0.6940,-1.1988,0.0035,-0.06530,-1.62468,-1.24086,-92.52,0.9833,1.6260
0.0917,-0.8468,0.5158,-1.1534,-0.1353,-0.07254,-1.62683,-1.24152,-92.73,0.9064,1.6284
0.1000,0.9683,1.7439,0.0064,1.4810,-0.07896,-1.62832,-1.24082,-92.82,0.7907,1.6302
0.1083,0.7730,1.6037,0.0077,1.3631,-0.08594,-1.62971,-1.23999,-92.89,0.8547,1.6320
0.1167,1.0801,1.3557,0.0051,2.3133,-0.09250,-1.63115,-1.23893,-93.15,0.8051,1.6338
0.1250,0.5119,0.2803,0.0028,1.5841,-0.09940,-1.63270,-1.23819,-93.45,0.8492,1.6357
0.1333,0.3535,-0.2146,0.0018,1.3511,-0.10690,-1.63462,-1.23778,-93.79,0.9288,1.6381
0.1417,0.2182,0.0889,-0.0369,1.2549,-0.11481,-1.63697,-1.23776,-94.12,0.9904,1.6410
0.1500,0.2823,0.8195,-0.0004,0.8534,-0.12220,-1.63862,-1.23723,-94.29,0.9092,1.6432
0.1583,0.2646,0.2361,0.0005,0.3022,-0.12988,-1.64089,-1.23707,-94.48,0.9604,1.6460
0.1667,0.2155,-0.2091,0.0173,-0.0897,-0.13793,-1.64375,-1.23737,-94.69,1.0254,1.6495
0.1750,1.5616,1.5412,-0.2071,1.6959,-0.14564,-1.64638,-1.23808,-94.77,0.9770,1.6528
0.1833,2.9792,0.2248,1.2746,2.6235,-0.14979,-1.64574,-1.23821,-94.42,0.5037,1.6525
0.1917,2.2516,0.0212,0.9999,1.2987,-0.15243,-1.64511,-1.23808,-94.33,0.3258,1.6522
0.2000,1.9550,0.0018,0.2413,1.2430,-0.15676,-1.64522,-1.23768,-94.31,0.5197,1.6527
0.2083,1.5044,-0.0029,0.3756,0.9303,-0.16123,-1.64522,-1.23736,-94.30,0.5364,1.6531
0.2167,1.1262,0.0010,0.3936,0.6155,-0.16573,-1.64518,-1.23716,-94.33,0.5400,1.6535
0.2250,0.7303,0.0017,0.1044,0.6381,-0.17025,-1.64515,-1.23708,-94.39,0.5429,1.6539
0.2333,0.4464,-0.0012,-0.1114,0.6615,-0.17492,-1.64513,-1.23712,-94.46,0.5603,1.6544
0.2417,0.7331,-0.0145,-0.6620,1.3958,-0.17975,-1.64516,-1.23728,-94.48,0.5797,1.6549
0.2500,0.7013,-0.0083,-0.7448,1.1299,-0.18425,-1.64385,-1.23768,-94.40,0.5623,1.6541
0.2583,0.5920,0.0234,-1.2448,1.3804,-0.18877,-1.64232,-1.23832,-94.29,0.5729,1.6531
0.2667,1.2254,-0.0028,-0.0507,2.4480,-0.19238,-1.64158,-1.23868,-94.19,0.4422,1.6528
0.2750,1.0574,0.6596,-0.4528,2.1950,-0.19515,-1.64123,-1.23910,-93.68,0.3348,1.6528
0.2833,1.7045,3.6046,0.6542,4.5370,-0.19616,-1.64150,-1.23920,-93.19,0.1251,1.6532
0.2917,1.8025,1.3764,-0.0086,3.9878,-0.19983,-1.64146,-1.23885,-93.11,0.4410,1.6536
0.3000,1.3989,1.1665,0.0012,2.4611,-0.20509,-1.64023,-1.23869,-93.01,0.6483,1.6530
0.3083,1.4949,1.1524,0.0092,2.1762,-0.21060,-1.63861,-1.23880,-92.85,0.6882,1.6521
0.3167,1.4843,1.4263,0.0052,1.8058,-0.21614,-1.63675,-1.23924,-92.45,0.7016,1.6510
0.3250,2.0398,3.8601,-0.3530,1.5814,-0.22242,-1.63426,-1.23984,-91.79,0.8106,1.6493
0.3333,2.0731,2.4378,-0.2201,1.5804,-0.22862,-1.63291,-1.23988,-91.40,0.7615,1.6488
0.3417,2.3985,2.6361,-0.6206,1.5407,-0.23425,-1.63150,-1.24022,-91.00,0.6964,1.6482
0.3500,2.3189,3.3392,-0.3930,1.6343,-0.23931,-1.63088,-1.24009,-90.80,0.6114,1.6483
0.3583,1.8557,3.4689,-0.6316,1.4084,-0.24449,-1.63098,-1.23966,-90.62,0.6220,1.6492
0.3667,0.9231,2.6613,-0.1173,1.5648,-0.25082,-1.63117,-1.23884,-90.69,0.7599,1.6503
0.3750,0.7523,2.5672,0.0028,1.1861,-0.25754,-1.63070,-1.23813,-90.71,0.8080,1.6509
0.3833,0.5856,1.9972,0.0006,0.8229,-0.26458,-1.63006,-1.23762,-90.67,0.8489,1.6514
0.3917,1.8940,2.7272,0.0015,2.1623,-0.26946,-1.62978,-1.23734,-90.45,0.5865,1.6519
0.4000,1.9905,1.6460,0.0019,0.7611,-0.27248,-1.63006,-1.23730,-90.22,0.3639,1.6527
0.4083,1.2770,1.5466,-0.0146,0.2612,-0.27854,-1.62897,-1.23749,-90.02,0.7391,1.6526
0.4167,0.6354,1.5810,-0.4067,0.4713,-0.28573,-1.62754,-1.23785,-89.67,0.8799,1.6524
0.4250,1.7137,0.0045,0.2732,0.7736,-0.29121,-1.62745,-1.23746,-89.76,0.6574,1.6533
0.4333,1.2482,0.0204,0.0231,1.0159,-0.29680,-1.62740,-1.23720,-89.81,0.6708,1.6542
0.4417,1.3352,0.0020,-0.7541,1.4245,-0.30225,-1.62662,-1.23713,-89.69,0.6613,1.6545
0.4500,0.5152,0.0017,-0.8976,1.0483,-0.30763,-1.62516,-1.23732,-89.58,0.6681,1.6540
0.4583,0.5600,0.0049,-1.6724,1.6432,-0.31274,-1.62363,-1.23783,-89.32,0.6401,1.6535
0.4667,0.5499,0.0118,-1.9683,2.1485,-0.31710,-1.62191,-1.23868,-88.82,0.5631,1.6526
0.4750,-0.3794,-0.0004,-0.8151,1.8171,-0.32234,-1.61962,-1.23918,-88.77,0.6863,1.6514
0.4833,1.4484,0.0174,-0.3279,1.6015,-0.32734,-1.61698,-1.23976,-88.67,0.6778,1.6498
0.4917,0.9660,0.0450,-0.8286,0.9285,-0.33279,-1.61394,-1.23994,-88.68,0.7493,1.6479
0.5000,0.7836,1.8668,-0.5166,0.3940,-0.33817,-1.61024,-1.24032,-88.75,0.7833,1.6454
0.5083,1.8208,2.4687,-0.8580,0.6719,-0.34380,-1.60768,-1.24021,-88.72,0.7427,1.6440
0.5167,1.0422,2.4945,-0.1724,1.1901,-0.35012,-1.60662,-1.23930,-88.77,0.7683,1.6443
0.5250,0.8106,2.2169,-0.0160,0.9137,-0.35678,-1.60540,-1.23846,-88.83,0.8127,1.6446
0.5333,0.6256,2.1099,0.0021,0.5794,-0.36383,-1.60399,-1.23784,-88.80,0.8626,1.6447
0.5417,0.5485,2.0593,-0.0006,0.5525,-0.37114,-1.60237,-1.23748,-88.72,0.8996,1.6448
0.5500,0.3241,1.8974,0.0000,0.1558,-0.37882,-1.60058,-1.23735,-88.55,0.9463,1.6448
0.5583,0.7819,1.4590,-0.0190,0.4707,-0.38608,-1.59877,-1.23748,-88.28,0.8974,1.6447
0.5667,1.2249,1.9102,-0.0093,2.9004,-0.38762,-1.59879,-1.23736,-87.91,0.1842,1.6451
0.5750,2.8764,1.6531,-0.0044,4.0066,-0.38784,-1.59942,-1.23727,-87.63,0.0797,1.6458
0.5833,3.6260,1.9240,-0.0018,2.3648,-0.38804,-1.59976,-1.23724,-87.43,0.0481,1.6462
0.5917,2.9265,3.9475,0.1400,1.4424,-0.38967,-1.59976,-1.23729,-87.23,0.1955,1.6465
0.6000,1.7170,2.1700,-0.1297,1.3197,-0.39405,-1.59838,-1.23713,-87.04,0.5501,1.6462
0.6083,1.6428,2.0903,-0.0921,1.3792,-0.39946,-1.59670,-1.23715,-86.91,0.6796,1.6459
0.6167,1.2463,0.5542,0.6626,0.5733,-0.40461,-1.59514,-1.23724,-86.81,0.6461,1.6457
0.6250,-0.0144,0.5249,0.2839,0.4785,-0.41002,-1.59286,-1.23751,-86.91,0.7044,1.6448
0.6333,-0.6075,0.3758,-0.2377,0.5188,-0.41522,-1.59019,-1.23816,-86.98,0.7012,1.6435
0.6417,-0.7390,0.1982,-0.6937,0.6394,-0.42055,-1.58671,-1.23922,-87.09,0.7640,1.6415
0.6500,0.7631,0.1920,0.6207,0.4103,-0.42578,-1.58332,-1.23997,-87.39,0.7483,1.6396
0.6583,1.4059,0.0062,0.5788,1.4156,-0.43124,-1.58162,-1.23997,-87.49,0.6853,1.6394
0.6667,1.5779,0.0058,-0.1349,1.4748,-0.43714,-1.57947,-1.24022,-87.57,0.7547,1.6388
