sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,-0.0562,0.8789,-0.6151,0.0875,0.00247,-1.61425,-1.23765,-90.71,0.0058,1.6143
0.0083,0.1739,0.7108,-0.1719,0.3122,0.00270,-1.61469,-1.23764,-90.75,0.0494,1.6147
0.0167,0.1500,0.6250,-0.1046,0.4700,0.00291,-1.61510,-1.23762,-90.79,0.0549,1.6151
0.0250,0.2648,0.6910,-0.1379,0.1850,0.00305,-1.61554,-1.23760,-90.83,0.0555,1.6155
0.0333,0.2304,0.7181,-0.0627,0.3970,0.00322,-1.61595,-1.23758,-90.90,0.0532,1.6160
0.0417,0.2445,0.7126,-0.0638,0.3556,0.00328,-1.61640,-1.23756,-90.96,0.0546,1.6164
0.0500,0.0873,0.5940,-0.0573,0.6104,0.00332,-1.61683,-1.23753,-91.05,0.0520,1.6168
0.0583,0.1024,0.5709,-0.0242,0.5917,0.00328,-1.61730,-1.23750,-91.14,0.0570,1.6173
0.0667,0.0975,0.5360,-0.0123,0.6654,0.00317,-1.61780,-1.23747,-91.24,0.0607,1.6178
0.0750,0.1665,0.4961,0.0552,0.4800,0.00298,-1.61833,-1.23744,-91.35,0.0675,1.6183
0.0833,0.1820,0.5094,0.0693,0.4026,0.00268,-1.61890,-1.23740,-91.47,0.0770,1.6189
0.0917,0.0999,0.3712,0.0787,0.3485,0.00226,-1.61952,-1.23737,-91.60,0.0909,1.6195
0.1000,0.1298,0.2776,0.0517,0.3737,0.00173,-1.62019,-1.23734,-91.73,0.1021,1.6202
0.1083,0.2352,0.4124,0.1112,-0.0106,0.00101,-1.62098,-1.23730,-91.86,0.1285,1.6210
0.1167,0.3023,0.4174,0.1196,-0.2233,0.00013,-1.62186,-1.23727,-91.99,0.1497,1.6219
0.1250,0.3525,0.3555,0.0937,-0.2868,-0.00089,-1.62279,-1.23724,-92.11,0.1649,1.6228
0.1333,0.3266,0.3924,0.1218,-0.2361,-0.00202,-1.62374,-1.23721,-92.24,0.1772,1.6237
0.1417,0.3019,0.2905,0.1100,-0.2181,-0.00330,-1.62472,-1.23718,-92.39,0.1938,1.6247
0.1500,0.2690,0.2556,0.1164,-0.1825,-0.00472,-1.62572,-1.23716,-92.55,0.2083,1.6257
0.1583,0.2247,0.2395,0.1026,-0.1399,-0.00629,-1.62673,-1.23713,-92.72,0.2239,1.6267
0.1667,0.1424,0.2889,0.1295,-0.0848,-0.00803,-1.62776,-1.23711,-92.91,0.2419,1.6278
0.1750,0.0838,0.1976,0.1027,-0.0562,-0.00995,-1.62879,-1.23710,-93.12,0.2619,1.6288
0.1833,0.0209,0.1587,0.0653,-0.0107,-0.01205,-1.62983,-1.23710,-93.34,0.2809,1.6299
0.1917,-0.0967,0.0980,0.0610,0.0004,-0.01435,-1.63084,-1.23712,-93.59,0.3021,1.6309
0.2000,-0.2853,0.1351,0.0939,0.0005,-0.01685,-1.63182,-1.23717,-93.86,0.3217,1.6319
0.2083,-0.4534,0.0831,0.0949,0.0004,-0.01954,-1.63277,-1.23725,-94.17,0.3433,1.6329
0.2167,-0.7364,0.2141,0.0085,0.0012,-0.02225,-1.63378,-1.23737,-94.52,0.3467,1.6339
