sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,2.7448,3.7954,0.8067,3.3979,0.00459,-1.61770,-1.22828,-90.40,0.0516,1.6177
0.0083,0.7343,0.3006,0.0290,2.6340,-0.00032,-1.62115,-1.22848,-90.79,0.6005,1.6211
0.0167,0.3318,-1.2880,0.0068,0.4183,-0.00779,-1.62627,-1.22930,-91.25,1.0868,1.6263
0.0250,0.3737,-1.6649,0.0079,0.4514,-0.01631,-1.63217,-1.23098,-91.61,1.2428,1.6322
0.0333,0.2157,1.8350,0.0029,-0.7272,-0.02562,-1.63864,-1.23170,-91.84,1.3610,1.6388
0.0417,0.1600,1.0423,0.3364,-1.2296,-0.03510,-1.64537,-1.23215,-91.97,1.3954,1.6457
0.0500,3.1038,0.4484,3.2248,-1.0799,-0.04515,-1.65126,-1.23310,-92.06,1.3975,1.6519
0.0583,0.6887,0.3150,0.8781,0.6093,-0.05755,-1.65361,-1.23308,-92.34,1.5152,1.6546
0.0667,1.7838,2.0745,0.0428,1.0894,-0.06989,-1.65439,-1.23177,-92.52,1.4837,1.6559
0.0750,0.9983,1.9145,0.0064,1.0203,-0.08320,-1.65692,-1.23061,-92.74,1.6255,1.6590
0.0833,0.5004,1.1111,0.1188,0.1655,-0.09776,-1.66108,-1.23047,-92.97,1.8173,1.6639
0.0917,0.7179,0.2705,-0.1213,2.1497,-0.11195,-1.66511,-1.23011,-93.19,1.7702,1.6689
0.1000,3.8311,0.2762,0.4194,0.7641,-0.12150,-1.66404,-1.22977,-92.17,1.1534,1.6685
0.1083,0.5752,-0.0079,1.7898,0.9803,-0.13169,-1.66251,-1.22915,-92.51,1.2362,1.6677
0.1167,0.0621,0.0104,0.5957,0.3957,-0.14174,-1.65979,-1.22917,-92.89,1.2492,1.6658
0.1250,0.3362,0.3765,0.3957,0.8068,-0.14890,-1.65738,-1.22986,-93.14,0.9068,1.6641
0.1333,2.0506,0.2266,1.5909,0.5643,-0.14959,-1.65791,-1.23101,-92.60,0.1047,1.6646
0.1417,6.5262,0.2100,4.5128,0.3141,-0.14926,-1.65857,-1.23136,-92.26,0.0892,1.6653
0.1500,4.2127,1.7445,1.0095,3.7941,-0.15076,-1.65731,-1.23106,-91.51,0.2354,1.6642
0.1583,1.8013,3.3557,0.0168,2.1923,-0.15919,-1.65917,-1.23026,-91.50,1.0363,1.6668
0.1667,1.2478,0.9561,0.0268,0.6216,-0.16962,-1.66127,-1.23058,-90.84,1.2763,1.6699
0.1750,5.5196,0.6264,0.0433,1.6880,-0.17726,-1.66047,-1.23221,-89.32,0.9225,1.6699
0.1833,3.2888,0.0818,1.0188,1.8881,-0.18521,-1.65763,-1.23213,-88.07,1.0124,1.6679
0.1917,1.6126,0.4805,0.5628,0.7384,-0.19625,-1.65372,-1.23075,-88.11,1.4059,1.6653
0.2000,0.9499,0.3358,0.0795,0.4103,-0.20839,-1.64976,-1.23017,-88.27,1.5323,1.6629
0.2083,0.1425,5.7716,0.0322,2.3287,-0.22113,-1.64570,-1.23047,-88.50,1.6042,1.6605
0.2167,0.2933,1.6892,-0.0448,-0.0145,-0.23556,-1.64447,-1.22929,-88.57,1.7385,1.6613
0.2250,0.2711,1.1782,-0.0003,-0.7650,-0.24988,-1.64526,-1.22924,-88.66,1.7213,1.6641
0.2333,0.4183,1.5069,-0.0248,-1.4675,-0.26391,-1.64685,-1.23009,-88.65,1.6935,1.6679
0.2417,4.6515,1.1563,1.3442,0.5571,-0.27189,-1.64631,-1.23108,-87.43,0.9607,1.6686
0.2500,4.2737,0.0172,2.5887,2.3090,-0.27531,-1.64577,-1.23060,-86.69,0.4152,1.6686
0.2583,2.1150,0.0041,-0.4817,0.6644,-0.28337,-1.64207,-1.23092,-85.89,1.0646,1.6663
0.2667,3.6558,0.2411,-1.5563,0.7377,-0.29400,-1.63635,-1.23194,-85.82,1.4479,1.6625
0.2750,3.8593,0.0903,-1.2001,2.0522,-0.30511,-1.63124,-1.23172,-85.32,1.4676,1.6595
0.2833,0.3953,0.1592,0.8107,0.2290,-0.31817,-1.62556,-1.23107,-85.30,1.7089,1.6564
0.2917,0.7298,4.2834,-0.3585,4.4476,-0.33117,-1.62077,-1.22983,-85.53,1.6621,1.6543
0.3000,0.4215,1.3134,0.0045,1.1980,-0.34591,-1.61793,-1.22854,-85.78,1.8021,1.6545
0.3083,0.2820,0.7004,0.0005,0.3433,-0.36087,-1.61611,-1.22803,-86.05,1.8077,1.6559
0.3167,0.2656,0.0890,0.0014,-0.1847,-0.37577,-1.61524,-1.22836,-86.34,1.7915,1.6584
0.3250,0.3510,0.2840,-0.0610,0.7002,-0.38833,-1.61384,-1.22963,-85.82,1.5165,1.6599
0.3333,5.8138,-0.0413,2.2595,-0.0275,-0.39146,-1.61433,-1.23091,-84.00,0.3802,1.6611
0.3417,3.4700,0.0234,1.5456,2.1733,-0.39840,-1.61195,-1.23066,-83.16,0.8795,1.6605
0.3500,5.0306,0.0671,-0.2189,0.9242,-0.40938,-1.60642,-1.23114,-82.89,1.4762,1.6578
0.3583,2.5031,-0.0025,-1.1137,0.3567,-0.42147,-1.60004,-1.23015,-82.63,1.6400,1.6546
0.3667,1.6691,0.0015,-1.7047,0.3353,-0.43376,-1.59325,-1.23035,-82.42,1.6850,1.6512
0.3750,-0.3946,0.0061,-0.2088,0.4565,-0.44618,-1.58614,-1.23077,-82.48,1.7183,1.6477
0.3833,0.2378,2.7389,-0.0163,3.6681,-0.45902,-1.57974,-1.23022,-82.75,1.7202,1.6451
0.3917,0.0001,0.7153,-0.0014,1.9737,-0.47258,-1.57431,-1.22919,-83.23,1.7529,1.6437
0.4000,0.3576,-0.0651,0.0000,1.6619,-0.48582,-1.56984,-1.22871,-83.77,1.6774,1.6433
0.4083,0.7427,0.1584,0.0026,1.7962,-0.50154,-1.56701,-1.22872,-84.21,1.9169,1.6453
0.4167,0.9264,0.3904,0.0346,-0.2608,-0.51574,-1.56360,-1.22968,-83.71,1.7521,1.6465
0.4250,4.6957,0.5801,-0.2641,1.0845,-0.52660,-1.55814,-1.23107,-82.70,1.4591,1.6447
0.4333,2.1769,-0.0052,-0.2352,0.5500,-0.53912,-1.55359,-1.22950,-82.71,1.5986,1.6445
0.4417,1.7884,0.0001,-0.6972,0.2222,-0.55218,-1.54888,-1.22887,-82.63,1.6655,1.6444
0.4500,0.9388,0.0022,-1.4039,0.3567,-0.56550,-1.54327,-1.22943,-82.62,1.7350,1.6436
0.4583,1.4354,-0.0193,0.0475,3.0434,-0.57756,-1.53751,-1.23046,-82.40,1.6032,1.6424
0.4667,1.1105,4.8061,0.2616,4.6665,-0.58687,-1.53149,-1.23152,-81.82,1.3311,1.6401
0.4750,0.3823,0.8554,-0.0012,0.7655,-0.59887,-1.52664,-1.23069,-82.16,1.5525,1.6399
0.4833,0.6600,0.5748,-0.0283,1.6712,-0.61087,-1.52135,-1.23017,-82.01,1.5735,1.6394
0.4917,0.5550,1.5860,0.0107,-0.0774,-0.61390,-1.52200,-1.23032,-80.80,0.3719,1.6411
0.5000,0.9186,1.3547,0.1069,-0.0765,-0.61597,-1.52317,-1.23111,-79.69,0.2854,1.6430
0.5083,6.0839,0.0894,3.4337,2.9813,-0.61846,-1.52208,-1.22979,-79.08,0.3271,1.6429
0.5167,4.6671,0.0003,0.6384,2.8399,-0.62499,-1.51640,-1.22849,-78.63,1.0386,1.6401
0.5250,1.3310,0.0136,-0.4415,1.3213,-0.63507,-1.50753,-1.22848,-78.42,1.6107,1.6358
0.5333,0.4194,0.4600,-0.9546,0.3637,-0.64696,-1.49677,-1.23036,-78.49,1.9250,1.6306
0.5417,-0.1165,0.5756,0.0009,0.4894,-0.66074,-1.48750,-1.23057,-78.84,1.9921,1.6276
0.5500,0.4473,-0.1349,0.0312,0.7298,-0.67450,-1.48027,-1.23076,-79.24,1.8652,1.6267
0.5583,0.3604,5.5183,-0.1089,-1.1247,-0.68942,-1.47483,-1.23108,-79.29,1.9058,1.6280
0.5667,0.4127,3.2236,-0.0077,-0.5367,-0.70178,-1.46909,-1.23040,-79.26,1.6359,1.6281
0.5750,1.3069,1.7452,-0.0116,1.0685,-0.71325,-1.46362,-1.23003,-79.03,1.5249,1.6282
0.5833,8.1565,0.4483,7.7841,-0.0717,-0.71989,-1.46138,-1.22933,-78.03,0.8408,1.6291
0.5917,4.2623,-0.0011,1.4028,0.7632,-0.72351,-1.45815,-1.22811,-76.96,0.5818,1.6278
0.6000,3.7045,0.0043,0.4000,1.8676,-0.73094,-1.45091,-1.22801,-76.44,1.2453,1.6246
0.6083,0.5140,-0.0020,-0.4928,0.3599,-0.74133,-1.44057,-1.22975,-76.37,1.7596,1.6201
0.6167,0.7653,-0.1079,0.2171,1.7099,-0.75534,-1.43094,-1.23167,-76.76,2.0399,1.6181
0.6250,0.5788,1.0603,0.2463,0.9139,-0.76850,-1.42400,-1.23266,-76.85,1.7847,1.6181
0.6333,3.3776,0.1302,1.2674,1.3413,-0.77817,-1.41736,-1.23269,-76.68,1.4081,1.6169
0.6417,1.2080,4.5567,-0.6250,0.9989,-0.78919,-1.40840,-1.23327,-76.54,1.7037,1.6144
0.6500,2.3166,-0.6634,1.5183,0.4727,-0.80063,-1.40064,-1.23135,-76.59,1.6590,1.6133
0.6583,2.1199,0.0011,1.6530,1.4356,-0.81147,-1.39257,-1.22898,-76.79,1.6224,1.6117
0.6667,1.0954,0.0015,0.8780,0.9533,-0.82333,-1.38342,-1.22802,-76.98,1.7976,1.6099
0.6750,0.0042,0.0054,0.3292,0.3239,-0.83600,-1.37311,-1.22889,-77.25,1.9599,1.6076
0.6833,3.6557,3.1647,-0.7392,-1.7120,-0.84722,-1.36536,-1.22833,-76.26,1.6363,1.6069
0.6917,3.1262,2.2989,-0.1122,-0.0434,-0.85739,-1.35824,-1.22763,-75.38,1.4898,1.6062
0.7000,2.9182,2.4919,0.9054,-1.4005,-0.86727,-1.35099,-1.22772,-74.87,1.4702,1.6054
0.7083,0.9966,2.7628,0.2224,0.9301,-0.87750,-1.34208,-1.22797,-74.69,1.6276,1.6035
