sim_time,torque_FL,torque_FR,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,heading_correction_rads
0.0000,5.0000,6.2774,3.2217,16.6702,-0.00324,-1.64872,-1.20220,-91.47,0.1387,0.0000
0.0083,9.0183,0.4088,-0.0406,1.1515,-0.01207,-1.65035,-1.20519,-90.17,0.8982,0.0000
0.0167,12.2952,0.1713,0.1881,2.6770,-0.02994,-1.64800,-1.20387,-87.16,2.1627,0.0000
0.0250,4.0615,-0.6790,16.1540,-0.6487,-0.05671,-1.65212,-1.20319,-86.30,3.2497,0.0000
0.0333,12.9065,-0.6291,0.0870,4.7650,-0.09007,-1.65373,-1.20395,-84.58,4.0086,0.0000
0.0417,-0.4660,-0.0196,0.0800,0.7393,-0.13046,-1.65180,-1.20135,-82.23,4.8516,0.0000
0.0500,5.3540,14.7784,-0.4314,3.1186,-0.17566,-1.64964,-1.20608,-80.02,5.4307,0.0000
0.0583,1.4250,-0.3437,7.1956,-1.8070,-0.22740,-1.64436,-1.20145,-79.74,6.2408,0.0000
0.0667,-0.4223,-0.1082,0.1797,5.4844,-0.28003,-1.63308,-1.20172,-79.36,6.4593,0.0000
0.0750,-1.8294,6.5150,-1.2315,7.9375,-0.33735,-1.62044,-1.20406,-79.53,7.0428,0.0000
0.0833,12.1354,0.4775,0.5398,7.8939,-0.39865,-1.60670,-1.20441,-79.41,7.5387,0.0000
0.0917,0.0395,-0.0068,0.0387,0.4461,-0.46326,-1.59614,-1.20419,-81.69,7.8564,0.0000
0.1000,4.8811,0.2510,-2.3774,-0.5184,-0.53042,-1.58037,-1.20246,-82.28,8.2790,0.0000
0.1083,-0.0159,-0.3103,-1.0469,-0.0832,-0.58555,-1.55966,-1.20340,-79.57,7.0667,0.0000
0.1167,2.2861,0.2623,6.2276,1.1232,-0.61948,-1.55096,-1.20177,-75.26,4.2035,0.0000
0.1250,0.1539,-0.2191,0.6950,7.2024,-0.63067,-1.56187,-1.20338,-69.95,1.8752,0.0000
0.1333,2.6880,6.2771,-0.3532,1.6812,-0.64331,-1.56366,-1.20237,-65.25,1.5320,0.0000
0.1417,0.3161,0.0223,0.0522,6.4677,-0.65685,-1.55432,-1.19931,-60.92,1.9735,0.0000
0.1500,9.5368,-0.4857,0.4440,9.4951,-0.66865,-1.53784,-1.20164,-58.06,2.4327,0.0000
0.1583,15.5521,1.0823,3.1972,13.2024,-0.68349,-1.51571,-1.20504,-55.43,3.1972,0.0000
0.1667,0.3778,-0.1436,0.3124,10.2615,-0.70177,-1.48241,-1.20291,-52.43,4.5578,0.0000
0.1750,-1.6574,-0.1176,-0.0199,0.3417,-0.73929,-1.45945,-1.20032,-57.12,5.2790,0.0000
0.1833,0.5242,-0.4014,5.0316,13.6946,-0.78436,-1.43671,-1.20326,-63.08,6.0577,0.0000
0.1917,7.7058,3.2176,-0.3027,7.0916,-0.83674,-1.41689,-1.20283,-66.40,6.7205,0.0000
0.2000,0.1095,-0.4466,5.1374,-0.2714,-0.88329,-1.39670,-1.20062,-65.90,6.0885,0.0000
0.2083,15.1979,0.5761,0.3432,11.0241,-0.91756,-1.37362,-1.20143,-62.17,4.9589,0.0000
0.2167,-0.0572,12.5260,0.0732,0.0862,-0.94718,-1.35354,-1.20307,-57.01,4.2946,0.0000
0.2250,6.6510,0.0658,8.2135,6.8172,-0.95876,-1.36301,-1.20123,-51.70,1.7958,0.0000
0.2333,-0.2098,-0.4789,6.4658,-0.8998,-0.96242,-1.35343,-1.20220,-46.92,1.2306,0.0000
0.2417,15.2174,-0.9057,7.5795,1.3427,-0.96472,-1.33757,-1.20259,-43.62,1.9235,0.0000
0.2500,14.4957,0.3623,-0.0224,3.8654,-0.97176,-1.30959,-1.20295,-41.93,3.4618,0.0000
0.2583,0.2458,2.1663,0.2444,7.9240,-0.98496,-1.27240,-1.20141,-41.33,4.7354,0.0000
