sim_time,torque_FL,torque_FR,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,heading_correction_rads
0.0000,2.1903,4.2527,0.8947,4.2336,-0.00252,-1.64807,-1.20293,-91.87,0.0418,0.0000
0.0083,0.5495,0.1664,-0.0010,2.5088,-0.00810,-1.65092,-1.20256,-92.38,0.6266,0.0000
0.0167,1.6035,0.0084,0.0017,2.9429,-0.01711,-1.65477,-1.20257,-93.05,1.1754,0.0000
0.0250,0.5045,-1.2472,-0.0010,1.1310,-0.02901,-1.66005,-1.20344,-93.62,1.5624,0.0000
0.0333,0.3615,2.1589,0.0637,0.0810,-0.04188,-1.66613,-1.20522,-94.12,1.7085,0.0000
0.0417,-0.0184,0.7980,1.2330,-1.4896,-0.05375,-1.67131,-1.20477,-94.30,1.5543,0.0000
0.0500,3.2076,0.5553,1.5764,-0.8355,-0.06515,-1.67540,-1.20514,-94.52,1.4531,0.0000
0.0583,1.5382,-0.0016,0.0555,0.0526,-0.07779,-1.67798,-1.20434,-94.82,1.5483,0.0000
0.0667,3.3734,0.0278,1.3486,1.4556,-0.09065,-1.67934,-1.20416,-95.04,1.5507,0.0000
0.0750,-0.4447,0.0996,2.8730,0.1927,-0.10459,-1.67908,-1.20379,-95.48,1.6739,0.0000
0.0833,-0.0214,0.5295,0.0602,1.5988,-0.11644,-1.67833,-1.20345,-95.94,1.4244,0.0000
0.0917,-0.0161,3.6070,-0.1739,2.9064,-0.12669,-1.67571,-1.20364,-96.21,1.2693,0.0000
0.1000,0.1175,4.6435,0.3187,-0.0660,-0.13126,-1.67621,-1.20394,-95.70,0.5522,0.0000
0.1083,6.9919,0.3917,2.6402,0.5764,-0.13244,-1.67743,-1.20455,-94.88,0.2037,0.0000
0.1167,4.6265,-0.0056,1.7559,2.2973,-0.13426,-1.67771,-1.20417,-93.99,0.2210,0.0000
0.1250,4.1020,0.0074,-0.4919,2.2153,-0.13932,-1.67596,-1.20447,-92.98,0.6421,0.0000
0.1333,0.7173,3.6512,0.1197,2.9356,-0.14926,-1.67295,-1.20486,-92.84,1.2471,0.0000
0.1417,1.4482,1.3843,-0.0269,4.0077,-0.16146,-1.67284,-1.20426,-93.27,1.4635,0.0000
0.1500,1.2795,1.8172,-0.0146,1.2337,-0.17148,-1.67192,-1.20440,-92.45,1.2074,0.0000
0.1583,1.0375,3.6771,0.6469,1.0806,-0.18117,-1.67155,-1.20410,-92.05,1.1634,0.0000
0.1667,1.2325,3.5455,-0.1015,0.9973,-0.19147,-1.67154,-1.20326,-92.01,1.2364,0.0000
0.1750,0.8243,3.5466,0.0184,0.2649,-0.20187,-1.67131,-1.20302,-91.86,1.2478,0.0000
0.1833,0.5185,2.9630,-0.0010,-0.5979,-0.21242,-1.67078,-1.20341,-91.65,1.2680,0.0000
0.1917,0.3058,2.2895,-0.0104,-0.6828,-0.22094,-1.66985,-1.20448,-90.96,1.0286,0.0000
0.2000,4.4611,0.8465,0.0462,4.3973,-0.22802,-1.66838,-1.20488,-90.64,0.8673,0.0000
0.2083,6.7722,0.5443,1.1761,0.9915,-0.23685,-1.66619,-1.20517,-89.91,1.0926,0.0000
0.2167,0.9557,-0.0008,0.6744,0.4334,-0.24705,-1.66291,-1.20438,-90.17,1.2857,0.0000
0.2250,-0.0624,-0.0009,0.5349,0.3593,-0.25753,-1.65927,-1.20435,-90.58,1.3311,0.0000
0.2333,10.3075,0.6533,4.0092,0.2787,-0.25900,-1.65712,-1.20453,-90.05,0.3118,0.0000
0.2417,4.4766,0.0087,-0.2917,1.3562,-0.26074,-1.65343,-1.20349,-89.43,0.4900,0.0000
0.2500,2.7925,-0.0016,-0.8387,0.9736,-0.26782,-1.64840,-1.20298,-89.05,1.0420,0.0000
0.2583,1.4019,0.3185,-1.3119,2.0031,-0.27793,-1.64272,-1.20327,-88.94,1.3915,0.0000
0.2667,0.2133,1.7778,0.0051,1.5099,-0.29038,-1.63979,-1.20247,-89.24,1.5341,0.0000
0.2750,0.3221,0.5528,0.0015,0.9946,-0.30359,-1.63888,-1.20185,-89.66,1.5892,0.0000
0.2833,0.4414,-0.2310,0.0020,0.6106,-0.31685,-1.63864,-1.20193,-90.11,1.5914,0.0000
0.2917,0.3831,-0.7948,0.0047,0.1120,-0.33036,-1.63921,-1.20275,-90.56,1.6232,0.0000
0.3000,0.9705,2.3628,-0.0419,1.1042,-0.34141,-1.63606,-1.20437,-89.74,1.3789,0.0000
0.3083,0.5025,5.0740,-0.5912,-0.6869,-0.35365,-1.63287,-1.20622,-88.77,1.5176,0.0000
0.3167,1.3881,0.3719,-2.0689,0.3031,-0.36563,-1.63101,-1.20632,-88.52,1.4545,0.0000
0.3250,0.6751,0.1789,0.8212,2.2477,-0.37390,-1.62862,-1.20601,-88.73,1.0337,0.0000
0.3333,6.7875,0.0117,3.4461,0.5483,-0.37576,-1.62712,-1.20470,-88.10,0.2866,0.0000
0.3417,5.4541,-0.0026,1.4167,2.5678,-0.37705,-1.62408,-1.20328,-87.41,0.3954,0.0000
0.3500,2.9813,0.0020,0.3080,0.8313,-0.38285,-1.61925,-1.20220,-87.29,0.9067,0.0000
0.3583,0.9041,-0.0013,0.0892,0.3260,-0.39051,-1.61380,-1.20166,-87.51,1.1275,0.0000
0.3667,0.3985,0.0018,-0.3898,0.4757,-0.39860,-1.60824,-1.20189,-87.72,1.1779,0.0000
0.3750,3.9473,0.0445,1.8131,0.2702,-0.40909,-1.60662,-1.20291,-87.65,1.2735,0.0000
0.3833,-0.3256,-1.1196,0.3778,2.2218,-0.42285,-1.60657,-1.20421,-87.84,1.6513,0.0000
0.3917,0.0269,0.1806,-0.0255,-0.1259,-0.43203,-1.60611,-1.20522,-87.31,1.1033,0.0000
0.4000,2.2377,2.6664,0.0120,2.0207,-0.43740,-1.60565,-1.20478,-87.01,0.6469,0.0000
0.4083,1.4975,2.5179,-0.0015,1.9011,-0.44308,-1.60532,-1.20412,-86.44,0.6826,0.0000
0.4167,0.9963,3.2150,0.0055,0.6892,-0.44848,-1.60515,-1.20406,-85.79,0.6476,0.0000
0.4250,4.3762,0.7916,0.0455,0.7928,-0.45293,-1.60481,-1.20487,-84.90,0.5359,0.0000
0.4333,1.7224,3.2428,0.1786,0.0679,-0.46018,-1.60478,-1.20502,-84.11,0.8699,0.0000
0.4417,1.5254,3.2644,0.0641,-0.2392,-0.46840,-1.60462,-1.20479,-83.59,0.9873,0.0000
