sim_time,torque_FL,torque_FR,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,heading_correction_rads
0.0000,5.3482,0.9664,0.9214,3.8816,0.00261,-1.61439,-1.22355,-90.95,0.0156,0.0000
0.0083,2.9014,0.0025,0.1352,2.2249,0.00256,-1.61462,-1.22356,-90.57,0.0236,0.0000
0.0167,0.6773,-0.0096,0.0107,0.4429,0.00255,-1.61465,-1.22355,-90.53,0.0039,0.0000
0.0250,0.6108,-0.0157,0.0181,0.0798,0.00253,-1.61406,-1.22371,-90.53,0.0704,0.0000
0.0333,0.4629,-0.0196,0.0187,-0.0197,0.00248,-1.61266,-1.22410,-90.52,0.1687,0.0000
0.0417,0.2081,6.1959,-0.0851,0.0149,0.00224,-1.61102,-1.22460,-90.92,0.1987,0.0000
0.0500,2.3836,3.7564,-0.0906,0.1471,0.00222,-1.61032,-1.22435,-92.38,0.0832,0.0000
0.0583,4.8540,2.6055,-0.0237,0.0942,0.00190,-1.61026,-1.22490,-93.83,0.0399,0.0000
0.0667,1.6853,0.3440,-0.0132,-0.0228,0.00206,-1.61204,-1.22434,-93.83,0.2149,0.0000
0.0750,1.1775,-0.0038,0.0042,0.0971,0.00214,-1.61368,-1.22389,-93.83,0.1977,0.0000
0.0833,4.9289,-0.1283,8.0209,0.3475,0.00188,-1.61491,-1.22355,-93.69,0.1504,0.0000
0.0917,3.7951,-0.0065,4.7988,0.7940,0.00236,-1.61511,-1.22260,-92.85,0.0619,0.0000
0.1000,4.6594,-0.0035,2.1019,0.9870,0.00177,-1.61450,-1.22228,-91.48,0.1015,0.0000
0.1083,4.0143,0.0143,1.4620,0.3163,0.00071,-1.61355,-1.22323,-89.86,0.1705,0.0000
0.1167,2.9271,-0.0015,2.8949,-0.0011,-0.00050,-1.61201,-1.22446,-88.58,0.2363,0.0000
0.1250,1.8999,3.7001,-0.1275,-0.0036,-0.00080,-1.61135,-1.22484,-88.66,0.0860,0.0000
0.1333,0.5578,-6.4429,-0.4428,0.0894,-0.00043,-1.61257,-1.22420,-89.53,0.1524,0.0000
0.1417,0.0234,6.3439,0.1734,0.4728,-0.00069,-1.61476,-1.22360,-89.52,0.2647,0.0000
0.1500,-0.1116,3.3788,-0.1117,-0.0304,-0.00113,-1.61484,-1.22350,-90.49,0.0543,0.0000
0.1583,-0.0332,1.0385,-0.0271,0.0441,-0.00121,-1.61432,-1.22368,-91.84,0.0622,0.0000
0.1667,5.0322,0.3051,-0.0592,0.0406,-0.00101,-1.61325,-1.22371,-93.02,0.1314,0.0000
0.1750,1.0472,-0.0037,0.0059,-0.0039,-0.00102,-1.61476,-1.22334,-93.02,0.1815,0.0000
0.1833,0.9163,-0.0053,0.0053,-0.0054,-0.00102,-1.61610,-1.22303,-93.03,0.1607,0.0000
0.1917,0.7870,-0.0139,0.0067,0.1831,-0.00114,-1.61716,-1.22289,-93.02,0.1282,0.0000
0.2000,0.7810,-0.0060,0.1450,0.2992,-0.00113,-1.61782,-1.22272,-93.00,0.0788,0.0000
0.2083,3.5286,-0.0610,6.4234,0.3145,-0.00110,-1.61798,-1.22261,-92.95,0.0195,0.0000
0.2167,2.5246,-0.0011,4.2742,0.3561,-0.00136,-1.61715,-1.22289,-92.47,0.1039,0.0000
0.2250,0.4543,-0.0145,0.2551,0.3602,-0.00138,-1.61614,-1.22315,-92.50,0.1209,0.0000
0.2333,0.3456,-0.0168,0.0236,-0.0169,-0.00142,-1.61416,-1.22368,-92.57,0.2384,0.0000
0.2417,3.2733,3.7747,-0.2617,0.1240,-0.00155,-1.61111,-1.22453,-92.88,0.3660,0.0000
0.2500,1.5792,0.3249,0.0363,-0.0222,-0.00153,-1.61097,-1.22478,-94.07,0.0173,0.0000
0.2583,1.3940,0.2182,0.0047,-0.0064,-0.00160,-1.61257,-1.22431,-94.07,0.1925,0.0000
0.2667,1.1498,-0.0034,0.0041,0.2975,-0.00140,-1.61418,-1.22375,-94.07,0.1950,0.0000
0.2750,3.6598,0.0658,-0.0268,0.6227,-0.00142,-1.61549,-1.22333,-94.01,0.1569,0.0000
0.2833,1.6553,-0.0755,0.2355,3.3783,-0.00140,-1.61668,-1.22301,-93.95,0.1429,0.0000
0.2917,3.0597,-0.0076,0.2230,3.0453,-0.00153,-1.61721,-1.22287,-93.18,0.0652,0.0000
0.3000,2.7236,0.0033,0.2002,2.4940,-0.00170,-1.61724,-1.22278,-92.63,0.0204,0.0000
0.3083,1.0948,0.0041,0.0601,0.4197,-0.00175,-1.61716,-1.22277,-92.49,0.0114,0.0000
0.3167,0.6155,-0.0104,0.0539,0.2364,-0.00176,-1.61666,-1.22289,-92.51,0.0602,0.0000
0.3250,0.4209,-0.0155,0.0152,-0.0155,-0.00179,-1.61537,-1.22320,-92.56,0.1538,0.0000
0.3333,0.2430,0.1600,0.0241,-0.0238,-0.00184,-1.61301,-1.22384,-92.65,0.2832,0.0000
0.3417,0.4340,3.6241,0.0096,-0.0134,-0.00159,-1.61147,-1.22433,-93.86,0.1879,0.0000
0.3500,0.7386,-0.0161,0.0233,-0.0158,-0.00132,-1.61193,-1.22437,-94.62,0.0640,0.0000
0.3583,1.1540,-0.0041,0.0036,0.4132,-0.00134,-1.61368,-1.22390,-94.62,0.2105,0.0000
0.3667,3.7622,-0.0086,0.0054,3.0199,-0.00154,-1.61459,-1.22370,-93.43,0.1123,0.0000
0.3750,3.3824,0.0031,0.0018,2.2661,-0.00182,-1.61498,-1.22353,-92.33,0.0574,0.0000
0.3833,3.1307,0.0043,-0.0109,1.7955,-0.00215,-1.61504,-1.22350,-91.45,0.0395,0.0000
0.3917,1.7970,0.0091,-0.0214,0.2467,-0.00218,-1.61537,-1.22337,-91.16,0.0406,0.0000
0.4000,0.7787,-0.0112,0.1028,0.2069,-0.00217,-1.61569,-1.22328,-91.16,0.0382,0.0000
0.4083,0.6249,-0.0122,0.0798,-0.0123,-0.00218,-1.61544,-1.22335,-91.16,0.0295,0.0000
0.4167,0.4400,0.0437,0.0190,-0.0183,-0.00219,-1.61443,-1.22363,-91.14,0.1213,0.0000
0.4250,0.2909,5.2602,0.0629,-0.0517,-0.00255,-1.61382,-1.22383,-91.73,0.0849,0.0000
0.4333,0.1236,2.0306,-0.0109,0.0266,-0.00284,-1.61305,-1.22402,-92.98,0.0988,0.0000
0.4417,5.8166,0.7845,-0.1038,0.0935,-0.00284,-1.61175,-1.22410,-94.28,0.1562,0.0000
0.4500,1.1274,-0.0022,0.0030,-0.0023,-0.00303,-1.61299,-1.22419,-94.74,0.1501,0.0000
0.4583,1.3730,-0.0244,-0.0076,-0.0239,-0.00254,-1.61457,-1.22364,-94.70,0.1991,0.0000
0.4667,5.1419,-0.0126,0.2641,5.5760,-0.00262,-1.61588,-1.22326,-94.32,0.1564,0.0000
0.4750,3.1939,0.0104,0.2711,3.2982,-0.00305,-1.61631,-1.22301,-93.13,0.0731,0.0000
0.4833,3.3600,-0.0419,0.1703,3.1646,-0.00334,-1.61640,-1.22288,-92.12,0.0361,0.0000
0.4917,2.2594,0.0051,0.0012,1.9594,-0.00334,-1.61604,-1.22318,-91.18,0.0428,0.0000
0.5000,0.7359,-0.0088,0.0095,0.5703,-0.00334,-1.61567,-1.22328,-90.88,0.0451,0.0000
0.5083,0.6017,-0.0140,0.0157,0.1296,-0.00335,-1.61510,-1.22342,-90.89,0.0684,0.0000
0.5167,3.0507,0.3958,0.0035,0.0555,-0.00343,-1.61491,-1.22346,-91.17,0.0243,0.0000
0.5250,0.0481,3.9326,0.0462,-0.0544,-0.00353,-1.61497,-1.22346,-91.61,0.0136,0.0000
0.5333,-0.0213,2.0068,-0.0197,-0.0266,-0.00345,-1.61381,-1.22365,-92.86,0.1397,0.0000
0.5417,2.1006,0.3881,-0.0104,-0.0194,-0.00358,-1.61227,-1.22417,-94.05,0.1855,0.0000
0.5500,1.1417,-0.0008,0.0030,-0.0009,-0.00356,-1.61347,-1.22397,-94.24,0.1440,0.0000
0.5583,1.0310,-0.0032,0.0019,-0.0033,-0.00360,-1.61509,-1.22360,-94.22,0.1948,0.0000
0.5667,0.9276,-0.0041,0.3313,0.3603,-0.00335,-1.61648,-1.22317,-94.21,0.1686,0.0000
0.5750,4.3202,-0.0029,4.0353,0.5158,-0.00326,-1.61673,-1.22246,-93.51,0.0331,0.0000
0.5833,4.2972,0.0021,2.3761,0.3797,-0.00367,-1.61633,-1.22219,-92.22,0.0701,0.0000
0.5917,4.1244,0.0068,1.8155,0.1743,-0.00494,-1.61580,-1.22318,-90.90,0.1642,0.0000
0.6000,0.8339,0.2672,0.2978,0.1483,-0.00543,-1.61506,-1.22358,-90.38,0.1062,0.0000
0.6083,0.6652,1.9872,0.0778,0.2778,-0.00557,-1.61523,-1.22354,-90.82,0.0263,0.0000
0.6167,0.1579,5.4375,-0.0997,0.0157,-0.00574,-1.61492,-1.22359,-91.62,0.0422,0.0000
0.6250,0.1518,3.7807,0.0078,-0.0109,-0.00553,-1.61414,-1.22378,-92.38,0.0958,0.0000
0.6333,0.1168,2.8235,0.0455,-0.0024,-0.00549,-1.61273,-1.22414,-93.46,0.1696,0.0000
0.6417,5.9007,0.6070,-0.0740,0.0347,-0.00542,-1.61192,-1.22428,-94.19,0.0981,0.0000
0.6500,1.1672,-0.0028,0.0049,-0.0029,-0.00542,-1.61369,-1.22384,-94.19,0.2129,0.0000
0.6583,1.0241,-0.0039,0.0039,-0.0040,-0.00543,-1.61529,-1.22347,-94.19,0.1916,0.0000
0.6667,4.9044,0.0145,0.0543,4.3862,-0.00543,-1.61650,-1.22313,-93.95,0.1447,0.0000
0.6750,2.9223,0.0006,0.0842,2.1389,-0.00568,-1.61716,-1.22284,-93.28,0.0848,0.0000
0.6833,4.3006,-0.0568,6.6257,0.3112,-0.00580,-1.61747,-1.22259,-92.83,0.0402,0.0000
0.6917,3.7003,-0.0061,5.1888,0.2350,-0.00596,-1.61662,-1.22216,-91.94,0.1044,0.0000
0.7000,2.8680,0.0017,4.1321,0.0741,-0.00628,-1.61541,-1.22272,-90.95,0.1498,0.0000
0.7083,1.1267,2.9267,-0.9949,-0.0466,-0.00743,-1.61525,-1.22362,-91.14,0.1397,0.0000
0.7167,0.2367,5.8527,0.0197,-0.0597,-0.00748,-1.61476,-1.22369,-91.86,0.0589,0.0000
0.7250,0.0448,7.8447,0.0441,-0.0561,-0.00735,-1.61408,-1.22375,-92.32,0.0823,0.0000
0.7333,-0.0205,2.5773,-0.0189,-0.0266,-0.00735,-1.61274,-1.22406,-93.22,0.1611,0.0000
0.7417,2.3265,0.1253,-0.0065,-0.0322,-0.00747,-1.61191,-1.22443,-93.77,0.1014,0.0000
0.7500,1.3021,-0.0013,0.0053,0.1284,-0.00741,-1.61362,-1.22392,-93.78,0.2059,0.0000
0.7583,1.1440,-0.0073,0.0012,0.3739,-0.00730,-1.61516,-1.22350,-93.78,0.1858,0.0000
0.7667,2.5846,0.0272,-0.0195,0.3447,-0.00729,-1.61635,-1.22319,-93.67,0.1418,0.0000
0.7750,4.3284,-0.0123,0.2231,3.3406,-0.00742,-1.61722,-1.22291,-93.38,0.1059,0.0000
0.7833,2.8841,-0.0001,0.1246,2.6417,-0.00754,-1.61767,-1.22275,-92.83,0.0552,0.0000
0.7917,2.5777,0.0011,0.0010,2.3974,-0.00761,-1.61780,-1.22267,-92.61,0.0182,0.0000
0.8000,0.6530,-0.0120,0.2306,0.3608,-0.00762,-1.61758,-1.22272,-92.59,0.0262,0.0000
0.8083,0.5445,-0.0142,0.2209,-0.0143,-0.00765,-1.61668,-1.22293,-92.59,0.1076,0.0000
0.8167,0.3489,-0.0209,0.0233,-0.0210,-0.00769,-1.61483,-1.22340,-92.58,0.2221,0.0000
0.8250,0.1660,3.5814,0.0458,-0.0394,-0.00768,-1.61294,-1.22405,-93.05,0.2274,0.0000
0.8333,5.7560,0.5411,-0.0887,0.1022,-0.00763,-1.61146,-1.22462,-94.57,0.1776,0.0000
0.8417,1.4097,-0.0023,0.0034,-0.0025,-0.00756,-1.61321,-1.22410,-94.58,0.2097,0.0000
0.8500,5.1644,-0.0495,0.0862,6.2235,-0.00766,-1.61471,-1.22359,-94.26,0.1805,0.0000
