pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.007,-29.010,-169.330,-149.998,0.990,-5.4290,-13.9465,-6.2557,-0.7999,-15.0152,-6.7842,-0.9145,0.365299,0.026891,0.491494,0.263965,-0.152400,0.502646,-0.239273,0.552675,-0.230452,-0.009,-0.007,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.007,-28.985,-169.649,-119.998,1.015,0.7987,-18.2542,-8.0484,-0.7870,-14.8120,-6.5810,-0.7114,0.354565,0.028157,0.469578,0.263965,-0.152400,0.502646,-0.239273,0.541562,-0.206620,-0.021,-0.024,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.009,-29.014,-169.896,-89.999,0.986,-0.1166,-14.4638,-6.1808,-0.2959,-14.4182,-6.1873,-0.3176,0.339934,0.034579,0.456033,0.263965,-0.152400,0.502646,-0.239273,0.520021,-0.191537,-0.045,-0.010,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.009,-29.061,-170.044,-60.001,0.939,-0.2454,-14.0316,-5.7243,0.1769,-13.9394,-5.7084,0.1613,0.322073,0.041967,0.455188,0.263965,-0.152400,0.502646,-0.239273,0.493825,-0.189245,-0.106,-0.001,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.008,-29.115,-170.031,-30.002,0.885,0.1467,-13.5705,-5.2781,0.6093,-13.5037,-5.2728,0.5969,0.305920,0.047199,0.467032,0.263965,-0.152400,0.502646,-0.239273,0.469993,-0.200358,-0.098,-0.021,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.009,-29.137,-169.759,-0.002,0.863,0.0360,-13.3047,-5.0202,0.8768,-13.2280,-4.9970,0.8726,0.296837,0.049517,0.488311,0.263965,-0.152400,0.502646,-0.239273,0.454910,-0.221898,0.008,-0.007,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.010,-29.129,-169.822,29.998,0.871,-0.0435,-13.2864,-4.9900,0.9052,-13.1861,-4.9551,0.9145,0.303952,0.052366,0.514395,0.263965,-0.152400,0.502646,-0.239273,0.452618,-0.248094,-0.089,-0.011,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.011,-29.108,-169.968,59.998,0.892,-0.1638,-13.6395,-5.2536,0.7038,-13.3893,-5.1583,0.7114,0.321623,0.059949,0.538353,0.263965,-0.152400,0.502646,-0.239273,0.463731,-0.271927,-0.087,0.003,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.009,-29.066,-170.000,89.999,0.934,0.0633,-13.8412,-5.5696,0.3115,-13.7830,-5.5521,0.3176,0.348104,0.069556,0.553047,0.263965,-0.152400,0.502646,-0.239273,0.485272,-0.287010,-0.080,-0.034,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.009,-29.026,-169.950,120.001,0.974,-4.4164,-16.4127,-6.9800,-0.0296,-14.2619,-6.0309,-0.1613,0.379274,0.076628,0.554516,0.263965,-0.152400,0.502646,-0.239273,0.511468,-0.289301,-0.005,-0.010,True
