pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.004,-30.344,-170.174,-150.001,0.344,-0.0003,9.4960,3.5999,0.3719,-9.5115,-3.6038,-0.3707,0.521674,0.413118,-0.428867,0.329956,-0.190500,0.616374,-0.294748,0.691416,-0.281516,180.000,0.000,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.004,-30.340,-170.104,-120.001,0.340,-0.0017,9.4198,3.5214,0.2907,-9.4292,-3.5214,-0.2884,0.505464,0.414404,-0.392511,0.329956,-0.190500,0.616374,-0.294748,0.674747,-0.245767,-180.000,0.000,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.004,-30.332,-170.038,-90.001,0.332,-0.0002,9.2563,3.3610,0.1311,-9.2696,-3.3618,-0.1288,0.473500,0.416934,-0.369188,0.329956,-0.190500,0.616374,-0.294748,0.642436,-0.223143,-180.000,0.000,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.004,-30.322,-169.998,-60.000,0.322,0.0001,9.0626,3.1671,-0.0635,-9.0754,-3.1676,0.0654,0.434408,0.420026,-0.365213,0.329956,-0.190500,0.616374,-0.294748,0.603142,-0.219705,180.000,0.000,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.004,-30.314,-170.003,-29.999,0.314,-0.0003,8.8852,2.9896,-0.2407,-8.8988,-2.9910,0.2420,0.398710,0.422848,-0.381621,0.329956,-0.190500,0.616374,-0.294748,0.567394,-0.236375,180.000,0.000,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.005,-30.309,-170.040,0.001,0.309,-0.0008,8.7751,2.8774,-0.3535,-8.7871,-2.8793,0.3538,0.375951,0.424646,-0.413900,0.329956,-0.190500,0.616374,-0.294748,0.544769,-0.268686,-180.000,0.000,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.005,-30.309,-170.036,30.001,0.309,-0.0002,8.7545,2.8585,-0.3715,-8.7701,-2.8623,0.3707,0.372297,0.424935,-0.453156,0.329956,-0.190500,0.616374,-0.294748,0.541332,-0.307980,180.000,0.000,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.004,-30.312,-170.007,60.001,0.312,0.0015,8.8419,2.9426,-0.2899,-8.8524,-2.9446,0.2884,0.388757,0.423634,-0.488926,0.329956,-0.190500,0.616374,-0.294748,0.558001,-0.343728,-180.000,0.000,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.004,-30.320,-169.998,90.001,0.320,0.0037,8.9975,3.1007,-0.1307,-9.0120,-3.1043,0.1288,0.420824,0.421097,-0.511760,0.329956,-0.190500,0.616374,-0.294748,0.590312,-0.366352,180.000,0.000,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.004,-30.329,-170.019,120.000,0.329,0.0036,9.1847,3.2920,0.0633,-9.2062,-3.2984,-0.0654,0.459851,0.418007,-0.515620,0.329956,-0.190500,0.616374,-0.294748,0.629606,-0.369790,180.000,0.000,True
