pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged,filter_status,filter_chassis,filter_self_L4_L2,filter_self_L4_J1,filter_floor,filter_converged,filter_tipping,tip_worst_margin_m,tip_worst_j1_deg,tip_j1_stable_count,tip_cg_x_m,tip_cg_y_m
0,-30.0,-170.0,-100.0,-30.0,10.0,80.0,0.007,-29.989,-170.152,-100.001,0.152,-0.0004,15.5276,6.3830,0.6155,-15.5250,-6.3835,-0.6125,0.476491,0.403853,-0.371638,0.329956,-0.190500,0.616374,-0.294748,0.654474,-0.228757,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
1,-30.0,-170.0,-70.0,-30.0,10.0,110.0,0.007,-29.985,-170.012,-70.000,0.015,-0.0004,14.9144,5.7712,-0.0000,-14.9125,-5.7709,-0.0000,0.438625,0.406970,-0.360602,0.329956,-0.190500,0.616374,-0.294748,0.616374,-0.218548,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
2,-30.0,-170.0,-40.0,-30.0,10.0,140.0,0.008,-29.986,-169.975,-39.999,0.025,-0.0004,14.3017,5.1590,-0.6133,-14.3000,-5.1584,0.6125,0.400675,0.410089,-0.370657,0.329956,-0.190500,0.616374,-0.294748,0.578274,-0.228757,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
3,-30.0,-170.0,-10.0,-30.0,10.0,170.0,0.010,-29.993,-170.242,-9.998,0.242,-0.0005,13.8506,4.7057,-1.0588,-13.8516,-4.7100,1.0609,0.372557,0.412390,-0.399657,0.329956,-0.190500,0.616374,-0.294748,0.550383,-0.256648,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
4,-30.0,-170.0,20.0,-30.0,10.0,-160.0,0.010,-29.992,-170.279,20.003,0.279,-0.0004,13.6834,4.5380,-1.2255,-13.6875,-4.5459,1.2250,0.362163,0.413241,-0.437848,0.329956,-0.190500,0.616374,-0.294748,0.540174,-0.294748,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
5,-30.0,-170.0,50.0,-30.0,10.0,-130.0,0.010,-29.988,-170.047,50.002,0.047,-0.0004,13.8521,4.7088,-1.0614,-13.8516,-4.7100,1.0609,0.372758,0.412369,-0.475069,0.329956,-0.190500,0.616374,-0.294748,0.550383,-0.332848,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
6,-30.0,-170.0,80.0,-30.0,10.0,-100.0,0.010,-29.988,-169.990,80.001,0.012,-0.0005,14.3023,5.1596,-0.6121,-14.3000,-5.1584,0.6125,0.400709,0.410067,-0.502725,0.329956,-0.190500,0.616374,-0.294748,0.578274,-0.360739,-180.000,-0.000,True,floor_collision,False,False,False,True,True,False,,,,,
7,-30.0,-150.0,-100.0,-30.0,30.0,80.0,0.005,-29.987,-150.081,-100.001,0.081,-0.0002,15.5001,6.3566,0.2143,-15.4956,-6.3540,-0.2127,0.470217,0.404391,-0.257912,0.329956,-0.190500,0.634756,-0.190500,0.647988,-0.115458,-180.000,-0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
8,-30.0,-150.0,-70.0,-30.0,30.0,110.0,0.006,-29.983,-149.925,-69.999,0.075,-0.0003,14.8622,5.7197,-0.4208,-14.8639,-5.7223,0.4190,0.430864,0.407628,-0.260510,0.329956,-0.190500,0.634756,-0.190500,0.608694,-0.118895,-180.000,-0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
9,-30.0,-150.0,-40.0,-30.0,30.0,140.0,0.006,-29.986,-149.936,-39.998,0.064,-0.0003,14.3436,5.2012,-0.9395,-14.3444,-5.2029,0.9384,0.398699,0.410269,-0.283263,0.329956,-0.190500,0.634756,-0.190500,0.576383,-0.141520,-180.000,-0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
10,-30.0,-150.0,-10.0,-30.0,30.0,170.0,0.008,-29.995,-150.290,-9.997,0.290,-0.0003,14.0825,4.9378,-1.2058,-14.0764,-4.9349,1.2064,0.382184,0.411617,-0.320533,0.329956,-0.190500,0.634756,-0.190500,0.559713,-0.177268,-180.000,-0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
11,-30.0,-150.0,20.0,-30.0,30.0,-160.0,0.008,-29.996,-150.411,20.003,0.411,-0.0004,14.1360,4.9900,-1.1548,-14.1317,-4.9901,1.1512,0.385359,0.411351,-0.360333,0.329956,-0.190500,0.634756,-0.190500,0.563151,-0.216562,-180.000,-0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
