pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-180.0,-180.0,-100.0,-180.0,0.0,80.0,-0.007,-179.476,-179.943,-99.999,0.524,0.0007,-17.8801,-6.4820,-0.3125,17.8691,6.4887,0.3307,-0.729032,0.472276,-0.277904,-0.359867,-0.000000,-0.644906,-0.000000,-0.666827,-0.124320,-180.000,-0.001,True
1,-180.0,-180.0,-75.0,-180.0,0.0,105.0,-0.007,-179.509,-180.000,-75.001,0.491,-0.0028,-16.9171,-5.6065,0.5080,17.0456,5.6652,-0.4928,-0.674989,0.466349,-0.274371,-0.359867,-0.000000,-0.644906,-0.000000,-0.612233,-0.121937,-180.000,-0.000,True
2,-180.0,-180.0,-50.0,-180.0,0.0,130.0,-0.007,-179.538,-180.000,-50.003,0.462,-0.0040,-16.2473,-4.9034,1.2325,16.3145,4.9341,-1.2240,-0.627075,0.461102,-0.248444,-0.359867,-0.000000,-0.644906,-0.000000,-0.563762,-0.096704,-180.000,-0.000,True
3,-180.0,-180.0,-25.0,-180.0,0.0,155.0,-0.005,-179.558,-180.000,-25.004,0.442,0.0001,-15.8269,-4.4325,1.7342,15.8127,4.4323,-1.7257,-0.594371,0.457529,-0.204644,-0.359867,-0.000000,-0.644906,-0.000000,-0.530496,-0.053350,180.000,-0.000,True
4,-180.0,-180.0,0.0,-180.0,0.0,-180.0,-0.004,-179.564,-179.937,-0.004,0.436,0.0030,-15.5596,-4.2314,1.8948,15.6343,4.2539,-1.9041,-0.583015,0.456300,-0.151326,-0.359867,-0.000000,-0.644906,-0.000000,-0.518668,-0.000000,-180.000,-0.000,True
5,-180.0,-180.0,25.0,-180.0,0.0,-155.0,-0.003,-179.557,-180.000,24.996,0.443,-0.0003,-15.9271,-4.4725,1.7310,15.8127,4.4323,-1.7257,-0.595175,0.457639,-0.097957,-0.359867,-0.000000,-0.644906,-0.000000,-0.530496,0.053350,-180.000,-0.000,True
6,-180.0,-180.0,50.0,-180.0,0.0,-130.0,-0.003,-179.537,-180.000,49.997,0.463,-0.0008,-16.3499,-4.9540,1.2135,16.3145,4.9341,-1.2240,-0.628603,0.461312,-0.055054,-0.359867,-0.000000,-0.644906,-0.000000,-0.563762,0.096704,-180.000,-0.000,True
7,-180.0,-180.0,75.0,-180.0,0.0,-105.0,-0.002,-179.507,-180.000,74.999,0.493,-0.0024,-17.2253,-5.7428,0.4787,17.0456,5.6652,-0.4928,-0.677046,0.466633,-0.030516,-0.359867,-0.000000,-0.644906,-0.000000,-0.612233,0.121937,180.000,-0.000,True
8,-180.0,-180.0,100.0,-180.0,0.0,-80.0,-0.002,-179.475,-179.940,100.001,0.525,-0.0042,-17.9623,-6.5384,-0.3531,17.8691,6.4887,0.3307,-0.731529,0.472615,-0.029301,-0.359867,-0.000000,-0.644906,-0.000000,-0.666827,0.124320,180.000,-0.000,True
9,-180.0,-160.0,-100.0,-180.0,20.0,80.0,-0.011,-179.564,-160.048,-100.001,0.436,0.0004,-16.8314,-5.4377,0.3432,16.8364,5.4560,-0.3307,-0.668143,0.465558,-0.373409,-0.359867,-0.000000,-0.627716,-0.097489,-0.605795,-0.221809,-180.000,-0.000,True
10,-180.0,-160.0,-75.0,-180.0,20.0,105.0,-0.011,-179.594,-160.142,-75.003,0.406,-0.0223,-16.1199,-4.7003,1.1016,16.0749,4.6945,-1.0922,-0.618537,0.460126,-0.351549,-0.359867,-0.000000,-0.627716,-0.097489,-0.555309,-0.200897,-180.000,-0.000,True
11,-180.0,-160.0,-50.0,-180.0,20.0,130.0,-0.010,-179.628,-160.151,-50.004,0.372,-0.0010,-15.5187,-4.1298,1.6539,15.5180,4.1376,-1.6490,-0.582143,0.456145,-0.310763,-0.359867,-0.000000,-0.627716,-0.097489,-0.518391,-0.160608,-180.000,0.000,True
