pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged,filter_status,filter_chassis,filter_self_L4_L2,filter_self_L4_J1,filter_floor,filter_converged,filter_tipping,tip_worst_margin_m,tip_worst_j1_deg,tip_j1_stable_count,tip_cg_x_m,tip_cg_y_m
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.005,-29.221,-169.472,-149.996,0.779,-7.9863,-26.7260,-12.6921,-2.0720,-22.4006,-10.6739,-1.8314,0.644178,0.026735,0.587289,0.373950,-0.215900,0.731973,-0.346210,0.832029,-0.328567,0.008,-0.013,True,floor_collision,False,False,False,True,True,False,,,,,
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.007,-29.245,-169.704,-119.997,0.755,-2.7686,-21.5154,-10.2880,-1.4337,-21.9938,-10.2671,-1.4246,0.621558,0.027713,0.541997,0.373950,-0.215900,0.731973,-0.346210,0.809803,-0.280902,-0.054,-0.011,True,floor_collision,False,False,False,True,True,False,,,,,
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.007,-29.261,-169.907,-89.999,0.739,8.2366,-24.3642,-10.7651,-0.5942,-21.2052,-9.4785,-0.6360,0.578703,0.029154,0.514368,0.373950,-0.215900,0.731973,-0.346210,0.766722,-0.250737,-0.034,-0.013,True,floor_collision,False,False,False,True,True,False,,,,,
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.008,-29.279,-170.031,-60.001,0.721,-0.2951,-20.3171,-8.5196,0.3491,-20.2463,-8.5196,0.3229,0.530888,0.040880,0.511158,0.373950,-0.215900,0.731973,-0.346210,0.714330,-0.246153,-0.108,-0.020,True,floor_collision,False,False,False,True,True,False,,,,,
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.007,-29.342,-170.044,-30.003,0.658,-0.0344,-19.4715,-7.6574,1.2150,-19.3738,-7.6471,1.1954,0.490699,0.051029,0.534609,0.373950,-0.215900,0.731973,-0.346210,0.666665,-0.268380,-0.130,-0.029,True,floor_collision,False,False,False,True,True,False,,,,,
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.007,-29.348,-169.886,-0.004,0.652,0.2598,-18.7364,-7.0496,1.7374,-18.8217,-7.0950,1.7475,0.470128,0.060037,0.577611,0.373950,-0.215900,0.731973,-0.346210,0.636500,-0.311460,-0.130,-0.051,True,floor_collision,False,False,False,True,True,False,,,,,
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.008,-29.369,-169.928,29.996,0.631,-0.2055,-18.9414,-7.0863,1.8277,-18.7378,-7.0111,1.8314,0.471802,0.071015,0.630232,0.373950,-0.215900,0.731973,-0.346210,0.631916,-0.363852,-0.064,-0.022,True,floor_collision,False,False,False,True,True,False,,,,,
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.008,-29.337,-170.004,59.997,0.663,0.2542,-19.2058,-7.4411,1.3941,-19.1446,-7.4179,1.4246,0.498372,0.087134,0.677743,0.373950,-0.215900,0.731973,-0.346210,0.654143,-0.411517,-0.106,-0.062,True,floor_collision,False,False,False,True,True,False,,,,,
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.006,-29.300,-169.999,89.999,0.700,0.4438,-20.1733,-8.2956,0.6266,-19.9332,-8.2065,0.6360,0.545004,0.105749,0.706927,0.373950,-0.215900,0.731973,-0.346210,0.697223,-0.441682,-0.156,-0.038,True,floor_collision,False,False,False,True,True,False,,,,,
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.008,-29.265,-169.942,120.001,0.735,0.0701,-21.0534,-9.2384,-0.3556,-20.8921,-9.1654,-0.3229,0.597985,0.128871,0.710108,0.373950,-0.215900,0.731973,-0.346210,0.749615,-0.446266,-0.050,-0.027,True,floor_collision,False,False,False,True,True,False,,,,,
