pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged,filter_status,filter_chassis,filter_self_L4_L2,filter_self_L4_J1,filter_floor,filter_converged,filter_tipping,tip_worst_margin_m,tip_worst_j1_deg,tip_j1_stable_count,tip_cg_x_m,tip_cg_y_m
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.007,-30.756,-170.526,-150.005,0.756,-0.0012,22.2890,10.6295,1.8419,-22.4006,-10.6739,-1.8314,0.656124,0.411607,-0.485827,0.373950,-0.215900,0.731973,-0.346210,0.832029,-0.328567,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.006,-30.745,-170.298,-120.004,0.745,-0.0007,21.9055,10.2476,1.4485,-21.9938,-10.2671,-1.4246,0.635374,0.413069,-0.435788,0.373950,-0.215900,0.731973,-0.346210,0.809803,-0.280902,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.006,-30.718,-170.116,-90.001,0.718,-0.0003,21.1223,9.4678,0.6621,-21.2052,-9.4785,-0.6360,0.593201,0.416030,-0.403245,0.373950,-0.215900,0.731973,-0.346210,0.766722,-0.250737,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.006,-30.683,-169.986,-59.999,0.683,-0.0002,20.1613,8.5087,-0.3017,-20.2463,-8.5196,0.3229,0.541236,0.419671,-0.396708,0.373950,-0.215900,0.731973,-0.346210,0.714330,-0.246153,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.007,-30.616,-169.962,-29.997,0.616,-0.0011,19.3312,7.6479,-1.1847,-19.3738,-7.6471,1.1954,0.493792,0.422996,-0.417443,0.373950,-0.215900,0.731973,-0.346210,0.666665,-0.268380,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.008,-30.592,-170.103,0.004,0.592,-0.0012,18.7701,7.0827,-1.7442,-18.8217,-7.0950,1.7475,0.463159,0.425136,-0.460606,0.373950,-0.215900,0.731973,-0.346210,0.636500,-0.311460,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.008,-30.596,-170.069,30.004,0.596,-0.0014,18.6772,6.9900,-1.8387,-18.7378,-7.0111,1.8314,0.458028,0.425491,-0.512824,0.373950,-0.215900,0.731973,-0.346210,0.631916,-0.363852,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.009,-30.614,-169.995,60.003,0.614,-0.0015,19.0788,7.3934,-1.4389,-19.1446,-7.4179,1.4246,0.479774,0.423962,-0.560589,0.373950,-0.215900,0.731973,-0.346210,0.654143,-0.411517,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.009,-30.672,-169.994,90.002,0.672,-0.0005,19.8089,8.1545,-0.6563,-19.9332,-8.2065,0.6360,0.521950,0.420996,-0.591940,0.373950,-0.215900,0.731973,-0.346210,0.697223,-0.441682,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.008,-30.705,-170.045,119.999,0.705,-0.0008,20.7619,9.1083,0.2998,-20.8921,-9.1654,-0.3229,0.573688,0.417366,-0.597883,0.373950,-0.215900,0.731973,-0.346210,0.749615,-0.446266,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,0.008,-30.731,-170.196,149.997,0.731,-0.0005,21.6278,9.9746,1.1740,-21.7646,-10.0378,-1.1954,0.620758,0.414069,-0.577751,0.373950,-0.215900,0.731973,-0.346210,0.797280,-0.424040,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,0.004,-30.585,-150.548,-150.004,0.585,-0.0002,22.7203,11.0510,1.6310,-22.7472,-11.0205,-1.6105,0.671193,0.410581,-0.320322,0.373950,-0.215900,0.754950,-0.215900,0.842938,-0.165100,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,0.004,-30.629,-150.260,-120.003,0.629,-0.0002,22.0351,10.3739,0.9560,-22.0665,-10.3398,-0.9298,0.634327,0.413170,-0.280850,0.373950,-0.215900,0.754950,-0.215900,0.805750,-0.127912,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
13,-30.0,-150.0,-90.0,-30.0,30.0,90.0,0.004,-30.588,-150.023,-90.000,0.588,-0.0006,21.1383,9.4527,0.0196,-21.1367,-9.4100,-0.0000,0.583561,0.416732,-0.264287,0.373950,-0.215900,0.754950,-0.215900,0.754950,-0.114300,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
14,-30.0,-150.0,-60.0,-30.0,30.0,120.0,0.004,-30.538,-149.908,-59.998,0.538,-0.0006,20.1955,8.5088,-0.9195,-20.2069,-8.4802,0.9298,0.532687,0.420296,-0.276102,0.373950,-0.215900,0.754950,-0.215900,0.704150,-0.127912,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
15,-30.0,-150.0,-30.0,-30.0,30.0,150.0,0.005,-30.462,-149.956,-29.996,0.462,-0.0006,19.5119,7.8191,-1.6067,-19.5262,-7.7995,1.6105,0.495569,0.422891,-0.312365,0.373950,-0.215900,0.754950,-0.215900,0.666962,-0.165100,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
16,-30.0,-150.0,0.0,-30.0,30.0,-180.0,0.006,-30.405,-150.172,0.004,0.405,-0.0006,19.2648,7.5641,-1.8628,-19.2770,-7.5503,1.8596,0.481835,0.423847,-0.363469,0.373950,-0.215900,0.754950,-0.215900,0.653350,-0.215900,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
17,-30.0,-150.0,30.0,-30.0,30.0,-150.0,0.006,-30.469,-150.184,30.004,0.469,-0.0008,19.5033,7.8061,-1.6238,-19.5262,-7.7995,1.6105,0.494594,0.422947,-0.415204,0.373950,-0.215900,0.754950,-0.215900,0.666962,-0.266700,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
18,-30.0,-150.0,60.0,-30.0,30.0,-120.0,0.006,-30.544,-150.081,60.002,0.544,-0.0009,20.1748,8.4835,-0.9482,-20.2069,-8.4802,0.9298,0.531029,0.420390,-0.453130,0.373950,-0.215900,0.754950,-0.215900,0.704150,-0.303888,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
19,-30.0,-150.0,90.0,-30.0,30.0,-90.0,0.006,-30.614,-150.023,90.000,0.614,-0.0002,21.0554,9.3949,-0.0206,-21.1367,-9.4100,-0.0000,0.581242,0.416864,-0.467869,0.373950,-0.215900,0.754950,-0.215900,0.754950,-0.317500,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
20,-30.0,-150.0,120.0,-30.0,30.0,-60.0,0.006,-30.623,-150.010,119.998,0.623,-0.0003,21.9895,10.3290,0.9127,-22.0665,-10.3398,-0.9298,0.632036,0.413305,-0.454846,0.373950,-0.215900,0.754950,-0.215900,0.805750,-0.303888,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
21,-30.0,-150.0,150.0,-30.0,30.0,-30.0,0.005,-30.574,-150.137,149.996,0.574,-0.0002,22.6853,11.0177,1.6002,-22.7472,-11.0205,-1.6105,0.669649,0.410674,-0.418399,0.373950,-0.215900,0.754950,-0.215900,0.842938,-0.266700,180.000,0.000,True,floor_collision,False,False,False,True,True,False,,,,,
22,-30.0,-130.0,-150.0,-30.0,50.0,30.0,0.003,-30.358,-130.370,-150.003,0.370,0.0001,21.8285,10.1222,1.2172,-21.7646,-10.0378,-1.1954,0.628196,0.413622,-0.157593,0.373950,-0.215900,0.731973,-0.085590,0.797280,-0.007760,180.000,0.000,True,chassis_collision,True,False,False,False,True,False,,,,,
