sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,-1.7303,-2.6122,-3.4041,-2.0854,0.00523,-1.61624,-1.23780,-90.64,0.0431,1.6162
0.0083,-1.0024,-0.1683,-0.4970,0.0092,0.00912,-1.61622,-1.23770,-90.75,0.3895,1.6162
0.0167,-0.5120,-0.9296,-0.4149,-0.6475,0.01301,-1.61623,-1.23744,-90.89,0.4671,1.6163
0.0250,-0.3319,-0.9017,-0.3342,-0.5448,0.01704,-1.61640,-1.23725,-91.02,0.4830,1.6165
0.0333,-0.1843,-0.7402,-0.1945,-0.3919,0.02120,-1.61665,-1.23713,-91.16,0.5002,1.6168
0.0417,-0.1489,-0.4846,-0.1847,-0.1376,0.02547,-1.61687,-1.23708,-91.30,0.5140,1.6171
0.0500,-0.0910,-0.3375,-0.2249,0.0969,0.02990,-1.61701,-1.23712,-91.44,0.5318,1.6173
0.0583,-0.1417,0.0284,-0.1144,0.3907,0.03446,-1.61708,-1.23725,-91.58,0.5468,1.6174
0.0667,-0.1440,0.3022,-0.1518,0.6702,0.03909,-1.61713,-1.23748,-91.72,0.5552,1.6176
0.0750,-0.1518,0.5498,-0.0538,0.9413,0.04382,-1.61716,-1.23783,-91.87,0.5684,1.6178
0.0833,-0.1219,0.7676,-0.0501,1.2153,0.04864,-1.61715,-1.23831,-92.01,0.5778,1.6179
0.0917,-0.0978,1.0349,-0.0528,1.4249,0.05351,-1.61711,-1.23891,-92.15,0.5847,1.6180
0.1000,-0.2155,1.4345,0.2683,1.5081,0.05835,-1.61702,-1.23965,-92.27,0.5812,1.6181
0.1083,0.8834,-0.4476,0.4108,-0.8645,0.06292,-1.61717,-1.24032,-92.37,0.5483,1.6184
0.1167,0.9843,0.1284,1.1278,-0.7154,0.06747,-1.61759,-1.24082,-92.46,0.5488,1.6190
0.1250,0.8571,0.1842,-0.5757,-1.0314,0.07206,-1.61750,-1.24111,-92.49,0.5504,1.6191
0.1333,1.5887,0.2657,-0.1129,-0.8662,0.07680,-1.61742,-1.24142,-92.49,0.5686,1.6192
0.1417,1.6632,-0.0407,-0.0740,-0.9325,0.08130,-1.61741,-1.24183,-92.51,0.5409,1.6195
0.1500,0.0739,-0.3421,-0.3202,-0.4246,0.08558,-1.61735,-1.24209,-92.58,0.5131,1.6196
0.1583,0.2106,0.2998,-1.7023,-0.7381,0.08951,-1.61698,-1.24201,-92.61,0.4739,1.6195
0.1667,-0.4309,-0.2890,-1.7081,-0.4442,0.09307,-1.61650,-1.24185,-92.59,0.4309,1.6192
0.1750,-1.5285,-0.1255,-1.9099,-0.3512,0.09629,-1.61573,-1.24145,-92.66,0.3971,1.6186
0.1833,-0.6916,-0.8568,-0.8732,-1.4083,0.09973,-1.61524,-1.24106,-92.72,0.4168,1.6183
0.1917,-0.8222,-0.4456,-0.8078,-1.1242,0.10339,-1.61483,-1.24068,-92.81,0.4422,1.6181
0.2000,-0.7915,-0.2578,-0.7663,-0.9467,0.10716,-1.61440,-1.24037,-92.90,0.4557,1.6180
0.2083,-0.8542,0.0693,-0.7178,-0.6833,0.11103,-1.61392,-1.24012,-93.01,0.4682,1.6177
0.2167,-0.7725,-2.7112,0.1830,-1.6814,0.11476,-1.61392,-1.23980,-93.19,0.4475,1.6180
0.2250,-0.7369,-2.5087,0.0766,-1.1937,0.11836,-1.61425,-1.23946,-93.40,0.4334,1.6186
0.2333,-1.7057,-1.3305,-0.5261,-0.1228,0.12189,-1.61397,-1.23912,-93.61,0.4244,1.6186
0.2417,-1.4470,-1.5020,-0.2676,-0.1801,0.12548,-1.61368,-1.23884,-93.83,0.4332,1.6186
0.2500,-1.2221,-1.3207,-0.0826,-0.0171,0.12916,-1.61340,-1.23863,-94.06,0.4428,1.6186
0.2583,-1.0454,-1.3909,0.0673,0.0960,0.13295,-1.61316,-1.23848,-94.28,0.4560,1.6186
0.2667,-0.5125,-1.6451,0.2608,0.1256,0.13691,-1.61305,-1.23841,-94.50,0.4748,1.6189
0.2750,-1.6650,-0.5271,-1.4464,0.0364,0.14072,-1.61257,-1.23817,-94.68,0.4608,1.6187
0.2833,-1.2248,-0.4710,-1.0037,0.0426,0.14442,-1.61185,-1.23787,-94.84,0.4519,1.6183
0.2917,-1.1638,-0.4827,-0.8811,0.0651,0.14817,-1.61120,-1.23761,-95.01,0.4573,1.6180
0.3000,-0.9613,-0.4596,-0.6630,0.0962,0.15203,-1.61063,-1.23741,-95.17,0.4679,1.6178
0.3083,-0.7964,-0.4485,-0.4307,0.0998,0.15600,-1.61013,-1.23728,-95.33,0.4802,1.6177
0.3167,-0.5747,-0.4316,-0.1859,0.1379,0.16009,-1.60974,-1.23723,-95.49,0.4935,1.6177
0.3250,-0.3441,-0.4317,0.0646,0.1701,0.16430,-1.60946,-1.23725,-95.64,0.5063,1.6178
0.3333,-0.2060,-0.5815,-0.1825,0.5506,0.16870,-1.60921,-1.23735,-95.81,0.5282,1.6180
0.3417,-0.1737,-0.3122,-0.1376,0.8585,0.17326,-1.60887,-1.23753,-95.98,0.5488,1.6182
0.3500,-0.1950,-0.0496,-0.0725,1.1497,0.17793,-1.60848,-1.23782,-96.15,0.5631,1.6183
0.3583,-0.1777,0.1519,-0.0638,1.4091,0.18268,-1.60806,-1.23823,-96.33,0.5715,1.6184
