sim_time,torque_FR,torque_FL,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,R_m
0.0000,1.7905,2.3351,0.6453,2.4616,0.00468,-1.61753,-1.22829,-90.41,0.0332,1.6175
0.0083,0.6886,0.5926,0.1954,1.6260,0.00090,-1.61955,-1.22833,-90.65,0.4283,1.6196
0.0167,0.4942,-0.7001,0.0779,0.9986,-0.00455,-1.62206,-1.22860,-90.96,0.7200,1.6221
0.0250,0.3236,-1.2867,0.0049,0.3979,-0.01072,-1.62481,-1.22919,-91.29,0.8115,1.6248
0.0333,0.1630,-1.5335,0.1315,0.2320,-0.01773,-1.62816,-1.23018,-91.58,0.9321,1.6283
0.0417,0.0312,-2.3048,0.3737,-1.2116,-0.02564,-1.63204,-1.23168,-91.73,1.0566,1.6322
0.0500,0.0454,1.1201,0.0650,-0.7518,-0.03290,-1.63500,-1.23173,-91.77,0.9417,1.6353
0.0583,0.1065,1.3543,0.1548,-1.1220,-0.03991,-1.63807,-1.23186,-91.74,0.9178,1.6386
0.0667,0.1070,0.7109,-0.0682,-1.5433,-0.04740,-1.64166,-1.23244,-91.70,0.9965,1.6423
0.0750,0.4864,-0.1008,0.5441,-2.0980,-0.05500,-1.64503,-1.23340,-91.72,0.9979,1.6460
0.0833,0.9012,0.3346,1.2419,0.7013,-0.06308,-1.64720,-1.23321,-91.91,1.0038,1.6484
0.0917,0.0513,0.8218,0.6300,0.9978,-0.07210,-1.64870,-1.23306,-92.13,1.0973,1.6503
0.1000,0.3190,1.9133,0.0062,0.8232,-0.08013,-1.64942,-1.23198,-92.17,0.9674,1.6514
0.1083,1.4668,2.0852,0.0276,0.7102,-0.08816,-1.65016,-1.23116,-92.23,0.9678,1.6525
0.1167,0.7789,1.6665,0.0058,0.2952,-0.09744,-1.65229,-1.23061,-92.29,1.1423,1.6552
0.1250,0.5192,0.9544,-0.0009,-0.3029,-0.10750,-1.65542,-1.23060,-92.39,1.2644,1.6589
0.1333,0.1847,-0.4853,0.0480,2.6884,-0.11742,-1.65837,-1.23018,-92.73,1.2415,1.6625
0.1417,0.5347,-0.3093,0.0069,1.8922,-0.12704,-1.66097,-1.22975,-93.19,1.1964,1.6658
0.1500,1.4985,-0.2446,-0.2067,2.3453,-0.13443,-1.66099,-1.22985,-92.75,0.8871,1.6664
0.1583,1.6912,0.6474,0.6081,0.7560,-0.14143,-1.65960,-1.23010,-92.12,0.8564,1.6656
