sim_time,torque_FL,torque_FR,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,heading_correction_rads
0.0000,1.8490,2.9663,0.7388,3.4429,-0.00245,-1.64797,-1.20301,-91.87,0.0303,0.0000
0.0083,0.6878,0.3256,-0.0014,2.3921,-0.00637,-1.64971,-1.20269,-92.25,0.4283,0.0000
0.0167,0.5200,-0.2110,0.0026,1.3574,-0.01157,-1.65156,-1.20256,-92.65,0.6624,0.0000
0.0250,1.4924,-0.2232,-0.0023,3.0763,-0.01869,-1.65357,-1.20260,-93.13,0.8880,0.0000
0.0333,0.5365,-1.1982,0.0022,1.0647,-0.02783,-1.65652,-1.20303,-93.56,1.1525,0.0000
0.0417,0.5311,-1.9049,0.0044,0.6615,-0.03770,-1.65988,-1.20400,-94.01,1.2511,0.0000
0.0500,0.2502,1.3099,0.3192,-0.3436,-0.04817,-1.66366,-1.20511,-94.40,1.3355,0.0000
0.0583,0.0034,0.8382,0.2844,-1.3598,-0.05737,-1.66613,-1.20473,-94.45,1.1435,0.0000
0.0667,-0.0116,0.9350,0.3205,-1.1250,-0.06565,-1.66777,-1.20471,-94.53,1.0127,0.0000
0.0750,0.2713,0.6118,0.3774,-1.4152,-0.07387,-1.66978,-1.20507,-94.61,1.0155,0.0000
0.0833,1.6738,0.1044,0.0847,-0.2261,-0.08225,-1.67152,-1.20462,-94.75,1.0276,0.0000
0.0917,1.5058,0.0002,-0.4235,0.1799,-0.09033,-1.67266,-1.20424,-94.84,0.9780,0.0000
0.1000,2.8121,0.0193,0.6779,1.2667,-0.09854,-1.67324,-1.20415,-94.95,0.9885,0.0000
0.1083,0.2765,0.0627,1.2887,0.2933,-0.10797,-1.67274,-1.20414,-95.10,1.1331,0.0000
0.1167,-0.4086,0.1866,2.2199,0.2713,-0.11645,-1.67268,-1.20369,-95.57,1.0168,0.0000
0.1250,-0.3426,0.2961,1.6256,0.3955,-0.12478,-1.67286,-1.20356,-95.99,1.0000,0.0000
0.1333,0.0083,0.5889,0.0199,0.9874,-0.13346,-1.67297,-1.20365,-96.38,1.0420,0.0000
0.1417,0.7054,4.6067,0.2060,1.6418,-0.13399,-1.67452,-1.20367,-95.88,0.1962,0.0000
0.1500,0.4953,3.2163,0.0354,1.0484,-0.13399,-1.67636,-1.20385,-95.46,0.2210,0.0000
0.1583,2.5025,0.3981,0.1728,1.8240,-0.13483,-1.67728,-1.20427,-94.89,0.1495,0.0000
0.1667,5.5462,0.1785,2.3618,0.8555,-0.13624,-1.67779,-1.20445,-94.24,0.1799,0.0000
0.1750,4.9413,0.0001,0.9466,2.6182,-0.13744,-1.67714,-1.20420,-93.82,0.1636,0.0000
0.1833,4.4541,-0.0025,1.5330,1.8336,-0.13901,-1.67567,-1.20416,-93.27,0.2590,0.0000
0.1917,1.0380,-0.0043,-0.7844,0.4970,-0.14415,-1.67272,-1.20444,-92.99,0.7110,0.0000
0.2000,-0.0555,3.3149,-0.0965,2.7816,-0.15219,-1.66943,-1.20506,-93.16,1.0421,0.0000
0.2083,0.8271,0.9008,0.0273,1.4089,-0.16074,-1.66842,-1.20458,-93.44,1.0334,0.0000
