pose_idx,j2_deg,j3_deg,j4_deg,status,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j1_peak_Nm,tau_j2_peak_Nm,tau_j3_peak_Nm,tau_j4_peak_Nm,ee_x_m,ee_y_m,ee_z_m,margin_front_m,margin_back_m,margin_left_m,margin_right_m,tipping_moment_Nm,stable,worst_j1_margin_m,worst_j1_deg,ee_contact,reactor_contact,contact_force_N,contact_bodies,chassis_drift_m,arm_chassis_contact
1,0.0,-90.0,-90.0,saturated,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
2,0.0,-90.0,-60.0,timeout,0.1335,-3.6950,3.7921,-0.3643,0.1335,3.6950,3.7921,0.3643,-0.022796,0.004867,0.318186,0.094352,0.089705,0.203068,0.122319,0.0000,1,-0.101481,180.0,0,0,0.0,,0.000039,0
3,0.0,-90.0,-30.0,underground,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
4,0.0,-90.0,0.0,underground,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
5,0.0,-90.0,30.0,underground,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
6,0.0,-90.0,60.0,saturated,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
7,0.0,-90.0,90.0,saturated,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
8,0.0,-60.0,-90.0,saturated,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,nan,,,
9,0.0,-60.0,-60.0,timeout,0.1378,-3.6898,3.8118,-0.3597,0.1378,3.6898,3.8118,0.3597,-0.022758,0.004708,0.318300,0.094180,0.089601,0.202992,0.122239,0.0000,1,-0.101557,180.0,0,0,0.0,,0.000025,0
10,0.0,-60.0,-30.0,timeout,0.0722,-3.8157,3.6862,-0.4860,0.0722,3.8157,3.6862,0.4860,-0.022881,0.030173,0.272610,0.094129,0.089570,0.202996,0.122188,0.0000,1,-0.101551,180.0,0,0,0.0,,0.000007,0
