target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-90.0,0,-130.785,142.056,-101.271,0.05,-0.23194,0.7501,-2.8,-0.0,2.8,0.07735,90,True,24,24
0.05,-0.23194,-60.0,0,-138.721,141.686,-62.965,0.05,-0.23194,1.1078,-2.9765,-0.1252,2.9765,0.07576,90,True,24,24
0.05,-0.23194,-45.0,0,-141.882,140.106,-43.224,0.05,-0.23194,1.245,-3.0308,-0.177,3.0308,0.07515,90,True,24,24
0.05,-0.23194,-30.0,0,-143.979,137.811,-23.831,0.05,-0.23194,1.3403,-3.0554,-0.2168,3.0554,0.07473,90,True,24,24
0.05,-0.23194,0.0,0,-144.659,132.008,12.652,0.05,-0.23194,1.3971,-3.0362,-0.2504,3.0362,0.07448,90,True,24,24
0.05,-0.23194,30.0,0,-141.566,126.067,45.499,0.05,-0.23194,1.2891,-2.9681,-0.2168,2.9681,0.07496,90,True,24,24
0.05,-0.23194,45.0,0,-139.14,123.505,60.635,0.05,-0.23194,1.1839,-2.9265,-0.177,2.9265,0.07542,90,True,24,24
0.05,-0.20334,-90.0,0,-128.25,148.238,-109.988,0.05,-0.20334,0.6815,-2.6831,-0.0,2.6831,0.07765,90,True,24,24
0.05,-0.20334,-60.0,0,-137.63,148.078,-70.448,0.05,-0.20334,1.0823,-2.933,-0.1252,2.933,0.07587,90,True,24,24
0.05,-0.20334,-45.0,0,-141.636,146.549,-49.914,0.05,-0.20334,1.2397,-3.0217,-0.177,3.0217,0.07518,90,True,24,24
0.05,-0.20334,-30.0,0,-144.452,144.286,-29.834,0.05,-0.20334,1.35,-3.0719,-0.2168,3.0719,0.07469,90,True,24,24
0.05,-0.20334,0.0,0,-145.991,138.558,7.434,0.05,-0.20334,1.4237,-3.0815,-0.2504,3.0815,0.07436,90,True,24,24
0.05,-0.20334,30.0,0,-143.125,132.728,40.397,0.05,-0.20334,1.3225,-3.0251,-0.2168,3.0251,0.07481,90,True,24,24
0.05,-0.20334,45.0,0,-140.655,130.216,55.44,0.05,-0.20334,1.2181,-2.9849,-0.177,2.9849,0.07527,90,True,24,24
0.05,-0.20334,60.0,0,-137.801,128.146,69.655,0.05,-0.20334,1.0864,-2.9398,-0.1252,2.9398,0.07586,90,True,24,24
0.05,-0.20334,90.0,0,-131.664,125.689,95.975,0.05,-0.20334,0.7733,-2.8396,-0.0,2.8396,0.07725,90,True,24,24
0.05,-0.17474,-45.0,0,-139.972,152.989,-58.018,0.05,-0.17474,1.2028,-2.9588,-0.177,2.9588,0.07534,90,True,24,24
0.05,-0.17474,-30.0,0,-143.866,150.738,-36.871,0.05,-0.17474,1.338,-3.0514,-0.2168,3.0514,0.07474,90,True,24,24
0.05,-0.17474,0.0,0,-146.68,145.03,1.649,0.05,-0.17474,1.4371,-3.1043,-0.2504,3.1043,0.0743,90,True,24,24
0.05,-0.17474,30.0,0,-144.154,139.264,34.89,0.05,-0.17474,1.3439,-3.0615,-0.2168,3.0615,0.07471,90,True,24,24
0.05,-0.17474,45.0,0,-141.642,136.783,49.859,0.05,-0.17474,1.2398,-3.0219,-0.177,3.0219,0.07517,90,True,24,24
0.05,-0.17474,60.0,0,-138.649,134.729,63.92,0.05,-0.17474,1.1062,-2.9736,-0.1252,2.9736,0.07577,90,True,24,24
0.05,-0.17474,90.0,0,-132.012,132.22,89.791,0.05,-0.17474,0.7823,-2.8551,-0.0,2.8551,0.07721,90,True,24,24
0.05,-0.14615,0.0,0,-146.37,151.489,-5.118,0.05,-0.14615,1.4311,-3.0941,-0.2504,3.0941,0.07432,90,True,24,24
0.05,-0.14615,30.0,0,-144.431,145.729,28.702,0.05,-0.14615,1.3495,-3.0712,-0.2168,3.0712,0.07469,90,True,24,24
0.05,-0.14615,45.0,0,-141.898,143.255,43.643,0.05,-0.14615,1.2453,-3.0313,-0.177,3.0313,0.07515,90,True,24,24
0.05,-0.14615,60.0,0,-138.752,141.194,57.559,0.05,-0.14615,1.1086,-2.9777,-0.1252,2.9777,0.07576,90,True,24,24
0.05,-0.14615,90.0,0,-131.526,138.592,82.934,0.05,-0.14615,0.7696,-2.8334,-0.0,2.8334,0.07726,90,True,24,24
0.05,-0.00315,-90.0,1,81.663,-170.353,-1.31,0.05,-0.00315,-0.8533,-0.0653,-0.0,0.8533,0.07689,90,True,24,24
0.05,0.02544,-90.0,1,105.421,-164.361,-31.06,0.05,0.02544,-0.0279,-1.4731,-0.0,1.4731,0.08056,90,True,24,24
0.05,0.02544,-60.0,1,111.644,-168.997,-2.646,0.05,0.02544,0.3392,-1.6654,-0.1252,1.6654,0.07918,90,True,24,24
0.05,0.02544,-45.0,1,109.629,-172.336,17.706,0.05,0.02544,0.3395,-1.4863,-0.177,1.4863,0.07917,90,True,24,24
0.05,0.02544,-30.0,1,89.781,-178.689,58.908,0.05,0.02544,-0.292,-0.2712,-0.2168,0.292,0.07939,90,True,24,24
0.05,0.05404,-90.0,1,118.244,-158.362,-49.882,0.05,0.05404,0.3885,-2.1833,-0.0,2.1833,0.07896,90,True,24,24
0.05,0.05404,-60.0,1,127.12,-161.932,-25.188,0.05,0.05404,0.8105,-2.4693,-0.1252,2.4693,0.07708,90,True,24,24
0.05,0.05404,-45.0,1,129.747,-164.39,-10.357,0.05,0.05404,0.949,-2.526,-0.177,2.526,0.07647,90,True,24,24
0.05,0.05404,-30.0,1,130.018,-167.337,7.319,0.05,0.05404,1.0073,-2.4874,-0.2168,2.4874,0.07621,90,True,24,24
0.05,0.05404,0.0,1,108.999,-176.199,67.201,0.05,0.05404,0.4125,-1.3567,-0.2504,1.3567,0.07885,90,True,24,24
0.05,0.08264,-90.0,1,125.366,-152.316,-63.05,0.05,0.08264,0.6006,-2.545,-0.0,2.545,0.07801,90,True,24,24
0.05,0.08264,-60.0,1,134.075,-155.394,-38.682,0.05,0.08264,0.9955,-2.7849,-0.1252,2.7849,0.07626,90,True,24,24
0.05,0.08264,-45.0,1,137.363,-157.609,-24.754,0.05,0.08264,1.1424,-2.8557,-0.177,2.8557,0.07561,90,True,24,24
0.05,0.08264,-30.0,1,139.384,-160.228,-9.156,0.05,0.08264,1.2404,-2.8851,-0.2168,2.8851,0.07517,90,True,24,24
0.05,0.08264,0.0,1,136.205,-166.546,30.34,0.05,0.08264,1.2085,-2.7144,-0.2504,2.7144,0.07531,90,True,24,24
0.05,0.08264,30.0,1,109.388,-174.427,95.039,0.05,0.08264,0.3825,-1.4217,-0.2168,1.4217,0.07898,90,True,24,24
0.05,0.08264,90.0,0,4.473,173.706,-88.179,0.05,0.08264,-2.5646,2.8537,-0.0,2.8537,0.06929,90,True,24,24
0.05,0.11124,-90.0,1,129.293,-146.196,-73.097,0.05,0.11124,0.71,-2.7318,-0.0,2.7318,0.07753,90,True,24,24
0.05,0.11124,-60.0,1,137.346,-148.996,-48.35,0.05,0.11124,1.0756,-2.9215,-0.1252,2.9215,0.0759,90,True,24,24
0.05,0.11124,-45.0,1,140.652,-151.107,-34.545,0.05,0.11124,1.218,-2.9847,-0.177,2.9847,0.07527,90,True,24,24
0.05,0.11124,-30.0,1,143.092,-153.619,-19.474,0.05,0.11124,1.3218,-3.0239,-0.2168,3.0239,0.07481,90,True,24,24
0.05,0.11124,0.0,1,143.464,-159.512,16.048,0.05,0.11124,1.3726,-2.9942,-0.2504,2.9942,0.07458,90,True,24,24
0.05,0.11124,30.0,0,39.023,165.661,-174.684,0.05,0.11124,-1.8449,2.3774,-0.2168,2.3774,0.07249,90,True,24,24
0.05,0.11124,30.0,1,132.972,-165.661,62.689,0.05,0.11124,1.0849,-2.6197,-0.2168,2.6197,0.07586,90,True,24,24
0.05,0.11124,45.0,0,36.587,168.167,-159.755,0.05,0.11124,-1.9482,2.4157,-0.177,2.4157,0.07203,90,True,24,24
0.05,0.11124,45.0,1,122.237,-168.167,90.931,0.05,0.11124,0.7362,-2.1629,-0.177,2.1629,0.07741,90,True,24,24
0.05,0.11124,60.0,0,30.063,169.595,-139.658,0.05,0.11124,-2.1402,2.5635,-0.1252,2.5635,0.07117,90,True,24,24
0.05,0.11124,60.0,1,109.749,-169.595,119.846,0.05,0.11124,0.277,-1.5594,-0.1252,1.5594,0.07945,90,True,24,24
0.05,0.11124,90.0,0,6.647,167.669,-84.316,0.05,0.11124,-2.5572,2.8411,-0.0,2.8411,0.06932,90,True,24,24
0.05,0.11124,90.0,1,94.152,-167.669,163.517,0.05,0.11124,-0.4166,-0.8101,-0.0,0.8101,0.07883,90,True,24,24
0.05,0.13984,-90.0,1,131.277,-139.979,-81.298,0.05,0.13984,0.7631,-2.8222,-0.0,2.8222,0.07729,90,True,24,24
0.05,0.13984,-60.0,1,138.645,-142.609,-56.036,0.05,0.13984,1.1061,-2.9735,-0.1252,2.9735,0.07577,90,True,24,24
0.05,0.13984,-45.0,1,141.824,-144.675,-42.149,0.05,0.13984,1.2437,-3.0286,-0.177,3.0286,0.07516,90,True,24,24
0.05,0.13984,-30.0,1,144.354,-147.151,-27.204,0.05,0.13984,1.348,-3.0685,-0.2168,3.0685,0.07469,90,True,24,24
0.05,0.13984,0.0,1,146.106,-152.92,6.814,0.05,0.13984,1.426,-3.0853,-0.2504,3.0853,0.07435,90,True,24,24
0.05,0.13984,30.0,0,33.462,158.726,-162.188,0.05,0.13984,-1.9601,2.5739,-0.2168,2.5739,0.07197,90,True,24,24
