target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-60.0,0,-136.808,154.934,-78.126,0.05,-0.23194,0.8479,-7.8343,-0.6969,7.8343,0.07713,90,True,24,24
0.05,-0.23194,-45.0,0,-143.021,152.676,-54.655,0.05,-0.23194,1.124,-8.3892,-0.9856,8.3892,0.07597,90,True,24,24
0.05,-0.23194,-30.0,0,-147.282,149.556,-32.274,0.05,-0.23194,1.308,-8.7112,-1.2071,8.7112,0.0752,90,True,24,24
0.05,-0.23194,0.0,0,-149.566,142.225,7.341,0.05,-0.23194,1.4254,-8.8423,-1.3938,8.8423,0.07471,90,True,24,24
0.05,-0.23194,30.0,0,-145.906,135.229,40.677,0.05,-0.23194,1.2747,-8.5871,-1.2071,8.5871,0.07534,90,True,24,24
0.05,-0.19819,-45.0,0,-139.896,159.272,-64.376,0.05,-0.19819,1.0384,-8.0703,-0.9856,8.0703,0.07633,90,True,24,24
0.05,-0.19819,-30.0,0,-146.106,156.001,-39.895,0.05,-0.19819,1.2796,-8.6054,-1.2071,8.6054,0.07532,90,True,24,24
0.05,-0.19819,0.0,0,-150.273,148.531,1.742,0.05,-0.19819,1.441,-8.9004,-1.3938,8.9004,0.07464,90,True,24,24
0.05,-0.19819,30.0,0,-146.975,141.582,35.392,0.05,-0.19819,1.3007,-8.6839,-1.2071,8.6839,0.07523,90,True,24,24
0.05,-0.19819,45.0,0,-143.806,138.708,50.098,0.05,-0.19819,1.1446,-8.4659,-0.9856,8.4659,0.07589,90,True,24,24
0.05,-0.19819,60.0,0,-140.093,136.377,63.716,0.05,-0.19819,0.9438,-8.1911,-0.6969,8.1911,0.07673,90,True,24,24
0.05,-0.16444,0.0,0,-149.975,154.906,-4.931,0.05,-0.16444,1.4345,-8.876,-1.3938,8.876,0.07467,90,True,24,24
0.05,-0.16444,30.0,0,-147.345,147.916,29.429,0.05,-0.16444,1.3095,-8.7167,-1.2071,8.7167,0.07519,90,True,24,24
0.05,-0.16444,45.0,0,-144.103,145.055,44.048,0.05,-0.16444,1.1523,-8.4946,-0.9856,8.4946,0.07585,90,True,24,24
0.05,-0.16444,60.0,0,-140.172,142.728,57.445,0.05,-0.16444,0.946,-8.1995,-0.6969,8.1995,0.07672,90,True,24,24
0.05,0.0043,-90.0,1,90.152,-170.518,-9.635,0.05,0.0043,-1.2253,-1.2569,-0.0,1.2569,0.07555,90,True,24,24
0.05,0.03805,-90.0,1,110.836,-163.343,-37.493,0.05,0.03805,-0.3352,-4.5711,0.0,4.5711,0.07928,90,True,24,24
0.05,0.03805,-60.0,1,121.07,-167.901,-13.169,0.05,0.03805,0.311,-5.8349,-0.6969,5.8349,0.07938,90,True,24,24
0.05,0.03805,-45.0,1,122.409,-171.321,3.913,0.05,0.03805,0.4612,-5.9212,-0.9856,5.9212,0.07875,90,True,24,24
0.05,0.03805,-30.0,1,112.277,-177.355,35.078,0.05,0.03805,0.1426,-4.3717,-1.2071,4.3717,0.08009,90,True,24,24
0.05,0.07179,-90.0,1,121.24,-156.916,-54.324,0.05,0.07179,0.0755,-6.1006,-0.0,6.1006,0.08037,90,True,24,24
0.05,0.07179,-60.0,1,132.425,-160.501,-31.923,0.05,0.07179,0.7107,-7.3231,-0.6969,7.3231,0.0777,90,True,24,24
0.05,0.07179,-45.0,1,136.499,-163.123,-18.375,0.05,0.07179,0.9387,-7.6993,-0.9856,7.6993,0.07675,90,True,24,24
0.05,0.07179,-30.0,1,138.524,-166.386,-2.139,0.05,0.07179,1.0758,-7.8466,-1.2071,7.8466,0.07617,90,True,24,24
0.05,0.07179,0.0,1,113.987,-179.013,65.026,0.05,0.07179,0.2766,-4.5646,-1.3938,4.5646,0.07952,90,True,24,24
0.05,0.10554,-90.0,1,126.941,-150.694,-66.247,0.05,0.10554,0.2832,-6.8738,-0.0,6.8738,0.0795,90,True,24,24
0.05,0.10554,-60.0,1,137.386,-153.858,-43.528,0.05,0.10554,0.8652,-7.8987,-0.6969,7.8987,0.07706,90,True,24,24
0.05,0.10554,-45.0,1,141.653,-156.277,-30.376,0.05,0.10554,1.0873,-8.2523,-0.9856,8.2523,0.07613,90,True,24,24
0.05,0.10554,-30.0,1,144.733,-159.238,-15.495,0.05,0.10554,1.2453,-8.4777,-1.2071,8.4777,0.07546,90,True,24,24
0.05,0.10554,0.0,1,143.285,-166.927,23.642,0.05,0.10554,1.2727,-8.2735,-1.3938,8.2735,0.07535,90,True,24,24
0.05,0.13929,-90.0,1,130.044,-144.518,-75.526,0.05,0.13929,0.39,-7.2716,-0.0,7.2716,0.07905,90,True,24,24
0.05,0.13929,-60.0,1,139.571,-147.453,-52.118,0.05,0.13929,0.929,-8.136,-0.6969,8.136,0.07679,90,True,24,24
0.05,0.13929,-45.0,1,143.67,-149.799,-38.87,0.05,0.13929,1.1411,-8.4527,-0.9856,8.4527,0.0759,90,True,24,24
0.05,0.13929,-30.0,1,146.924,-152.675,-24.249,0.05,0.13929,1.2995,-8.6793,-1.2071,8.6793,0.07524,90,True,24,24
0.05,0.13929,0.0,1,148.596,-159.802,11.207,0.05,0.13929,1.4035,-8.7606,-1.3938,8.7606,0.0748,90,True,24,24
0.05,0.13929,30.0,1,135.479,-168.468,62.988,0.05,0.13929,0.9844,-7.5064,-1.2071,7.5064,0.07656,90,True,24,24
0.05,0.13929,45.0,1,116.491,-173.477,101.986,0.05,0.13929,0.2346,-5.0774,-0.9856,5.0774,0.0797,90,True,24,24
0.05,0.13929,90.0,0,34.85,175.634,-120.484,0.05,0.13929,-3.3009,6.4719,-0.0,6.4719,0.06685,90,True,24,24
0.05,0.17304,-90.0,1,131.544,-138.312,-83.232,0.05,0.17304,0.44,-7.4577,-0.0,7.4577,0.07884,90,True,24,24
0.05,0.17304,-60.0,1,140.235,-141.113,-59.121,0.05,0.17304,0.9478,-8.206,-0.6969,8.206,0.07671,90,True,24,24
0.05,0.17304,-45.0,1,144.109,-143.44,-45.669,0.05,0.17304,1.1525,-8.4951,-0.9856,8.4951,0.07585,90,True,24,24
0.05,0.17304,-30.0,1,147.335,-146.3,-31.035,0.05,0.17304,1.3093,-8.7159,-1.2071,8.7159,0.07519,90,True,24,24
0.05,0.17304,0.0,1,150.182,-153.269,3.087,0.05,0.17304,1.439,-8.893,-1.3938,8.893,0.07465,90,True,24,24
0.05,0.17304,30.0,1,143.678,-160.997,47.319,0.05,0.17304,1.2182,-8.3766,-1.2071,8.3766,0.07558,90,True,24,24
0.05,0.17304,45.0,0,48.894,164.537,-168.431,0.05,0.17304,-2.5475,5.2819,-0.9856,5.2819,0.07,90,True,24,24
0.05,0.17304,45.0,1,134.837,-164.537,74.7,0.05,0.17304,0.8877,-7.5091,-0.9856,7.5091,0.07696,90,True,24,24
0.05,0.17304,60.0,0,44.741,167.175,-151.916,0.05,0.17304,-2.7808,5.6778,-0.6969,5.6778,0.06903,90,True,24,24
0.05,0.17304,60.0,1,122.572,-167.175,104.602,0.05,0.17304,0.3671,-6.044,-0.6969,6.044,0.07914,90,True,24,24
0.05,0.17304,90.0,0,23.251,166.871,-100.122,0.05,0.17304,-3.5483,7.3931,-0.0,7.3931,0.06581,90,True,24,24
0.05,0.17304,90.0,1,102.132,-166.871,154.738,0.05,0.17304,-0.7021,-3.205,-0.0,3.205,0.07774,90,True,24,24
0.05,0.20679,-90.0,1,131.972,-132.024,-89.948,0.05,0.20679,0.4541,-7.51,-0.0,7.51,0.07878,90,True,24,24
0.05,0.20679,-60.0,1,139.949,-134.75,-65.199,0.05,0.20679,0.9397,-8.176,-0.6969,8.176,0.07674,90,True,24,24
