pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged,filter_status,filter_chassis,filter_self_L4_L2,filter_self_L4_J1,filter_floor,filter_converged,filter_tipping,tip_worst_margin_m,tip_worst_j1_deg,tip_j1_stable_count,tip_cg_x_m,tip_cg_y_m
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.004,-29.550,-169.804,-149.999,0.450,0.0992,-7.6672,-2.9376,-0.2459,-7.6362,-2.9295,-0.2466,0.384375,0.069103,0.498678,0.263965,-0.152400,0.502646,-0.239273,0.552675,-0.230452,-0.217,-0.042,True,chassis_collision,True,False,False,False,True,False,,,,,
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.005,-29.552,-169.885,-119.999,0.448,0.0395,-7.6438,-2.8961,-0.1888,-7.5814,-2.8747,-0.1918,0.377547,0.081554,0.475519,0.263965,-0.152400,0.502646,-0.239273,0.541562,-0.206620,-0.150,-0.032,True,chassis_collision,True,False,False,False,True,False,,,,,
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.005,-29.579,-169.955,-90.000,0.421,-0.0485,-7.5374,-2.7860,-0.0753,-7.4752,-2.7686,-0.0856,0.360807,0.087439,0.461164,0.263965,-0.152400,0.502646,-0.239273,0.520021,-0.191537,-0.154,-0.038,True,chassis_collision,True,False,False,False,True,False,,,,,
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.005,-29.577,-170.005,-60.000,0.423,0.0015,-7.3506,-2.6357,0.0448,-7.3461,-2.6394,0.0435,0.344442,0.094008,0.459231,0.263965,-0.152400,0.502646,-0.239273,0.493825,-0.189245,-0.273,-0.101,True,chassis_collision,True,False,False,False,True,False,,,,,
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.005,-29.589,-169.989,-30.000,0.411,0.0706,-7.2199,-2.5146,0.1613,-7.2287,-2.5220,0.1609,0.326568,0.103645,0.470355,0.263965,-0.152400,0.502646,-0.239273,0.469993,-0.200358,-0.220,-0.106,True,chassis_collision,True,False,False,False,True,False,,,,,
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.003,-29.581,-169.934,-0.001,0.419,0.2624,-7.2446,-2.4774,0.2378,-7.1543,-2.4476,0.2353,0.319608,0.111711,0.492062,0.263965,-0.152400,0.502646,-0.239273,0.454910,-0.221898,-0.166,-0.041,True,chassis_collision,True,False,False,False,True,False,,,,,
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.006,-29.555,-169.937,29.999,0.445,0.1679,-7.0928,-2.4155,0.2433,-7.1430,-2.4364,0.2466,0.324448,0.123076,0.518282,0.263965,-0.152400,0.502646,-0.239273,0.452618,-0.248094,-0.143,-0.059,True,chassis_collision,True,False,False,False,True,False,,,,,
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.005,-29.587,-169.983,60.000,0.413,-0.0822,-7.3366,-2.5389,0.1932,-7.1978,-2.4911,0.1918,0.339392,0.135201,0.542409,0.263965,-0.152400,0.502646,-0.239273,0.463731,-0.271927,-0.107,-0.037,True,floor_collision,False,False,False,True,True,False,,,,,
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.006,-29.580,-170.000,90.000,0.420,-0.0292,-7.3419,-2.6103,0.0822,-7.3040,-2.5973,0.0856,0.364029,0.158518,0.556904,0.263965,-0.152400,0.502646,-0.239273,0.485272,-0.287010,-0.142,-0.104,True,floor_collision,False,False,False,True,True,False,,,,,
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.006,-29.568,-169.977,120.000,0.432,-0.0510,-7.4953,-2.7440,-0.0449,-7.4331,-2.7264,-0.0435,0.394536,0.184435,0.558798,0.263965,-0.152400,0.502646,-0.239273,0.511468,-0.289301,-0.194,-0.134,True,floor_collision,False,False,False,True,True,False,,,,,
