pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,0.009,-30.978,-170.673,-150.002,0.978,-0.0008,14.9010,6.7377,0.9205,-15.0152,-6.7842,-0.9145,0.380571,0.429427,-0.385339,0.263965,-0.152400,0.502646,-0.239273,0.552675,-0.230452,180.000,0.000,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,0.008,-30.976,-170.366,-120.003,0.976,-0.0001,14.7088,6.5511,0.7260,-14.8120,-6.5810,-0.7114,0.370484,0.429752,-0.359718,0.263965,-0.152400,0.502646,-0.239273,0.541562,-0.206620,180.000,0.000,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,0.008,-30.948,-170.131,-90.001,0.948,-0.0004,14.3265,6.1682,0.3343,-14.4182,-6.1873,-0.3176,0.349594,0.430417,-0.342833,0.263965,-0.152400,0.502646,-0.239273,0.520021,-0.191537,180.000,0.000,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,0.008,-30.871,-169.974,-60.000,0.871,-0.0008,13.8841,5.7047,-0.1487,-13.9394,-5.7084,0.1613,0.323849,0.431235,-0.338724,0.263965,-0.152400,0.502646,-0.239273,0.493825,-0.189245,180.000,0.000,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,0.009,-30.830,-169.974,-29.999,0.830,-0.0009,13.4467,5.2652,-0.5886,-13.5037,-5.2728,0.5969,0.300014,0.431985,-0.349157,0.263965,-0.152400,0.502646,-0.239273,0.469993,-0.200358,180.000,0.000,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,0.010,-30.804,-170.223,0.002,0.804,-0.0009,13.1629,4.9775,-0.8691,-13.2280,-4.9970,0.8726,0.284429,0.432471,-0.371105,0.263965,-0.152400,0.502646,-0.239273,0.454910,-0.221898,180.000,0.000,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,0.010,-30.812,-170.170,30.002,0.812,-0.0009,13.1141,4.9293,-0.9191,-13.1861,-4.9551,0.9145,0.281730,0.432557,-0.397144,0.263965,-0.152400,0.502646,-0.239273,0.452618,-0.248094,180.000,0.000,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,0.010,-30.833,-170.031,60.002,0.833,0.0000,13.3133,5.1311,-0.7210,-13.3893,-5.1583,0.7114,0.292626,0.432212,-0.420851,0.263965,-0.152400,0.502646,-0.239273,0.463731,-0.271927,180.000,0.000,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,0.010,-30.900,-169.996,90.001,0.900,-0.0008,13.6689,5.5083,-0.3313,-13.7830,-5.5521,0.3176,0.313639,0.431540,-0.436726,0.263965,-0.152400,0.502646,-0.239273,0.485272,-0.287010,180.000,0.000,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,0.010,-30.933,-170.037,120.000,0.933,-0.0007,14.1411,5.9830,0.1459,-14.2619,-6.0309,-0.1613,0.339509,0.430719,-0.439896,0.263965,-0.152400,0.502646,-0.239273,0.511468,-0.289301,180.000,0.000,True
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,0.010,-30.951,-170.228,149.999,0.951,-0.0000,14.5759,6.4151,0.5830,-14.6975,-6.4666,-0.5969,0.362996,0.429975,-0.430233,0.263965,-0.152400,0.502646,-0.239273,0.535300,-0.278188,180.000,0.000,True
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,0.006,-30.739,-150.726,-150.002,0.739,0.0002,15.2466,7.0692,0.8170,-15.2816,-7.0506,-0.8042,0.393409,0.429042,-0.280145,0.263965,-0.152400,0.517965,-0.152400,0.561959,-0.127000,180.000,0.000,True
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,0.006,-30.813,-150.333,-120.002,0.813,-0.0001,14.8990,6.7310,0.4809,-14.9417,-6.7107,-0.4643,0.374894,0.429632,-0.259877,0.263965,-0.152400,0.517965,-0.152400,0.543365,-0.108406,180.000,0.000,True
13,-30.0,-150.0,-90.0,-30.0,30.0,90.0,0.006,-30.770,-150.017,-90.000,0.770,-0.0003,14.4577,6.2726,0.0126,-14.4773,-6.2464,-0.0000,0.349482,0.430441,-0.250724,0.263965,-0.152400,0.517965,-0.152400,0.517965,-0.101600,180.000,0.000,True
14,-30.0,-150.0,-60.0,-30.0,30.0,120.0,0.006,-30.712,-149.869,-59.999,0.712,-0.0003,13.9873,5.8003,-0.4572,-14.0130,-5.7821,0.4643,0.324012,0.431246,-0.256108,0.263965,-0.152400,0.517965,-0.152400,0.492565,-0.108406,180.000,0.000,True
15,-30.0,-150.0,-30.0,-30.0,30.0,150.0,0.007,-30.609,-149.957,-29.998,0.609,-0.0004,13.6494,5.4552,-0.8010,-13.6731,-5.4422,0.8042,0.305512,0.431827,-0.273991,0.263965,-0.152400,0.517965,-0.152400,0.473970,-0.127000,180.000,0.000,True
16,-30.0,-150.0,0.0,-30.0,30.0,-180.0,0.008,-30.528,-150.305,0.002,0.528,-0.0005,13.5290,5.3271,-0.9302,-13.5487,-5.3177,0.9286,0.298668,0.432039,-0.299891,0.263965,-0.152400,0.517965,-0.152400,0.467165,-0.152400,180.000,0.000,True
17,-30.0,-150.0,30.0,-30.0,30.0,-150.0,0.008,-30.619,-150.320,30.002,0.619,-0.0005,13.6428,5.4458,-0.8132,-13.6731,-5.4422,0.8042,0.304804,0.431842,-0.326194,0.263965,-0.152400,0.517965,-0.152400,0.473970,-0.177800,180.000,0.000,True
18,-30.0,-150.0,60.0,-30.0,30.0,-120.0,0.008,-30.720,-150.134,60.001,0.720,-0.0007,13.9728,5.7830,-0.4768,-14.0130,-5.7821,0.4643,0.322885,0.431269,-0.345202,0.263965,-0.152400,0.517965,-0.152400,0.492565,-0.196394,180.000,0.000,True
19,-30.0,-150.0,90.0,-30.0,30.0,-90.0,0.007,-30.769,-150.014,90.000,0.769,-0.0005,14.4344,6.2481,-0.0121,-14.4773,-6.2464,-0.0000,0.348099,0.430470,-0.352302,0.263965,-0.152400,0.517965,-0.152400,0.517965,-0.203200,180.000,0.000,True
20,-30.0,-150.0,120.0,-30.0,30.0,-60.0,0.007,-30.769,-149.978,119.999,0.769,-0.0006,14.9022,6.7157,0.4553,-14.9417,-6.7107,-0.4643,0.373607,0.429663,-0.345663,0.263965,-0.152400,0.517965,-0.152400,0.543365,-0.196394,180.000,0.000,True
21,-30.0,-150.0,150.0,-30.0,30.0,-30.0,0.007,-30.695,-150.147,149.998,0.695,-0.0006,15.2531,7.0603,0.7995,-15.2816,-7.0506,-0.8042,0.392580,0.429063,-0.327473,0.263965,-0.152400,0.517965,-0.152400,0.561959,-0.177800,180.000,0.000,True
22,-30.0,-130.0,-150.0,-30.0,50.0,30.0,0.004,-30.440,-130.497,-150.001,0.497,0.0001,14.7339,6.5263,0.6101,-14.6975,-6.4666,-0.5969,0.369031,0.429836,-0.175189,0.263965,-0.152400,0.502646,-0.065527,0.535300,-0.026612,180.000,0.000,True
23,-30.0,-130.0,-120.0,-30.0,50.0,60.0,0.004,-30.546,-130.119,-120.000,0.546,0.0001,14.2746,6.0766,0.1724,-14.2619,-6.0309,-0.1613,0.344482,0.430615,-0.162999,0.263965,-0.152400,0.502646,-0.065527,0.511468,-0.015499,180.000,0.000,True
24,-30.0,-130.0,-90.0,-30.0,50.0,90.0,0.004,-30.558,-129.879,-89.999,0.558,-0.0003,13.7781,5.5824,-0.3114,-13.7830,-5.5521,0.3176,0.317717,0.431462,-0.164170,0.263965,-0.152400,0.502646,-0.065527,0.485272,-0.017790,180.000,0.000,True
25,-30.0,-130.0,-60.0,-30.0,50.0,120.0,0.005,-30.499,-129.841,-59.999,0.499,-0.0003,13.3789,5.1799,-0.7087,-13.3893,-5.1583,0.7114,0.296035,0.432146,-0.178482,0.263965,-0.152400,0.502646,-0.065527,0.463731,-0.032873,-180.000,0.000,True
26,-30.0,-130.0,-30.0,-30.0,50.0,150.0,0.005,-30.376,-130.033,-29.998,0.376,-0.0002,13.1841,4.9763,-0.9143,-13.1861,-4.9551,0.9145,0.285227,0.432485,-0.201917,0.263965,-0.152400,0.502646,-0.065527,0.452618,-0.056706,180.000,0.000,True
27,-30.0,-130.0,0.0,-30.0,50.0,-180.0,0.006,-30.287,-130.325,0.002,0.325,-0.0001,13.2397,5.0229,-0.8771,-13.2280,-4.9970,0.8726,0.287810,0.432399,-0.228394,0.263965,-0.152400,0.502646,-0.065527,0.454910,-0.082902,180.000,0.000,True
28,-30.0,-130.0,30.0,-30.0,50.0,-150.0,0.006,-30.393,-130.281,30.001,0.393,-0.0002,13.5055,5.2966,-0.6060,-13.5037,-5.2728,0.5969,0.302422,0.431934,-0.250801,0.263965,-0.152400,0.502646,-0.065527,0.469993,-0.104442,180.000,0.000,True
29,-30.0,-130.0,60.0,-30.0,50.0,-120.0,0.006,-30.530,-130.071,60.001,0.530,-0.0001,13.9291,5.7297,-0.1709,-13.9394,-5.7084,0.1613,0.325701,0.431196,-0.262516,0.263965,-0.152400,0.502646,-0.065527,0.493825,-0.115555,180.000,0.000,True
30,-30.0,-130.0,90.0,-30.0,50.0,-90.0,0.005,-30.590,-129.936,89.999,0.590,-0.0004,14.4035,6.2084,0.3103,-14.4182,-6.1873,-0.3176,0.351695,0.430373,-0.260445,0.263965,-0.152400,0.502646,-0.065527,0.520021,-0.113263,180.000,0.000,True
31,-30.0,-130.0,120.0,-30.0,50.0,-60.0,0.005,-30.565,-129.932,119.998,0.565,-0.0003,14.8012,6.6043,0.7074,-14.8120,-6.5810,-0.7114,0.373403,0.429688,-0.245303,0.263965,-0.152400,0.502646,-0.065527,0.541562,-0.098180,180.000,0.000,True
