pose_idx,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,converged
0,-30.0,-170.0,-150.0,-30.0,10.0,30.0,-0.006,-29.645,-169.840,-149.999,0.355,7.2638,-18.9490,-7.6396,-0.8818,-11.2918,-4.5579,-0.4955,0.642057,0.027213,0.596638,0.373950,-0.215900,0.731973,-0.346210,0.832029,-0.328567,-0.026,-0.002,True
1,-30.0,-170.0,-120.0,-30.0,10.0,60.0,-0.003,-29.653,-169.904,-119.999,0.347,-0.0142,-11.1851,-4.4367,-0.3821,-11.1818,-4.4478,-0.3854,0.628710,0.039005,0.548950,0.373950,-0.215900,0.731973,-0.346210,0.809803,-0.280902,-0.162,-0.022,True
2,-30.0,-170.0,-90.0,-30.0,10.0,90.0,-0.003,-29.663,-169.964,-90.000,0.337,0.0735,-10.9755,-4.2282,-0.1599,-10.9684,-4.2345,-0.1721,0.597416,0.056480,0.519568,0.373950,-0.215900,0.731973,-0.346210,0.766722,-0.250737,-0.162,-0.030,True
3,-30.0,-170.0,-60.0,-30.0,10.0,120.0,-0.003,-29.676,-170.000,-60.000,0.324,-0.1379,-10.6748,-3.9554,0.0932,-10.7090,-3.9750,0.0874,0.552170,0.072117,0.515841,0.373950,-0.215900,0.731973,-0.346210,0.714330,-0.246153,-0.157,-0.052,True
4,-30.0,-170.0,-30.0,-30.0,10.0,150.0,-0.006,-29.708,-169.998,-30.001,0.292,12.4266,0.7329,0.5021,-0.2159,-10.4729,-3.7390,0.3234,0.507591,0.072270,0.538797,0.373950,-0.215900,0.731973,-0.346210,0.666665,-0.268380,-0.045,0.019,True
5,-30.0,-170.0,0.0,-30.0,10.0,-180.0,-0.003,-29.711,-169.970,-0.001,0.289,4.6382,-5.7554,-1.8872,0.2630,-10.3235,-3.5896,0.4728,0.478777,0.069716,0.582200,0.373950,-0.215900,0.731973,-0.346210,0.636500,-0.311460,-0.047,0.007,True
6,-30.0,-170.0,30.0,-30.0,10.0,-150.0,-0.004,-29.694,-169.971,29.999,0.306,-0.0890,-10.2838,-3.5554,0.4936,-10.3008,-3.5669,0.4955,0.487562,0.088459,0.633644,0.373950,-0.215900,0.731973,-0.346210,0.631916,-0.363852,-0.353,-0.097,True
7,-30.0,-170.0,60.0,-30.0,10.0,-120.0,-0.004,-29.685,-169.993,59.999,0.315,0.0281,-10.3803,-3.6661,0.3796,-10.4109,-3.6770,0.3854,0.520936,0.113304,0.681344,0.373950,-0.215900,0.731973,-0.346210,0.654143,-0.411517,-0.383,-0.099,True
8,-30.0,-170.0,90.0,-30.0,10.0,-90.0,-0.004,-29.672,-169.998,90.000,0.328,-0.0584,-10.6946,-3.9141,0.1690,-10.6242,-3.8903,0.1721,0.569382,0.146908,0.711223,0.373950,-0.215900,0.731973,-0.346210,0.697223,-0.441682,-0.216,-0.081,True
9,-30.0,-170.0,120.0,-30.0,10.0,-60.0,-0.004,-29.660,-169.973,120.000,0.340,0.2919,-10.9064,-4.1519,-0.0887,-10.8837,-4.1497,-0.0874,0.625678,0.180488,0.715282,0.373950,-0.215900,0.731973,-0.346210,0.749615,-0.446266,-0.103,-0.073,True
10,-30.0,-170.0,150.0,-30.0,10.0,-30.0,-0.006,-29.674,-169.922,150.001,0.326,-0.1562,-11.2598,-4.4464,-0.3334,-11.1197,-4.3858,-0.3234,0.679095,0.209106,0.692562,0.373950,-0.215900,0.731973,-0.346210,0.797280,-0.424040,-0.116,-0.036,True
11,-30.0,-150.0,-150.0,-30.0,30.0,30.0,-0.003,-29.727,-149.855,-149.999,0.273,0.0479,-11.7423,-4.8428,-0.4388,-11.4928,-4.7588,-0.4357,0.726480,0.238794,0.433484,0.373950,-0.215900,0.754950,-0.215900,0.842938,-0.165100,-0.097,-0.016,True
12,-30.0,-150.0,-120.0,-30.0,30.0,60.0,-0.002,-29.696,-149.922,-119.999,0.304,0.0041,-11.2429,-4.5331,-0.2460,-11.3086,-4.5747,-0.2516,0.695627,0.241112,0.397074,0.373950,-0.215900,0.754950,-0.215900,0.805750,-0.127912,-0.131,-0.066,True
13,-30.0,-150.0,-90.0,-30.0,30.0,90.0,-0.004,-29.696,-149.993,-90.000,0.304,-0.2053,-10.9499,-4.2622,0.0051,-11.0570,-4.3231,-0.0000,0.652418,0.245896,0.384056,0.373950,-0.215900,0.754950,-0.215900,0.754950,-0.114300,-0.217,-0.101,True
14,-30.0,-150.0,-60.0,-30.0,30.0,120.0,-0.003,-29.729,-150.023,-60.001,0.271,0.0680,-10.8123,-4.0616,0.2541,-10.8055,-4.0715,0.2516,0.612611,0.246457,0.398305,0.373950,-0.215900,0.754950,-0.215900,0.704150,-0.127912,-0.217,-0.097,True
15,-30.0,-150.0,-30.0,-30.0,30.0,150.0,-0.003,-29.735,-150.001,-30.001,0.265,-0.0282,-10.5236,-3.8460,0.4316,-10.6213,-3.8874,0.4357,0.583828,0.251517,0.435829,0.373950,-0.215900,0.754950,-0.215900,0.666962,-0.165100,-0.209,-0.108,True
16,-30.0,-150.0,0.0,-30.0,30.0,-180.0,-0.002,-29.764,-149.953,-0.001,0.236,0.0774,-10.6250,-3.8312,0.5040,-10.5539,-3.8200,0.5031,0.575740,0.264529,0.486570,0.373950,-0.215900,0.754950,-0.215900,0.653350,-0.215900,-0.173,-0.082,True
17,-30.0,-150.0,30.0,-30.0,30.0,-150.0,-0.006,-29.727,-149.944,29.999,0.273,-0.1142,-10.3933,-3.7987,0.4278,-10.6213,-3.8874,0.4357,0.594323,0.289529,0.537102,0.373950,-0.215900,0.754950,-0.215900,0.666962,-0.266700,-0.223,-0.133,True
18,-30.0,-150.0,60.0,-30.0,30.0,-120.0,-0.005,-29.708,-149.973,59.999,0.292,-0.1017,-10.6377,-4.0004,0.2456,-10.8055,-4.0715,0.2516,0.633034,0.326849,0.574045,0.373950,-0.215900,0.754950,-0.215900,0.704150,-0.303888,-0.175,-0.102,True
19,-30.0,-150.0,90.0,-30.0,30.0,-90.0,-0.001,-29.718,-149.990,90.000,0.282,0.3884,-11.1075,-4.3327,-0.0067,-11.0570,-4.3231,-0.0000,0.677154,0.373896,0.587272,0.373950,-0.215900,0.754950,-0.215900,0.754950,-0.317500,-0.129,-0.103,True
20,-30.0,-150.0,120.0,-30.0,30.0,-60.0,-0.003,-29.713,-149.980,120.001,0.287,-0.1089,-11.4576,-4.6257,-0.2582,-11.3086,-4.5747,-0.2516,0.721507,0.421628,0.573379,0.373950,-0.215900,0.754950,-0.215900,0.805750,-0.303888,-0.198,-0.124,True
21,-30.0,-150.0,150.0,-30.0,30.0,-30.0,-0.002,-29.722,-149.926,150.001,0.278,-0.1935,-11.5207,-4.7602,-0.4360,-11.4928,-4.7588,-0.4357,0.750781,0.461517,0.535714,0.373950,-0.215900,0.754950,-0.215900,0.842938,-0.266700,-0.133,-0.135,True
22,-30.0,-130.0,-150.0,-30.0,50.0,30.0,-0.002,-29.814,-129.896,-149.999,0.186,0.0422,-11.1287,-4.3674,-0.3197,-11.1197,-4.3858,-0.3234,0.719513,0.441169,0.278190,0.373950,-0.215900,0.731973,-0.085590,0.797280,-0.007760,-0.010,-0.058,True
23,-30.0,-130.0,-120.0,-30.0,50.0,60.0,-0.001,-29.794,-129.966,-120.000,0.206,-0.0307,-11.1406,-4.2215,-0.0823,-10.8837,-4.1497,-0.0874,0.680790,0.423033,0.256763,0.373950,-0.215900,0.731973,-0.085590,0.749615,0.014466,-0.117,-0.054,True
24,-30.0,-130.0,-90.0,-30.0,50.0,90.0,-0.001,-29.801,-130.021,-90.000,0.199,0.0227,-10.8149,-3.9468,0.1776,-10.6242,-3.8903,0.1721,0.637286,0.412218,0.261372,0.373950,-0.215900,0.731973,-0.085590,0.697223,0.009882,-0.138,-0.145,True
25,-30.0,-130.0,-60.0,-30.0,50.0,120.0,-0.002,-29.816,-130.028,-60.001,0.184,-0.0230,-10.4897,-3.7025,0.3886,-10.4109,-3.6770,0.3854,0.607904,0.400622,0.292095,0.373950,-0.215900,0.731973,-0.085590,0.654143,-0.020283,-0.112,-0.116,True
26,-30.0,-130.0,-30.0,-30.0,50.0,150.0,-0.001,-29.826,-129.988,-30.001,0.174,-0.0302,-10.1250,-3.4960,0.4872,-10.3008,-3.5669,0.4955,0.591059,0.395386,0.339900,0.373950,-0.215900,0.731973,-0.085590,0.631916,-0.067948,-0.059,-0.076,True
27,-30.0,-130.0,0.0,-30.0,50.0,-180.0,-0.001,-29.856,-129.947,-0.001,0.144,-0.2835,-9.3869,-3.1348,0.4176,-10.3235,-3.5896,0.4728,0.594409,0.398646,0.392644,0.373950,-0.215900,0.731973,-0.085590,0.636500,-0.120340,-0.029,-0.002,True
28,-30.0,-130.0,30.0,-30.0,50.0,-150.0,-0.001,-29.844,-129.952,29.999,0.156,0.5171,-9.1827,-3.2128,0.2796,-10.4729,-3.7390,0.3234,0.617472,0.418506,0.435490,0.373950,-0.215900,0.731973,-0.085590,0.666665,-0.163420,-0.023,-0.000,True
29,-30.0,-130.0,60.0,-30.0,50.0,-120.0,-0.001,-29.820,-129.983,60.000,0.180,-0.8954,-8.9712,-3.2784,0.0849,-10.7090,-3.9750,0.0874,0.653996,0.449790,0.457409,0.373950,-0.215900,0.731973,-0.085590,0.714330,-0.185647,-0.018,0.001,True
30,-30.0,-130.0,90.0,-30.0,50.0,-90.0,-0.001,-29.806,-130.001,90.000,0.194,-0.7601,-9.0796,-3.4650,-0.1267,-10.9684,-4.2345,-0.1721,0.693674,0.484327,0.452573,0.373950,-0.215900,0.731973,-0.085590,0.766722,-0.181063,-0.016,0.002,True
31,-30.0,-130.0,120.0,-30.0,50.0,-60.0,-0.002,-29.796,-129.988,120.001,0.204,4.8124,-14.4194,-5.9312,-0.4613,-11.1818,-4.4478,-0.3854,0.725862,0.513192,0.422097,0.373950,-0.215900,0.731973,-0.085590,0.809803,-0.150898,-0.019,-0.007,True
32,-30.0,-130.0,150.0,-30.0,50.0,-30.0,-0.001,-29.819,-129.934,150.001,0.181,-3.8719,-11.5042,-4.6810,-0.5040,-11.2918,-4.5579,-0.4955,0.742867,0.527993,0.374254,0.373950,-0.215900,0.731973,-0.085590,0.832029,-0.103233,0.001,0.010,True
33,-30.0,-110.0,-150.0,-30.0,70.0,30.0,0.000,-29.892,-109.950,-150.000,0.108,-5.2659,-15.6500,-5.2897,-0.2663,-10.2177,-3.4838,-0.1721,0.643003,0.441792,0.148039,0.373950,-0.215900,0.665813,0.029002,0.700562,0.124475,0.029,0.015,True
34,-30.0,-110.0,-120.0,-30.0,70.0,60.0,-0.001,-29.872,-110.010,-120.000,0.128,-0.9342,-17.9561,-5.9182,0.1241,-9.9583,-3.2243,0.0874,0.603674,0.408233,0.143471,0.373950,-0.215900,0.665813,0.029002,0.648170,0.129059,0.058,-0.027,True
35,-30.0,-110.0,-90.0,-30.0,70.0,90.0,-0.001,-29.871,-110.036,-90.001,0.129,1.8214,-15.4756,-4.9691,0.4932,-9.7222,-2.9883,0.3234,0.567897,0.378154,0.166062,0.373950,-0.215900,0.665813,0.029002,0.600505,0.106832,-0.006,-0.005,True
36,-30.0,-110.0,-60.0,-30.0,70.0,120.0,-0.001,-29.875,-110.021,-60.001,0.125,-3.7066,-20.5536,-6.0554,1.0147,-9.5728,-2.8389,0.4728,0.546250,0.358416,0.209170,0.373950,-0.215900,0.665813,0.029002,0.570340,0.063751,0.053,-0.018,True
37,-30.0,-110.0,-30.0,-30.0,70.0,150.0,-0.001,-29.907,-109.979,-30.001,0.093,1.5654,-11.2762,-3.3930,0.5925,-9.5501,-2.8162,0.4955,0.542194,0.357471,0.261711,0.373950,-0.215900,0.665813,0.029002,0.565756,0.011359,0.003,-0.001,True
38,-30.0,-110.0,0.0,-30.0,70.0,-180.0,-0.002,-29.912,-109.951,-0.001,0.088,0.0334,-9.7338,-2.9529,0.3891,-9.6602,-2.9263,0.3854,0.563561,0.386075,0.309068,0.373950,-0.215900,0.665813,0.029002,0.587983,-0.036305,-0.107,-0.091,True
39,-30.0,-110.0,30.0,-30.0,70.0,-150.0,-0.001,-29.893,-109.971,30.000,0.107,-0.0472,-9.9791,-3.1633,0.1724,-9.8735,-3.1396,0.1721,0.596215,0.426618,0.339358,0.373950,-0.215900,0.665813,0.029002,0.631063,-0.066471,-0.126,-0.082,True
40,-30.0,-110.0,60.0,-30.0,70.0,-120.0,-0.001,-29.869,-110.003,60.000,0.131,0.0286,-10.1673,-3.4057,-0.0865,-10.1330,-3.3991,-0.0874,0.635648,0.478987,0.343178,0.373950,-0.215900,0.665813,0.029002,0.683455,-0.071054,-0.119,-0.188,True
41,-30.0,-110.0,90.0,-30.0,70.0,-90.0,-0.002,-29.850,-110.013,90.001,0.150,-0.0697,-10.3603,-3.6255,-0.3238,-10.3690,-3.6351,-0.3234,0.668462,0.519093,0.321086,0.373950,-0.215900,0.665813,0.029002,0.731120,-0.048828,-0.019,-0.017,True
42,-30.0,-110.0,120.0,-30.0,70.0,-60.0,-0.001,-29.862,-109.986,120.001,0.138,0.0646,-10.5232,-3.7962,-0.4642,-10.5184,-3.7845,-0.4728,0.694422,0.541796,0.277925,0.373950,-0.215900,0.665813,0.029002,0.761285,-0.005747,-0.012,0.006,True
43,-30.0,-110.0,150.0,-30.0,70.0,-30.0,-0.001,-29.886,-109.936,150.001,0.114,0.0055,-10.7799,-3.8672,-0.5099,-10.5411,-3.8072,-0.4955,0.697245,0.554839,0.225356,0.373950,-0.215900,0.665813,0.029002,0.765869,0.046645,-0.071,-0.042,True
44,-30.0,-90.0,-150.0,-30.0,90.0,30.0,-0.001,-29.939,-89.995,-150.000,0.061,0.0067,-8.9278,-2.1623,0.0011,-8.8955,-2.1615,-0.0000,0.561002,0.413322,0.057656,0.373950,-0.215900,0.564450,0.114056,0.564450,0.215656,-0.054,-0.084,True
45,-30.0,-90.0,-120.0,-30.0,90.0,60.0,-0.001,-29.915,-90.040,-120.001,0.085,0.0383,-8.5596,-1.8858,0.2504,-8.6439,-1.9100,0.2516,0.528503,0.378827,0.071641,0.373950,-0.215900,0.564450,0.114056,0.513650,0.202044,-0.020,0.028,True
46,-30.0,-90.0,-90.0,-30.0,90.0,90.0,-0.001,-29.914,-90.040,-90.001,0.086,-1.8285,-5.6317,-1.4537,0.2839,-8.4598,-1.7258,0.4357,0.507083,0.352307,0.108698,0.373950,-0.215900,0.564450,0.114056,0.476462,0.164856,-0.019,0.013,True
47,-30.0,-90.0,-60.0,-30.0,90.0,120.0,-0.001,-29.928,-90.008,-60.001,0.072,0.7102,-13.0120,-3.2038,0.8211,-8.3924,-1.6584,0.5031,0.498276,0.342845,0.159430,0.373950,-0.215900,0.564450,0.114056,0.462850,0.114056,-0.001,-0.028,True
48,-30.0,-90.0,-30.0,-30.0,90.0,150.0,-0.002,-29.943,-89.972,-30.001,0.057,-0.0579,-8.3876,-1.7149,0.4336,-8.4598,-1.7258,0.4357,0.509323,0.358436,0.210143,0.373950,-0.215900,0.564450,0.114056,0.476462,0.063256,-0.081,-0.119,True
49,-30.0,-90.0,0.0,-30.0,90.0,-180.0,-0.002,-29.951,-89.964,-0.001,0.049,0.9466,-12.2616,-3.1834,0.4571,-8.6439,-1.9100,0.2516,0.534537,0.386498,0.247439,0.373950,-0.215900,0.564450,0.114056,0.513650,0.026067,0.001,-0.002,True
