sim_time,torque_FL,torque_FR,torque_BL,torque_BR,x,y,z,yaw_deg,actual_speed_mps,heading_correction_rads
0.0000,1.6429,2.3254,0.6571,3.0956,-0.00241,-1.64793,-1.20305,-91.87,0.0243,0.0000
0.0083,0.7842,0.3829,-0.0017,2.2884,-0.00547,-1.64910,-1.20280,-92.19,0.3278,0.0000
0.0167,0.7385,0.0802,0.0023,1.3660,-0.00963,-1.65007,-1.20263,-92.52,0.5120,0.0000
0.0250,1.1230,-0.3880,0.0000,1.8441,-0.01432,-1.65084,-1.20260,-92.88,0.5710,0.0000
0.0333,0.9741,-0.2161,0.0031,1.6945,-0.02048,-1.65187,-1.20263,-93.22,0.7491,0.0000
0.0417,0.5346,-1.0925,0.0021,1.0732,-0.02796,-1.65357,-1.20289,-93.58,0.9202,0.0000
0.0500,0.5043,-1.7507,0.0028,0.8449,-0.03602,-1.65553,-1.20346,-93.97,0.9951,0.0000
0.0583,0.4079,-1.9812,0.0044,0.7012,-0.04459,-1.65771,-1.20438,-94.35,1.0613,0.0000
0.0667,-0.0394,0.8067,0.0800,-0.7278,-0.05348,-1.66038,-1.20502,-94.58,1.1137,0.0000
0.0750,-0.0014,1.3023,0.0359,-0.4648,-0.05996,-1.66164,-1.20470,-94.63,0.7929,0.0000
0.0833,-0.0029,1.3203,0.1770,-0.7746,-0.06574,-1.66270,-1.20458,-94.67,0.7053,0.0000
0.0917,0.1127,0.7747,0.1771,-1.0047,-0.07136,-1.66388,-1.20466,-94.71,0.6890,0.0000
0.1000,1.7872,1.0278,0.1427,0.1771,-0.07740,-1.66534,-1.20490,-94.80,0.7458,0.0000
0.1083,1.4539,0.2987,0.0848,-0.3172,-0.08460,-1.66752,-1.20487,-94.87,0.9021,0.0000
0.1167,1.5320,0.0003,-0.1515,-0.3282,-0.09119,-1.66925,-1.20450,-94.94,0.8184,0.0000
0.1250,1.2828,-0.0002,-0.4102,0.0763,-0.09735,-1.67024,-1.20427,-95.00,0.7480,0.0000
0.1333,1.1991,0.0156,-0.2862,0.3063,-0.10333,-1.67083,-1.20419,-95.05,0.7213,0.0000
0.1417,1.1581,0.0006,-1.1703,0.3351,-0.11018,-1.67054,-1.20434,-95.01,0.8233,0.0000
0.1500,-0.1792,0.0898,2.0906,0.2993,-0.11653,-1.67061,-1.20392,-95.38,0.7614,0.0000
0.1583,-0.0600,0.1307,1.9885,0.3966,-0.12265,-1.67091,-1.20363,-95.72,0.7351,0.0000
0.1667,-0.4334,0.0402,1.8594,0.3822,-0.12902,-1.67117,-1.20353,-96.08,0.7653,0.0000
0.1750,-0.6222,0.0620,1.6272,0.3678,-0.13551,-1.67135,-1.20365,-96.43,0.7790,0.0000
0.1833,0.6940,3.0778,0.3400,0.9244,-0.14035,-1.67196,-1.20363,-96.44,0.5851,0.0000
0.1917,0.1592,4.4850,0.2202,1.3858,-0.14022,-1.67320,-1.20368,-96.11,0.1501,0.0000
0.2000,0.6260,2.6998,0.0972,1.1688,-0.14031,-1.67421,-1.20384,-95.76,0.1211,0.0000
0.2083,1.0227,3.3178,0.0382,0.9863,-0.14038,-1.67490,-1.20407,-95.43,0.0843,0.0000
0.2167,1.6701,1.3535,0.0769,-0.0406,-0.14195,-1.67547,-1.20457,-94.80,0.2002,0.0000
0.2250,6.4220,0.1693,1.8157,0.5537,-0.14300,-1.67609,-1.20452,-94.33,0.1465,0.0000
0.2333,5.3950,-0.0028,1.4576,1.4471,-0.14345,-1.67529,-1.20435,-94.00,0.1092,0.0000
0.2417,3.4504,0.0020,0.2661,1.8540,-0.14455,-1.67392,-1.20422,-93.62,0.2114,0.0000
0.2500,3.5980,0.0051,-0.4909,2.0752,-0.14693,-1.67169,-1.20422,-93.26,0.3918,0.0000
0.2583,0.6953,-0.0019,-0.6753,0.3013,-0.15200,-1.66854,-1.20442,-93.31,0.7159,0.0000
0.2667,-0.2013,0.8371,-0.7478,0.5240,-0.15811,-1.66566,-1.20492,-93.39,0.8101,0.0000
0.2750,-0.3905,0.9327,-0.0586,1.1491,-0.16474,-1.66434,-1.20476,-93.62,0.8116,0.0000
0.2833,0.7284,1.0225,0.0244,1.4975,-0.17097,-1.66405,-1.20449,-93.88,0.7486,0.0000
0.2917,0.4980,-0.0276,0.0008,1.2942,-0.17802,-1.66523,-1.20432,-94.19,0.8580,0.0000
0.3000,1.4114,2.0553,-0.0005,1.0328,-0.18329,-1.66584,-1.20437,-94.02,0.6356,0.0000
0.3083,1.5092,1.3870,-0.1334,1.0935,-0.18662,-1.66557,-1.20462,-93.57,0.4010,0.0000
0.3167,1.5899,3.2788,0.3464,1.1740,-0.19049,-1.66577,-1.20443,-93.35,0.4656,0.0000
0.3250,1.5203,3.4289,0.0213,1.0283,-0.19537,-1.66565,-1.20391,-93.38,0.5857,0.0000
0.3333,1.0816,2.6952,0.0512,1.1319,-0.20066,-1.66543,-1.20348,-93.43,0.6356,0.0000
0.3417,1.4557,3.3208,0.1954,0.9728,-0.20495,-1.66538,-1.20317,-93.26,0.5149,0.0000
0.3500,1.1967,3.1071,-0.1146,0.3420,-0.20940,-1.66510,-1.20300,-93.20,0.5342,0.0000
0.3583,0.4502,1.0948,0.0780,-0.4139,-0.21484,-1.66523,-1.20294,-93.25,0.6531,0.0000
0.3667,0.7799,1.3998,-0.0631,-0.7054,-0.22002,-1.66460,-1.20305,-92.96,0.6262,0.0000
0.3750,0.2950,1.1919,-0.0329,-0.2510,-0.22570,-1.66458,-1.20335,-92.83,0.6821,0.0000
0.3833,0.4183,2.0043,-0.0030,-0.6124,-0.22979,-1.66406,-1.20382,-92.32,0.4949,0.0000
0.3917,0.2556,1.8428,-0.0039,-1.3569,-0.23448,-1.66449,-1.20446,-92.07,0.5645,0.0000
0.4000,0.5016,2.2278,0.0022,2.1855,-0.23840,-1.66344,-1.20475,-91.85,0.4871,0.0000
0.4083,0.0687,-0.6466,-0.0215,2.2470,-0.24310,-1.66212,-1.20478,-92.03,0.5861,0.0000
0.4167,1.7112,2.1639,0.0011,1.1081,-0.24847,-1.66015,-1.20487,-91.87,0.6866,0.0000
0.4250,0.4878,0.7308,-0.0835,2.6064,-0.25458,-1.65874,-1.20511,-91.71,0.7526,0.0000
0.4333,6.6125,0.2543,3.0908,0.2897,-0.25536,-1.65812,-1.20497,-91.38,0.1188,0.0000
0.4417,4.3162,0.0018,3.3706,0.4033,-0.25456,-1.65703,-1.20470,-91.77,0.1621,0.0000
0.4500,1.5056,-0.0002,2.0035,0.5934,-0.25484,-1.65488,-1.20444,-91.87,0.2599,0.0000
0.4583,3.8080,0.0008,0.7630,1.8791,-0.25538,-1.65235,-1.20428,-91.79,0.3110,0.0000
0.4667,0.0788,0.0012,0.3066,0.3571,-0.25871,-1.64915,-1.20425,-91.93,0.5539,0.0000
0.4750,-0.5353,-0.0005,0.2726,0.4649,-0.26292,-1.64615,-1.20444,-92.15,0.6205,0.0000
0.4833,1.5183,0.1413,0.1146,0.3470,-0.26756,-1.64334,-1.20462,-92.35,0.6511,0.0000
0.4917,2.5356,-0.0045,-0.7635,0.4282,-0.27131,-1.64180,-1.20406,-92.24,0.4864,0.0000
